,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
346,Radamel Falcao,36, FW,,,8(14),832,0.1,0.1,0.8,-,0.5,0.1,-,-,6.44
347,Claudio Bravo,39, GK,,,17,1457,-,-,0.1,-,0.8,-,-,-,6.44
348,Nikola Maras,26, D(C),,,11(5),1041,0.8,0.9,0.7,0.3,3.1,0.4,0.8,-,6.44
349,Pedro Ortiz,21, Midfielder,,,0(1),6,-,-,1,-,1,-,-,-,6.44
350,Robert Navarro,20, Midfielder,,,3(3),199,0.8,0.3,0.5,-,0.3,0.3,-,-,6.44
351,Tomás Alarcón,23, DMC,,,16(7),1425,1.3,1.3,0.8,-,1.2,0.9,0.3,-,6.44
352,Alberto Perea,31, AM(LR),,,8(10),776,1.1,0.5,0.4,-,0.2,0.8,0.1,-,6.44
353,Carles Aleñá,24, AM(CLR),,,30(3),2344,0.8,0.5,1.5,-,0.3,1.2,0.1,-,6.44
354,Coke,35, D(CLR),M(R),,1(5),114,0.5,0.3,0.7,-,1.2,0.2,-,-,6.44
355,Daniel Cárdenas,25, GK,,,24,2160,-,-,-,-,1,0.1,-,-,6.43
356,Toni Lato,24, D(L),,,7(4),591,1.5,0.7,1.3,0.2,1.1,0.6,-,-,6.43
357,Brian Oliván,28, D(CL),,,24(4),2189,1.2,1,1.1,0.3,2,0.4,0.3,-,6.43
358,Suso,28, AM(CLR),FW,,6(2),390,0.5,-,0.1,-,-,1.3,-,-,6.43
359,Kike Barja,25, AM(LR),,,9(12),863,0.7,0.4,0.8,-,0.2,0.7,-,-,6.43
360,Dani García,32, DMC,,,27(5),2194,1.1,0.8,1.4,-,1.2,1,0.3,-,6.43
361,Cote,32, D(L),,,12(11),1083,0.9,0.4,0.4,-,0.9,0.2,-,-,6.43
362,Álex Sola,22, Defender,,,0(2),39,0.5,1,-,-,1.5,1,-,-,6.43
363,Manu Morlanes,23, DMC,,,11(16),1143,1.3,0.5,0.5,-,0.6,0.9,0.2,-,6.42
