,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
110,Cédric Brunner,28, D(CR),,,26(1),2188,1.9,1.6,1.3,0.2,2.9,0.9,0.4,-,6.77
111,Matthias Ginter,28, D(CR),DMC,,26(1),2268,1.3,1.2,0.3,0.7,2.7,0.5,0.4,-,6.77
112,Wout Weghorst,29, FW,,,17(1),1552,0.7,0.1,0.9,-,0.6,0.6,0.2,-,6.76
113,Jesper Lindstrøm Eintracht,22, AM(C),FW,,26(3),1996,1,0.8,0.8,-,0.2,0.8,-,-,6.76
114,Ansgar Knauff Eintracht,20, M(R),,,8(4),760,1.5,0.7,0.9,0.2,0.5,0.6,0.1,-,6.76
115,Iago,25, D(L),M(L),,26(2),2179,1.8,1,0.6,0.1,1.9,0.7,0.2,1,6.75
116,Robin Knoche,30, D(C),,,33,2970,1.5,1.5,0.8,0.2,4.4,0.7,0.8,-,6.75
117,Marvin Plattenhardt,30, D(L),M(L),,19(2),1638,1.2,0.8,0.7,0.4,2,0.6,0.1,-,6.75
118,Nordi Mukiele,24, D(CR),M(R),,21(7),1846,1.3,1.1,0.7,0.4,1.5,0.5,0.2,-,6.75
119,Tuta Eintracht,22, D(C),,,26,2189,1.8,1.6,1.4,0.5,2.5,0.8,0.6,-,6.75
120,Grischa Prömel,27, M(C),,,28(1),2428,1.2,0.8,1.3,-,0.7,1,0.1,-,6.75
121,Yann Sommer,33, GK,,,32,2880,-,0.1,-,-,0.6,0.1,-,-,6.75
122,André Silva,26, FW,,,24(9),2081,0.4,0.1,0.6,-,0.4,0.3,0.1,-,6.74
123,Niklas Dorsch,24, DMC,,,27(3),2328,2.5,1.2,1.8,-,1.1,1,0.4,-,6.74
124,Manuel Neuer,36, GK,,,28,2511,0.1,-,-,-,0.5,-,-,-,6.74
125,Stefan Bell,30, D(CR),,,33,2869,1.6,1.2,1.6,0.6,3.4,1,0.5,1,6.74
126,Thorgan Hazard,29, M(CLR),FW,,14(9),1337,1,0.3,1,-,0.1,1.1,-,-,6.73
127,Atakan Karazor,25, D(C),DMC,,23(1),1906,2,1.4,1.6,-,2,0.8,0.6,-,6.73
128,Josuha Guilavogui,31, D(C),M(C),,10(5),943,1.5,1.7,1.3,-,2.7,0.7,0.4,-,6.73
129,Joakim Nilsson,28, D(C),,,31,2739,1.2,1.8,1,0.9,4.4,0.2,0.7,-,6.73
130,John Brooks,29, D(C),,,29(2),2619,1.5,1.3,0.3,0.3,3.9,0.8,0.6,-,6.73
131,Stefan Ortega Moreno,29, GK,,,33,2970,-,-,-,-,0.3,-,-,-,6.73
132,Jordan Torunarigha,24, D(CL),,,6(1),484,0.6,2.4,0.6,2.1,4.3,0.1,0.3,-,6.72
133,Giovanni Reyna,19, AM(CLR),,,6(4),442,0.7,0.1,0.7,-,0.3,0.6,-,-,6.72
134,Cristian Gamboa,32, D(R),,,20(3),1725,2.6,1.4,0.9,0.1,1.3,1.3,0.3,-,6.72
135,Moussa Niakhaté,26, D(CL),,,29(1),2567,1.3,1.7,1,0.2,2.2,0.4,0.4,-,6.72
136,Corentin Tolisso,27, D(R),M(CR),,8(7),705,0.7,0.6,0.9,-,0.7,0.7,0.1,-,6.72
137,Dani Olmo,24, AM(CLR),FW,,7(12),740,0.7,0.2,0.2,-,0.1,0.7,0.1,-,6.71
138,Mark Flekken,28, GK,,,32,2880,-,0.1,-,-,0.6,0.1,-,-,6.71
139,Manuel Akanji,26, D(CR),,,25(1),2263,1.3,1.3,0.7,0.6,2.1,0.4,0.6,1,6.71
140,Xaver Schlager,24, M(C),,,13(1),1047,3.1,0.6,1.6,0.1,1,2.1,0.1,-,6.71
141,Paulinho,21, AM(CLR),,,14(10),1219,0.9,0.3,0.4,-,0.2,0.6,-,-,6.71
142,Louis Jordan Beyer,22, D(CR),,,14(2),1294,2.9,0.8,1,0.3,2.9,1,0.3,-,6.71
143,Timo Baumgartl,26, D(C),,,25,2169,2.4,1.5,1,0.3,2.2,0.6,0.4,2,6.71
144,Philipp Klement,29, M(C),,,3(3),338,1.2,0.2,0.3,-,-,-,0.2,-,6.7
145,Koen Casteels,29, GK,,,28,2520,-,-,-,-,0.7,-,-,-,6.7
146,Marvin Friedrich,26, D(C),,,13,1170,1.3,1.8,0.9,0.2,3.4,0.5,0.5,1,6.7
147,Suat Serdar,25, M(CLR),,,27(3),2230,2.1,0.7,1.2,-,0.4,1,0.1,-,6.7
148,Jeffrey Gouweleeuw,30, D(C),,,29,2578,1.7,1.7,1.1,0.4,4,0.5,0.6,-,6.7
149,Ihlas Bebou,28, M(CLR),FW,,25(3),2106,0.8,0.4,0.9,-,0.9,0.5,0.1,-,6.69
150,Lukas Klostermann,26, D(CLR),M(R),,17(6),1648,1.3,1.1,0.4,0.3,2.3,0.3,0.1,-,6.69
151,Piero Hincapié,20, D(CL),,,20(7),1752,1.2,1.2,0.9,0.3,2,0.2,0.6,-,6.69
