,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
80,Jamie Vardy,35, AM(L),FW,,20(5),1806,0.2,-,0.5,-,0.7,0.2,-,1,6.95
81,Marc Cucurella,23, D(CL),M(L),,35,3092,2.7,0.9,0.8,0.3,1.9,0.8,0.4,-,6.94
82,Michail Antonio,32, D(R),M(CLR),FW,34(2),2981,0.6,0.1,1.4,-,0.4,0.3,-,-,6.94
83,Adama Traoré,26, M(CLR),FW,,10(10),1065,0.4,0.1,0.5,-,0.1,0.2,0.1,-,6.94
84,Lucas Digne,28, D(CL),M(L),,16,1272,0.8,1.4,1.1,0.3,2.3,0.6,0.5,-,6.94
85,Cristian Romero,24, D(C),,,21(1),1846,2.8,1.5,1.3,0.1,3.3,0.5,1,-,6.92
86,Hakim Ziyech,29, M(CLR),,,14(9),1317,0.8,0.4,1,-,0.3,1.1,-,-,6.92
87,Jason Steele,31, GK,,,1,90,-,-,-,-,1,-,-,-,6.92
88,Nathan Aké,27, D(CL),DMC,,10(4),921,1.1,0.6,0.6,0.2,1.5,0.1,0.4,-,6.92
89,Dominic Calvert-Lewin,25, AM(L),FW,,15(2),1286,0.6,0.2,1,0.1,0.7,0.3,0.1,-,6.92
90,Ben Mee,32, D(CL),,,21,1840,1.2,1.1,0.4,0.5,4.4,0.3,1,1,6.91
91,Aymeric Laporte,28, D(CL),,,33,2836,1,0.6,0.4,0.7,1.8,0.2,0.3,-,6.91
92,Aaron Wan-Bissaka,24, D(R),M(R),,20,1794,2.5,1.7,0.8,0.3,1.6,0.3,0.7,-,6.91
93,Matthew Cash,24, D(R),M(CLR),,38,3380,2.3,1.3,1,0.1,2.2,0.8,0.4,-,6.91
94,Ricardo Pereira,28, D(LR),M(R),,13(1),994,2.6,1.2,0.4,0.4,2.1,1.4,0.1,-,6.91
95,Martin Ødegaard,23, AM(CR),,,32(4),2793,1.4,0.3,0.8,0.1,0.3,1.1,-,-,6.91
96,Youri Tielemans,25, M(C),,,29(3),2634,2.3,0.7,1,-,1.1,1.8,0.4,-,6.9
97,Neco Williams,21, D(R),,,0(1),7,-,-,-,-,-,-,-,-,6.9
98,Ollie Watkins,26, AM(LR),FW,,33(2),2955,0.5,0.3,0.9,-,0.7,0.4,0.1,-,6.9
99,Leandro Trossard,27, M(CLR),FW,,32(2),2812,1,0.4,0.7,-,0.2,0.8,0.1,-,6.9
100,Scott McTominay,25, D(C),DMC,,28(2),2393,2.2,1,1.8,0.1,2,1,0.3,-,6.89
101,Alex Telles,29, D(L),M(L),,18(3),1660,2.3,1.2,1.1,0.1,2,0.8,0.2,-,6.89
102,Andreas Christensen,26, D(C),DMC,,17(2),1496,0.7,1.5,0.6,0.7,2.7,0.2,0.3,-,6.89
103,Nathan Collins,21, D(CR),,,18(1),1670,1.9,1.3,1.1,0.3,4.3,0.5,1.3,-,6.89
104,Ibrahima Konaté,23, D(C),,,11,990,1.5,1.5,0.9,1,3.4,0.3,0.8,-,6.89
105,Emmanuel Dennis,24, M(LR),FW,,30(3),2591,1.5,0.5,1.8,-,0.4,1.1,0.1,-,6.89
106,Shane Duffy,30, D(C),,,15(3),1434,0.8,0.9,0.8,0.1,4.2,0.3,1,-,6.88
107,Maximilian Kilman,25, D(C),,,30,2689,1.7,1.5,0.6,0.5,3.5,0.4,0.7,-,6.87
108,Ruben Loftus-Cheek,26, M(CLR),,,13(11),1388,1.2,0.5,0.8,-,0.7,0.4,0.3,-,6.87
109,Alisson,29, GK,,,36,3240,0.1,-,-,-,1.3,0.1,-,1,6.87
110,Wesley Fofana,21, D(C),,,7,630,1.7,1.7,1,0.7,3.7,0.6,0.3,-,6.87
