,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
2,"73Sasa LukicTorino, 25, M(C)","Sasa Lukic Torino, 25, M(C)",34(1),2987,1.5,0.7,2.4,0.1,1.1,0.7,0.2,-,6.85
3,"74Dusan VlahovicJuventus, 22, FW","Dusan Vlahovic Juventus, 22, FW",12(3),1078,-,-,0.5,-,0.5,0.3,-,-,6.85
4,"75BetoUdinese, 24, FW","Beto Udinese, 24, FW",24(4),2175,0.8,0.2,1.9,-,0.9,0.4,-,-,6.84
5,"76Adrien TamezeVerona, 28, M(C)","Adrien Tameze Verona, 28, M(C)",26(12),2580,1.4,1.4,0.9,-,1.0,1.0,0.1,-,6.84
6,"77Jerdy SchoutenBologna, 25, DMC","Jerdy Schouten Bologna, 25, DMC",16(1),1394,1.5,1.9,1.0,-,1.7,0.8,0.3,-,6.84
7,"78Josip IlicicAtalanta, 34, AM(CLR),FW","Josip Ilicic Atalanta, 34, AM(CLR),FW",8(12),837,0.4,0.2,0.7,-,0.1,0.7,0.1,-,6.84
8,"79Álvaro MorataJuventus, 29, AM(L),FW","Álvaro Morata Juventus, 29, AM(L),FW",26(9),2312,0.5,0.1,1.4,-,0.6,0.7,-,-,6.83
9,"80Nicolás DomínguezBologna, 23, DMC","Nicolás Domínguez Bologna, 23, DMC",23(5),2027,2.7,1.1,0.9,-,1.1,1.6,0.3,-,6.83
0,"81Amir RrahmaniNapoli, 28, D(CL)","Amir Rrahmani Napoli, 28, D(CL)",33,2928,0.6,0.6,0.7,0.3,2.5,0.1,0.8,-,6.83
1,"82Adrian SemperGenoa, 24, GK","Adrian Semper Genoa, 24, GK",1,90,-,-,-,-,-,-,-,-,6.83
2,"83Zlatan IbrahimovicAC Milan, 40, FW","Zlatan Ibrahimovic AC Milan, 40, FW",11(12),1009,-,0.1,0.7,-,0.4,0.1,-,1,6.82
3,"84Gianluca ScamaccaSassuolo, 23, FW","Gianluca Scamacca Sassuolo, 23, FW",25(11),2155,0.5,0.1,1.4,-,0.6,0.4,-,-,6.82
4,"85David OspinaNapoli, 33, GK","David Ospina Napoli, 33, GK",31,2790,-,-,-,-,0.5,-,-,-,6.82
5,"86Teun KoopmeinersAtalanta, 24, D(C),M(C)","Teun Koopmeiners Atalanta, 24, D(C),M(C)",23(7),2129,1.3,0.5,1.2,-,0.5,1.1,0.1,1,6.82
6,"87ÉdersonSalernitana, 22, DMC","Éderson Salernitana, 22, DMC",13(2),1153,1.9,1.3,1.2,0.1,0.5,0.8,0.1,-,6.82
7,"88Riccardo StivanelloBologna, 18, Defender","Riccardo Stivanello Bologna, 18, Defender",0(1),45,1,-,-,-,6,-,2,-,6.82
8,"89Adrien RabiotJuventus, 27, DMC,M(L)","Adrien Rabiot Juventus, 27, DMC,M(L)",28(4),2294,2,0.6,1.4,-,1,0.6,0.3,-,6.82
9,"90Milan SkriniarInter, 27, D(C)","Milan Skriniar Inter, 27, D(C)",35,3150,1.3,0.7,1.2,0.3,2.5,0.5,0.7,-,6.82
0,"91Denzel DumfriesInter, 26, D(R),M(R)","Denzel Dumfries Inter, 26, D(R),M(R)",21(12),2028,1.0,0.3,1.0,0.1,0.5,0.5,0.2,-,6.81
1,"92Jordan VeretoutRoma, 29, M(C)","Jordan Veretout Roma, 29, M(C)",26(10),2329,0.9,0.8,0.5,-,0.6,0.7,-,-,6.81
2,"93Manuel LocatelliJuventus, 24, M(C)","Manuel Locatelli Juventus, 24, M(C)",23(8),2161,1.4,0.7,1.4,-,1.1,0.8,0.7,-,6.81
3,"94Wilfried Stephane SingoTorino, 21, M(R)","Wilfried Stephane Singo Torino, 21, M(R)",32(3),2626,1.6,0.7,1.2,-,1.2,0.3,0.2,-,6.8
4,"95Simone BastoniSpezia, 25, D(L),DMC,M(L)","Simone Bastoni Spezia, 25, D(L),DMC,M(L)",26(5),2291,1.7,1.0,1.0,-,0.9,1.4,0.4,-,6.8
5,"96Szymon ZurkowskiEmpoli, 24, M(C)","Szymon Zurkowski Empoli, 24, M(C)",29(6),2320,1.7,1.0,1.2,-,0.8,1.1,0.3,-,6.8
6,"97Giorgio AltareCagliari, 23, D(C)","Giorgio Altare Cagliari, 23, D(C)",17(2),1469,2.1,1.6,1.8,0.3,3.7,0.3,0.3,-,6.8
7,"98SamirUdinese, 27, D(CL)","Samir Udinese, 27, D(CL)",17,1427,2.1,2.5,1.9,0.3,3.4,0.6,0.4,-,6.8
8,"99IbañezRoma, 23, D(C)","Ibañez Roma, 23, D(C)",32(2),2888,1.6,1.8,1.4,0.6,2.8,0.5,0.2,-,6.8
9,"100Iyenoma UdogieUdinese, 19, M(L)","Iyenoma Udogie Udinese, 19, M(L)",29(6),2486,1.8,0.8,1.0,0.2,1.0,0.8,0.2,-,6.8
0,"101Milan BadeljGenoa, 33, M(C)","Milan Badelj Genoa, 33, M(C)",34,2853,1.9,2.5,1.1,0.1,1.2,1.4,0.2,-,6.79
1,"102Sérgio OliveiraRoma, 30, DMC","Sérgio Oliveira Roma, 30, DMC",13(1),902,1.9,0.7,0.9,-,0.4,1.1,-,-,6.79
2,"103Samir HandanovicInter, 37, GK","Samir Handanovic Inter, 37, GK",37,3330,-,-,-,-,0.5,-,-,-,6.79
3,"104Petar StojanovicEmpoli, 26, D(R)","Petar Stojanovic Empoli, 26, D(R)",32(1),2741,2.9,0.8,1.4,0.2,1.6,1.7,0.4,-,6.79
4,"105Ismaël BennacerAC Milan, 24, DMC","Ismaël Bennacer AC Milan, 24, DMC",15(16),1523,1.4,0.8,0.8,-,0.5,0.9,0.1,-,6.78
5,"106Morten FrendrupGenoa, 21, DMC","Morten Frendrup Genoa, 21, DMC",6(4),694,4,1.7,1,-,0.6,1.6,0.2,-,6.78
6,"107Marten de RoonAtalanta, 31, D(C),DMC","Marten de Roon Atalanta, 31, D(C),DMC",28(2),2549,2.3,1.5,1.7,0.3,1.4,0.9,0.1,-,6.78
7,"108Marco FaraoniVerona, 30, D(R),M(R)","Marco Faraoni Verona, 30, D(R),M(R)",30(2),2583,1.9,0.7,0.8,-,1.7,1,0.2,-,6.77
8,"109João PedroCagliari, 30, AM(CLR),FW","João Pedro Cagliari, 30, AM(CLR),FW",37,3325,0.4,0.2,1.8,-,0.5,0.4,0.1,-,6.77
9,"110Josip BrekaloTorino, 23, AM(CLR),FW","Josip Brekalo Torino, 23, AM(CLR),FW",26(6),2297,0.3,0.1,0.6,-,0.2,0.6,-,-,6.77
0,"111Davide FrattesiSassuolo, 22, DMC","Davide Frattesi Sassuolo, 22, DMC",35(1),2885,1.3,0.8,1.3,0.1,1.6,0.7,0.3,1,6.77
