,Player,Player.1,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,"172Kalifa CoulibalyNantes, 30, FW",Kalifa Coulibaly Nantes,30, FW,,,9(12),848,5,-,1,-,1.2,60,3.7,1,6.69
2,"173Pedro ChirivellaNantes, 25, DMC",Pedro Chirivella Nantes,25, DMC,,,31,2647,3,1,6,-,0.7,85.2,0.3,2,6.69
3,"174Jérémy DokuRennes, 20, AM(LR)",Jérémy Doku Rennes,20, AM(LR),,,4(10),467,1,2,2,-,0.4,79,0.1,1,6.68
4,"175Julian PollersbeckLyon, 27, GK",Julian Pollersbeck Lyon,27, GK,,,4(2),435,-,-,-,-,-,83.2,-,-,6.68
5,"176Lucas PerrinStrasbourg, 23, D(C)",Lucas Perrin Strasbourg,23, D(C),,,29(2),2508,1,1,5,-,0.3,84,1.7,-,6.68
6,"177Pablo RosarioNice, 25, DMC",Pablo Rosario Nice,25, DMC,,,31(5),2736,-,2,7,-,0.5,88.5,1.2,-,6.68
7,"178Malo GustoLyon, 19, D(R),M(R)",Malo Gusto Lyon,19, D(R),M(R),,21(9),1884,-,4,3,-,0.4,88.2,0.5,1,6.68
8,"179Mamadou SakhoMontpellier, 32, D(C)",Mamadou Sakho Montpellier,32, D(C),,,29,2578,-,-,3,-,-,89.2,1.6,-,6.68
9,"180Lucien AgoumeBrest, 20, DMC",Lucien Agoume Brest,20, DMC,,,21(6),1869,-,-,6,-,0.6,84.6,1,1,6.67
0,"181Vital N'SimbaClermont Foot, 28, D(L)",Vital N'Simba Clermont Foot,28, D(L),,,31(3),2791,1,3,4,-,0.6,78.8,0.4,2,6.67
1,"182Akim ZedadkaClermont Foot, 27, D(R)",Akim Zedadka Clermont Foot,27, D(R),,,37(1),3338,-,3,5,-,0.8,83.1,0.8,1,6.67
2,"183Nuno MendesPSG, 19, D(L),M(L)",Nuno Mendes PSG,19, D(L),M(L),,18(9),1654,-,1,3,-,0.3,88.1,0.4,-,6.67
3,"184Jason DenayerLyon, 26, D(CR),DMC",Jason Denayer Lyon,26, D(CR),DMC,,12(3),1001,3,-,2,-,0.4,93.7,1.1,-,6.67
4,"185Vincent PajotMetz, 31, M(C)",Vincent Pajot Metz,31, M(C),,,27(3),2320,1,-,6,1,0.5,86,0.8,1,6.67
5,"186Rémy CabellaMontpellier, 32, M(CLR),FW",Rémy Cabella Montpellier,32, M(CLR),FW,,3(2),313,-,-,-,-,0.4,85.1,-,-,6.67
6,"187Tanguy NdombeleLyon, 25, M(C)",Tanguy Ndombele Lyon,25, M(C),,,7(4),703,-,2,3,-,0.5,89.2,0.5,-,6.67
7,"188Facundo MedinaLens, 23, D(CL)",Facundo Medina Lens,23, D(CL),,,30(1),2597,1,-,11,-,0.3,89.4,1.2,-,6.67
8,"189Yacine AdliBordeaux, 21, M(C)",Yacine Adli Bordeaux,21, M(C),,,25(11),2265,1,7,4,-,0.9,78.2,0.3,2,6.67
9,"190XekaLille, 27, M(C)",Xeka Lille,27, M(C),,,19(4),1622,3,-,10,-,1,81.2,1,1,6.66
0,"191Danylo IgnatenkoBordeaux, 25, M(C)",Danylo Ignatenko Bordeaux,25, M(C),,,7(4),689,-,3,3,1,1.1,81.9,1.2,-,6.66
1,"192Léo JardimLille, 27, GK",Léo Jardim Lille,27, GK,,,17,1530,-,-,-,-,-,56.8,0.1,1,6.66
2,"193Jean-Kévin DuverneBrest, 24, D(CLR)",Jean-Kévin Duverne Brest,24, D(CLR),,,33(4),3007,1,3,1,-,0.3,74.4,1.1,-,6.66
3,"194Habib MaïgaMetz, 26, DMC,M(R)",Habib Maïga Metz,26, DMC,M(R),,16(1),1274,2,-,6,-,0.6,82.1,1.1,-,6.65
4,"195Didier Lamkel ZéMetz, 25, FW",Didier Lamkel Zé Metz,25, FW,,,8(1),609,3,-,2,-,1.6,72.7,2.3,-,6.65
5,"196Khéphren Thuram-UlienNice, 21, DMC",Khéphren Thuram-Ulien Nice,21, DMC,,,20(16),1897,4,2,4,-,0.6,86.4,0.6,1,6.65
6,"197Elbasan RashaniClermont Foot, 29, AM(LR)",Elbasan Rashani Clermont Foot,29, AM(LR),,,22(7),1769,8,3,3,-,1,77.1,0.7,1,6.65
7,"198Kevin GameiroStrasbourg, 35, FW",Kevin Gameiro Strasbourg,35, FW,,,28(7),2397,11,3,-,-,1.9,80.1,0.3,-,6.65
8,"199Haris BelkeblaBrest, 28, DMC",Haris Belkebla Brest,28, DMC,,,26(5),2312,-,-,2,-,0.1,84.3,0.7,-,6.64
9,"200Alberth ElisBordeaux, 26, AM(LR),FW",Alberth Elis Bordeaux,26, AM(LR),FW,,16(4),1416,9,1,2,-,1.6,64.1,1.3,-,6.64
0,"201Johan GastienClermont Foot, 34, DMC",Johan Gastien Clermont Foot,34, DMC,,,32,2752,-,1,8,2,0.8,83.4,0.7,1,6.64
1,"202Léo DuboisLyon, 27, D(LR),M(R)",Léo Dubois Lyon,27, D(LR),M(R),,20(3),1747,-,-,5,-,0.4,86,0.9,-,6.63
2,"203Renaud RipartTroyes, 29, D(R),M(CLR),FW",Renaud Ripart Troyes,29, D(R),M(CLR),FW,22(6),1902,2,2,2,-,1.5,71.8,1.3,-,6.63
3,"204Jason BerthomierClermont Foot, 32, AM(C)",Jason Berthomier Clermont Foot,32, AM(C),,,22(7),1744,1,5,-,-,0.8,86.6,0.4,-,6.63
4,"205Dan NdoyeNice, 21, Forward",Dan Ndoye Nice,21, Forward,,,2(1),204,-,1,-,-,1,72,0.7,-,6.63
5,"206Marco BizotBrest, 31, GK",Marco Bizot Brest,31, GK,,,38,3420,-,1,1,-,-,64.7,0.1,2,6.63
6,"207El Bilal TouréReims, 20, FW",El Bilal Touré Reims,20, FW,,,15(6),1201,2,4,2,-,1.6,74.4,2.8,1,6.63
7,"208Jordan FerriMontpellier, 30, M(C)",Jordan Ferri Montpellier,30, M(C),,,33(1),2920,-,2,11,1,0.4,84.7,0.6,-,6.62
8,"209Damien Da SilvaLyon, 34, D(C)",Damien Da Silva Lyon,34, D(C),,,13(4),1127,-,-,3,1,0.7,88.1,2.1,-,6.62
9,"210Matz SelsStrasbourg, 30, GK",Matz Sels Strasbourg,30, GK,,,37,3330,-,-,1,-,0.1,68.1,0.3,-,6.62
0,"211Mihailo RisticMontpellier, 26, D(L),M(L)",Mihailo Ristic Montpellier,26, D(L),M(L),,19(10),1808,1,3,3,1,0.6,76.5,0.8,-,6.62
1,"212Loïc BadéRennes, 22, D(C)",Loïc Badé Rennes,22, D(C),,,11(3),984,-,1,1,1,0.5,90.2,1.8,-,6.62
2,"213Junior MwangaBordeaux, 19, Defender",Junior Mwanga Bordeaux,19, Defender,,,1,90,-,-,-,-,-,83,-,-,6.62
3,"214Jonas MartinRennes, 32, M(CL)",Jonas Martin Rennes,32, M(CL),,,24(5),2111,1,1,8,-,0.7,90.7,0.7,-,6.62
4,"215Mickael NadeSaint-Etienne, 23, D(C)",Mickael Nade Saint-Etienne,23, D(C),,,29(1),2568,1,-,4,-,0.2,81.1,2.2,-,6.62
5,"216Bamba DiengMarseille, 22, AM(L),FW",Bamba Dieng Marseille,22, AM(L),FW,,11(14),976,7,1,-,1,1.5,75.1,0.5,4,6.61
6,"217Hicham BoudaouiNice, 22, M(CR)",Hicham Boudaoui Nice,22, M(CR),,,21(8),1633,3,2,7,-,0.6,79.3,0.4,-,6.61
7,"218Lucas Da CunhaNice, 20, AM(R)",Lucas Da Cunha Nice,20, AM(R),,,5(5),392,-,1,-,-,1,76.3,0.7,-,6.61
8,"219Xavier ChavalerinTroyes, 31, DMC,M(L)",Xavier Chavalerin Troyes,31, DMC,M(L),,31(3),2724,5,2,4,-,0.9,80.1,0.4,2,6.61
9,"220Erik Palmer-BrownTroyes, 25, D(C)",Erik Palmer-Brown Troyes,25, D(C),,,19(2),1739,-,-,2,-,0.2,83.4,1.4,2,6.61
0,"221Birger MelingRennes, 27, D(LR),DMC",Birger Meling Rennes,27, D(LR),DMC,,20(11),1828,-,4,3,-,0.1,85.2,0.5,-,6.61
1,"222Souleyman DoumbiaAngers, 25, D(L),M(L)",Souleyman Doumbia Angers,25, D(L),M(L),,27,2231,-,1,10,1,0.5,85.4,0.5,-,6.61
2,"223Jordan AmaviMarseille, 28, D(L),M(L)",Jordan Amavi Marseille,28, D(L),M(L),,2,130,-,-,-,-,-,84.1,1.5,-,6.61
3,"224Alexander NübelMonaco, 25, GK",Alexander Nübel Monaco,25, GK,,,38,3420,-,-,-,-,-,70.6,0.1,-,6.61
4,"225Ibrahim AmadouMetz, 29, D(C),DMC",Ibrahim Amadou Metz,29, D(C),DMC,,10,815,1,-,4,-,0.3,87.5,0.7,1,6.61
5,"226Paul LasneBrest, 33, M(CLR)",Paul Lasne Brest,33, M(CLR),,,9(6),847,-,1,1,-,0.5,84.6,0.6,-,6.61
6,"227Toma BasicBordeaux, 25, M(C)",Toma Basic Bordeaux,25, M(C),,,3,212,-,1,-,-,0.7,81.8,-,-,6.61
7,"228Duje Caleta-CarMarseille, 25, D(C)",Duje Caleta-Car Marseille,25, D(C),,,24(2),2062,2,-,6,-,0.5,91.9,1.3,-,6.6
8,"229Lucas Da CunhaClermont Foot, 20, AM(R)",Lucas Da Cunha Clermont Foot,20, AM(R),,,11(4),844,2,-,-,-,1.2,83.7,0.5,-,6.6
9,"230Yoann SalmierTroyes, 29, D(C)",Yoann Salmier Troyes,29, D(C),,,30(1),2671,-,1,5,-,0.3,83.6,1.5,-,6.6
0,"231Florent MolletMontpellier, 30, AM(CLR)",Florent Mollet Montpellier,30, AM(CLR),,,32(3),2649,6,2,6,-,1.6,87,0.4,1,6.6
1,"232Jens CajusteReims, 22, DMC",Jens Cajuste Reims,22, DMC,,,4(4),365,2,-,-,-,1.1,69.5,0.4,-,6.6
2,"233Dogan AlemdarRennes, 19, GK",Dogan Alemdar Rennes,19, GK,,,12,1080,-,-,1,-,-,69.4,0.1,-,6.6
3,"234Thiago MendesLyon, 30, D(CR),M(CR)",Thiago Mendes Lyon,30, D(CR),M(CR),,21(8),1864,1,1,3,1,0.6,88.5,0.9,-,6.59
4,"235Jérémy MorelLorient, 38, D(CL)",Jérémy Morel Lorient,38, D(CL),,,6(3),602,-,-,-,-,0.1,83.9,1,-,6.59
5,"236Bonke InnocentLorient, 26, DMC",Bonke Innocent Lorient,26, DMC,,,11(1),878,-,-,4,-,0.3,86.7,0.7,-,6.59
6,"237Maxime BusiReims, 22, D(R),M(R)",Maxime Busi Reims,22, D(R),M(R),,13(5),1297,1,-,3,-,0.3,78.4,0.6,1,6.59
7,"238Pau LópezMarseille, 27, GK",Pau López Marseille,27, GK,,,29,2610,-,1,4,-,-,83.6,0.2,-,6.59
8,"239Jean-Louis LecaLens, 36, GK",Jean-Louis Leca Lens,36, GK,,,27,2315,-,-,3,1,-,70.9,0.2,-,6.59
9,"240Wuilker FariñezLens, 24, GK",Wuilker Fariñez Lens,24, GK,,,11(2),1105,-,-,-,-,-,73.6,0.1,-,6.59
0,"241Arnaud SouquetMontpellier, 30, D(CR),M(R)",Arnaud Souquet Montpellier,30, D(CR),M(R),,27(7),2341,1,3,4,-,0.5,71.8,1.2,-,6.59
1,"242Ibrahima KonéLorient, 22, FW",Ibrahima Koné Lorient,22, FW,,,6(10),728,5,1,2,-,0.9,68.8,1,1,6.59
2,"243Ismael TraoréAngers, 35, D(CR)",Ismael Traoré Angers,35, D(CR),,,36(1),3215,4,1,1,-,0.7,88.7,1.3,1,6.59
3,"244Ivo GrbicLille, 26, GK",Ivo Grbic Lille,26, GK,,,21,1890,-,-,3,-,-,62.7,0.5,-,6.58
4,"245Kamory DoumbiaReims, 19, Midfielder",Kamory Doumbia Reims,19, Midfielder,,,2(6),349,2,1,1,-,0.5,81.4,0.4,-,6.58
5,"246Arkadiusz MilikMarseille, 28, AM(C),FW",Arkadiusz Milik Marseille,28, AM(C),FW,,15(8),1419,7,2,1,-,2.3,80.3,0.9,1,6.58
6,"247Paul BernardoniAngers, 25, GK",Paul Bernardoni Angers,25, GK,,,13,1170,-,-,-,-,-,71.9,0.7,-,6.58
7,"248Warmed OmariRennes, 22, D(C)",Warmed Omari Rennes,22, D(C),,,31(3),2798,-,-,6,-,0.1,92.4,1.4,-,6.58
8,"249Yohann MagninClermont Foot, 24, DMC",Yohann Magnin Clermont Foot,24, DMC,,,19(5),1717,1,-,3,-,0.8,81.7,1.5,-,6.58
9,"250Jérôme BoatengLyon, 33, D(CR)",Jérôme Boateng Lyon,33, D(CR),,,19(5),1627,-,1,6,-,0.2,87.6,0.8,-,6.58
0,"251Tristan DingoméTroyes, 31, M(C)",Tristan Dingomé Troyes,31, M(C),,,12(13),1073,2,4,2,-,0.8,78.7,0.2,2,6.58
1,"252Jessy MoulinTroyes, 36, GK",Jessy Moulin Troyes,36, GK,,,8,631,-,-,1,1,-,62.8,0.3,-,6.58
2,"253Javairô DilrosunBordeaux, 23, AM(CLR)",Javairô Dilrosun Bordeaux,23, AM(CLR),,,19(13),1738,2,6,3,-,1.3,80.2,0.2,-,6.57
3,"254Terem MoffiLorient, 23, AM(R),FW",Terem Moffi Lorient,23, AM(R),FW,,34(3),2736,8,4,1,-,1.6,73.1,1.2,1,6.57
4,"255Kasper DolbergNice, 24, FW",Kasper Dolberg Nice,24, FW,,,20(7),1503,6,2,1,-,1.5,71,0.8,1,6.57
5,"256Moreto CassamáReims, 24, DMC",Moreto Cassamá Reims,24, DMC,,,11(6),808,2,-,1,-,0.6,83.3,0.2,1,6.57
6,"257Nicolas CozzaMontpellier, 23, D(CL)",Nicolas Cozza Montpellier,23, D(CL),,,32(2),2778,2,2,2,1,0.2,82,1.2,-,6.57
7,"258Adrien TruffertRennes, 20, D(L)",Adrien Truffert Rennes,20, D(L),,,18(12),1635,3,2,4,-,0.6,82,0.6,-,6.56
8,"259Gauthier GallonTroyes, 29, GK",Gauthier Gallon Troyes,29, GK,,,31,2790,-,-,2,-,-,66.1,0.1,-,6.56
9,"260Thomas DelaineMetz, 30, D(L),M(LR)",Thomas Delaine Metz,30, D(L),M(LR),,26(3),2317,1,2,4,-,0.6,77.8,0.3,1,6.56
0,"261Thilo KehrerPSG, 25, D(CLR),M(R)",Thilo Kehrer PSG,25, D(CLR),M(R),,16(11),1505,2,-,-,-,0.3,94.7,1,-,6.56
1,"262Ilan KebbalReims, 23, AM(C),FW",Ilan Kebbal Reims,23, AM(C),FW,,21(10),1785,1,4,1,-,0.9,79.5,0.1,-,6.56
2,"263Pedro MendesMontpellier, 31, D(CR)",Pedro Mendes Montpellier,31, D(CR),,,0(1),16,-,-,-,-,-,62.5,2,-,6.56
3,"264Jonathan IkonéLille, 24, AM(CLR),FW",Jonathan Ikoné Lille,24, AM(CLR),FW,,13(5),1077,1,-,1,-,1.2,80.1,0.2,-,6.55
4,"265Romain Del CastilloBrest, 26, AM(LR),FW",Romain Del Castillo Brest,26, AM(LR),FW,,13(6),985,-,6,1,1,0.6,76.3,0.2,1,6.55
5,"266Enock KwatengBordeaux, 25, D(CR),M(R)",Enock Kwateng Bordeaux,25, D(CR),M(R),,22(7),2002,1,-,4,1,0.2,80.4,0.8,1,6.55
6,"267Sikou NiakatéMetz, 22, D(C)",Sikou Niakaté Metz,22, D(C),,,8(4),661,-,-,2,-,0.3,78.2,0.9,-,6.54
7,"268Marc-Aurèle CaillardMetz, 28, GK",Marc-Aurèle Caillard Metz,28, GK,,,17(2),1540,-,-,1,-,-,49.9,0.2,-,6.54
8,"269Martin AdelineReims, 18, Midfielder",Martin Adeline Reims,18, Midfielder,,,2(6),347,-,-,1,-,0.5,77,0.4,-,6.54
9,"270Mathias Pereira LageAngers, 25, M(CLR)",Mathias Pereira Lage Angers,25, M(CLR),,,11(13),1038,4,2,-,-,0.8,73.9,0.6,2,6.54
0,"271Hwang Ui-JoBordeaux, 29, AM(CLR),FW",Hwang Ui-Jo Bordeaux,29, AM(CLR),FW,,29(3),2526,11,2,3,-,1.7,79.3,0.4,3,6.54
1,"272Florent OgierClermont Foot, 33, D(C)",Florent Ogier Clermont Foot,33, D(C),,,29(1),2434,1,-,6,-,0.2,83.7,2.2,-,6.54
2,"273Pape SarrMetz, 19, AM(C)",Pape Sarr Metz,19, AM(C),,,22(11),2130,1,3,7,-,0.9,83.3,0.9,-,6.54
3,"274Anel AhmedhodzicBordeaux, 23, D(C)",Anel Ahmedhodzic Bordeaux,23, D(C),,,15,1350,-,1,6,-,0.5,89.8,1.3,-,6.54
4,"275Alfred GomisRennes, 28, GK",Alfred Gomis Rennes,28, GK,,,25,2250,-,-,1,-,-,72.2,0.2,1,6.54
5,"276Farid BoulayaMetz, 29, AM(CLR),FW",Farid Boulaya Metz,29, AM(CLR),FW,,18(6),1534,4,2,1,1,0.8,71.2,0.4,2,6.54
6,"277HenriqueLyon, 28, D(L),M(L)",Henrique Lyon,28, D(L),M(L),,12(6),1105,-,1,3,-,0.3,88.6,1,-,6.53
7,"278David da CostaLens, 21, AM(C)",David da Costa Lens,21, AM(C),,,16(17),1463,3,5,2,-,0.8,84.5,-,1,6.53
8,"279Martín SatrianoBrest, 21, FW",Martín Satriano Brest,21, FW,,,11(4),941,4,-,5,-,1.6,72.8,1,-,6.53
9,"280Remi OudinBordeaux, 25, M(CLR),FW",Remi Oudin Bordeaux,25, M(CLR),FW,,20(13),1744,4,5,6,-,1.7,69.3,0.5,3,6.53
0,"281Strahinja PavlovicMonaco, 21, D(C)",Strahinja Pavlovic Monaco,21, D(C),,,5(2),450,-,-,2,1,0.7,83.4,2.6,1,6.53
1,"282Joris ChotardMontpellier, 20, DMC",Joris Chotard Montpellier,20, DMC,,,33(3),2942,1,1,5,-,0.5,84.9,0.6,-,6.53
2,"283Pablo SarabiaPSG, 30, D(L),M(CLR),FW",Pablo Sarabia PSG,30, D(L),M(CLR),FW,0(2),21,1,-,1,-,0.5,72.2,-,-,6.53
3,"284Leonardo BalerdiMarseille, 23, D(C)",Leonardo Balerdi Marseille,23, D(C),,,10(7),950,-,-,4,1,0.1,91.9,1,-,6.52
4,"285Konrad De la FuenteMarseille, 20, AM(L)",Konrad De la Fuente Marseille,20, AM(L),,,9(7),788,-,2,1,-,0.9,82.9,0.3,-,6.52
5,"286Lilian BrassierBrest, 22, D(CL)",Lilian Brassier Brest,22, D(CL),,,23(8),2258,1,-,4,-,0.4,80.7,1.4,-,6.52
6,"287Amadou Mvom OnanaLille, 20, DMC",Amadou Mvom Onana Lille,20, DMC,,,11(21),1352,1,-,2,1,0.5,83.3,0.8,1,6.52
7,"288Jean LucasMonaco, 23, M(C)",Jean Lucas Monaco,23, M(C),,,18(10),1451,1,1,1,1,0.9,82.8,0.5,-,6.52
8,"289Thomas FoketReims, 27, D(R),M(R)",Thomas Foket Reims,27, D(R),M(R),,26(3),2243,1,-,5,-,0.3,80.4,0.5,-,6.52
9,"290FábioNantes, 31, D(LR),M(R)",Fábio Nantes,31, D(LR),M(R),,21(6),1679,-,2,8,1,0.4,73.2,1.1,-,6.52
0,"291Flavius DaniliucNice, 21, D(CR)",Flavius Daniliuc Nice,21, D(CR),,,14(10),1291,-,-,4,-,0.2,88.7,0.9,-,6.52
1,"292Iké UgboTroyes, 23, FW",Iké Ugbo Troyes,23, FW,,,11(3),820,5,-,-,-,1.1,78.8,0.7,-,6.51
2,"293Valère GermainMontpellier, 32, AM(LR),FW",Valère Germain Montpellier,32, AM(LR),FW,,22(12),1978,4,3,3,-,0.9,77,1.6,-,6.51
3,"294Gaël KakutaLens, 30, M(CLR),FW",Gaël Kakuta Lens,30, M(CLR),FW,,20(9),1685,3,2,1,-,1.4,73.9,0.4,-,6.51
4,"295Ismail JakobsMonaco, 22, D(L),M(L)",Ismail Jakobs Monaco,22, D(L),M(L),,10(18),1193,-,1,1,-,0.2,72.2,1.4,-,6.51
5,"296Vincent Le GoffLorient, 32, D(L),M(L)",Vincent Le Goff Lorient,32, D(L),M(L),,34,3060,1,1,1,-,0.8,79.5,0.3,1,6.51
6,"297Leo PetrotLorient, 25, D(C)",Leo Petrot Lorient,25, D(C),,,21(1),1820,1,-,-,-,0.2,82.9,1.3,-,6.5
7,"298Stian GregersenBordeaux, 27, D(C)",Stian Gregersen Bordeaux,27, D(C),,,22(2),1955,1,1,7,-,0.3,85.1,1.4,-,6.5
8,"299Cédric HountondjiClermont Foot, 28, D(C)",Cédric Hountondji Clermont Foot,28, D(C),,,23,2035,1,-,2,-,0.3,84.8,2,-,6.5
9,"300Issa KaboréTroyes, 21, D(R),M(R)",Issa Kaboré Troyes,21, D(R),M(R),,26(5),2261,-,1,6,2,0.2,76.6,0.4,1,6.5
0,"301Dimitry BertaudMontpellier, 24, GK",Dimitry Bertaud Montpellier,24, GK,,,9(2),832,-,-,-,-,-,66.1,0.3,1,6.5
1,"302Timothy WeahLille, 22, AM(LR),FW",Timothy Weah Lille,22, AM(LR),FW,,17(12),1620,3,4,2,1,1.2,75.8,0.8,3,6.5
2,"303Pape GueyeMarseille, 23, DMC",Pape Gueye Marseille,23, DMC,,,17(11),1528,-,1,7,-,1.1,88.4,0.8,1,6.5
3,"304Samuel KaluBordeaux, 24, M(LR)",Samuel Kalu Bordeaux,24, M(LR),,,3(8),326,1,1,1,-,1.2,86.5,0.4,-,6.49
4,"305Stefan BajicSaint-Etienne, 20, GK",Stefan Bajic Saint-Etienne,20, GK,,,4(3),508,-,-,-,-,-,62.8,0.4,-,6.49
5,"306Sinaly DiomandéLyon, 21, D(C)",Sinaly Diomandé Lyon,21, D(C),,,5(6),577,-,-,2,-,0.3,91.4,1.5,-,6.49
6,"307Jordan LotombaNice, 23, D(LR),M(R)",Jordan Lotomba Nice,23, D(LR),M(R),,19(11),1782,-,-,4,-,0.3,82.7,0.4,-,6.49
7,"308Timothée KolodziejczakSaint-Etienne, 30, D(CL),M(L)",Timothée Kolodziejczak Saint-Etienne,30, D(CL),M(L),,30,2568,2,3,4,1,0.5,77.8,1,2,6.49
8,"309Adil RamiTroyes, 36, D(C)",Adil Rami Troyes,36, D(C),,,14(3),1173,3,-,1,-,0.3,84.6,1.1,-,6.49
9,"310Julian DraxlerPSG, 28, AM(CLR),FW",Julian Draxler PSG,28, AM(CLR),FW,,5(13),542,2,1,-,-,0.5,91.6,0.1,-,6.49
0,"311Arnaud NordinSaint-Etienne, 23, AM(CLR),FW",Arnaud Nordin Saint-Etienne,23, AM(CLR),FW,,20(16),1876,4,4,4,-,1.3,81.9,0.4,2,6.48
1,"312Edon ZhegrovaLille, 23, AM(R)",Edon Zhegrova Lille,23, AM(R),,,5(8),479,2,1,-,1,1.2,84.7,0.1,-,6.48
2,"313Lorenz AssignonRennes, 21, D(R)",Lorenz Assignon Rennes,21, D(R),,,5(15),603,-,2,-,-,0.3,81.6,0.6,-,6.48
3,"314Dénys BainBrest, 28, D(C)",Dénys Bain Brest,28, D(C),,,2,180,-,-,-,-,-,94,2,-,6.48
4,"315Myziane MaolidaNice, 23, AM(LR),FW",Myziane Maolida Nice,23, AM(LR),FW,,0(1),33,-,-,-,-,1,57.1,-,-,6.48
5,"316Pol LirolaMarseille, 24, D(R),M(LR)",Pol Lirola Marseille,24, D(R),M(LR),,19(15),1769,1,2,1,-,0.4,82.2,0.6,1,6.48
6,"317Stéphane DiarraLorient, 23, Midfielder",Stéphane Diarra Lorient,23, Midfielder,,,5(10),522,-,-,2,-,0.9,77.3,0.1,-,6.48
7,"318Sepe Elye WahiMontpellier, 19, AM(L),FW",Sepe Elye Wahi Montpellier,19, AM(L),FW,,21(12),1770,10,2,2,1,1.3,68,0.4,1,6.48
8,"319Falaye SackoSaint-Etienne, 27, D(CR),M(R)",Falaye Sacko Saint-Etienne,27, D(CR),M(R),,8(1),667,-,-,-,-,0.1,85.7,0.7,-,6.48
9,"320Jere UronenBrest, 27, D(L),M(L)",Jere Uronen Brest,27, D(L),M(L),,10(5),878,-,-,-,-,0.3,80.8,0.8,-,6.48
0,"321Miguel TraucoSaint-Etienne, 29, D(L),M(L)",Miguel Trauco Saint-Etienne,29, D(L),M(L),,12(5),1113,1,-,3,-,0.6,74.9,0.7,-,6.47
1,"322Fabien LemoineLorient, 35, M(C)",Fabien Lemoine Lorient,35, M(C),,,13(8),1120,-,1,5,-,0.2,88.5,0.5,-,6.47
2,"323Dylan BronnMetz, 26, D(C)",Dylan Bronn Metz,26, D(C),,,28(2),2545,1,2,8,1,0.5,81.3,0.9,-,6.47
3,"324Amine BassiMetz, 24, AM(C)",Amine Bassi Metz,24, AM(C),,,2(3),183,-,-,-,-,0.8,80,0.2,-,6.47
4,"325Krépin DiattaMonaco, 23, M(LR),FW",Krépin Diatta Monaco,23, M(LR),FW,,3(5),283,1,-,-,-,0.4,75.7,1.5,-,6.47
5,"326Alexandre OukidjaMetz, 33, GK",Alexandre Oukidja Metz,33, GK,,,21,1877,-,-,2,1,-,54.9,0.8,1,6.47
6,"327MarceloBordeaux, 35, D(C)",Marcelo Bordeaux,35, D(C),,,11,902,-,-,5,-,0.3,83.1,3.8,-,6.46
7,"328Serhou GuirassyRennes, 26, AM(L),FW",Serhou Guirassy Rennes,26, AM(L),FW,,7(30),1005,9,-,1,-,1.2,80.1,1,2,6.46
8,"329Dennis AppiahNantes, 29, D(CLR)",Dennis Appiah Nantes,29, D(CLR),,,22(10),2094,-,-,4,-,0.1,76.8,0.9,-,6.46
9,"330Osman BukariNantes, 23, M(R),FW",Osman Bukari Nantes,23, M(R),FW,,10(14),1008,2,4,1,-,0.8,77.1,0.4,-,6.46
0,"331Hassane KamaraNice, 28, D(L),M(L)",Hassane Kamara Nice,28, D(L),M(L),,7(4),546,-,-,2,-,1.2,85.1,0.2,-,6.46
1,"332Andreaw GravillonReims, 24, D(C)",Andreaw Gravillon Reims,24, D(C),,,24(2),2141,-,-,5,2,0.6,76.7,1.2,-,6.45
2,"333Hugo MagnettiBrest, 24, DMC",Hugo Magnetti Brest,24, DMC,,,16(12),1462,-,1,4,-,0.6,84.8,0.2,-,6.45
3,"334Laurent KoscielnyBordeaux, 36, D(C)",Laurent Koscielny Bordeaux,36, D(C),,,11,936,-,1,2,-,-,89.7,1.6,-,6.45
4,"335Samuel LoricLorient, 21, Defender",Samuel Loric Lorient,21, Defender,,,3,270,-,-,-,-,0.3,68.7,2.3,-,6.45
5,"336OtávioBordeaux, 28, DMC",Otávio Bordeaux,28, DMC,,,13(3),1150,-,-,3,-,0.8,88.8,0.3,-,6.45
6,"337Oualid El HajjamTroyes, 31, D(CR)",Oualid El Hajjam Troyes,31, D(CR),,,12(7),1075,1,1,2,-,0.5,78.1,0.4,-,6.44
7,"338Isaac LihadjiLille, 20, Forward",Isaac Lihadji Lille,20, Forward,,,2(11),228,1,3,1,-,0.2,72.3,0.1,-,6.44
8,"339Wesley SaïdLens, 27, AM(CLR),FW",Wesley Saïd Lens,27, AM(CLR),FW,,7(14),650,5,-,2,-,1.2,74.1,0.3,-,6.44
9,"340Batista MendyAngers, 22, D(C),DMC",Batista Mendy Angers,22, D(C),DMC,,27(7),2417,1,1,5,-,0.4,85.6,0.7,-,6.43
0,"341Colin DagbaPSG, 23, D(R)",Colin Dagba PSG,23, D(R),,,2(1),166,-,-,1,-,-,93.3,0.3,-,6.43
1,"342Alidu SeiduClermont Foot, 22, D(C)",Alidu Seidu Clermont Foot,22, D(C),,,16(5),1410,-,-,5,2,0.4,86.9,0.8,-,6.43
2,"343Maxime EstèveMontpellier, 20, D(C)",Maxime Estève Montpellier,20, D(C),,,20(4),1856,-,-,2,-,0.2,84.4,1.3,-,6.43
3,"344Gaëtan PoussinBordeaux, 23, GK",Gaëtan Poussin Bordeaux,23, GK,,,13,1170,-,-,3,-,-,67.8,0.5,1,6.43
