,Player,Player.1,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
4,"95Ricardo PereiraLeicester, 28, D(LR),M(R)",Ricardo Pereira Leicester,28, D(LR),M(R),,13(1),994,1,3,3,-,0.7,79,1.1,-,6.91
5,"96Martin ØdegaardArsenal, 23, AM(CR)",Martin Ødegaard Arsenal,23, AM(CR),,,32(4),2793,7,4,4,-,1.5,86,0.4,1,6.91
6,"97Youri TielemansLeicester, 25, M(C)",Youri Tielemans Leicester,25, M(C),,,29(3),2634,6,4,3,-,1.8,83.5,0.8,3,6.9
7,"98Neco WilliamsLiverpool, 21, D(R)",Neco Williams Liverpool,21, D(R),,,0(1),7,-,1,-,-,-,100,-,-,6.9
8,"99Ollie WatkinsAston Villa, 26, AM(LR),FW",Ollie Watkins Aston Villa,26, AM(LR),FW,,33(2),2955,11,2,7,-,2.2,70.9,1.9,1,6.9
9,"100Leandro TrossardBrighton, 27, M(CLR),FW",Leandro Trossard Brighton,27, M(CLR),FW,,32(2),2812,8,3,2,-,2.2,77.9,0.3,5,6.9
0,"101Scott McTominayMan Utd, 25, D(C),DMC",Scott McTominay Man Utd,25, D(C),DMC,,28(2),2393,1,1,9,-,0.9,85.6,2.3,2,6.89
1,"102Alex TellesMan Utd, 29, D(L),M(L)",Alex Telles Man Utd,29, D(L),M(L),,18(3),1660,-,4,1,-,0.5,80.3,1.4,-,6.89
2,"103Andreas ChristensenChelsea, 26, D(C),DMC",Andreas Christensen Chelsea,26, D(C),DMC,,17(2),1496,-,-,2,-,0.3,90,2.6,-,6.89
3,"104Nathan CollinsBurnley, 21, D(CR)",Nathan Collins Burnley,21, D(CR),,,18(1),1670,2,-,2,1,0.8,69.2,3.1,1,6.89
4,"105Ibrahima KonatéLiverpool, 23, D(C)",Ibrahima Konaté Liverpool,23, D(C),,,11,990,-,-,2,-,0.4,88.1,3.1,-,6.89
5,"106Emmanuel DennisWatford, 24, M(LR),FW",Emmanuel Dennis Watford,24, M(LR),FW,,30(3),2591,10,6,7,1,1.8,68.3,1.4,2,6.89
6,"107Shane DuffyBrighton, 30, D(C)",Shane Duffy Brighton,30, D(C),,,15(3),1434,1,-,7,-,1.2,87.4,3.6,2,6.88
7,"108Maximilian KilmanWolves, 25, D(C)",Maximilian Kilman Wolves,25, D(C),,,30,2689,1,-,3,-,0.4,85.8,2.2,1,6.87
8,"109Ruben Loftus-CheekChelsea, 26, M(CLR)",Ruben Loftus-Cheek Chelsea,26, M(CLR),,,13(11),1388,-,2,1,-,0.8,89.7,1.5,-,6.87
9,"110AlissonLiverpool, 29, GK",Alisson Liverpool,29, GK,,,36,3240,-,1,-,-,-,85.5,0.4,1,6.87
0,"111Wesley FofanaLeicester, 21, D(C)",Wesley Fofana Leicester,21, D(C),,,7,630,-,-,2,-,0.4,89,3,-,6.87
1,"112Saïd BenrahmaWest Ham, 26, AM(CLR)",Saïd Benrahma West Ham,26, AM(CLR),,,26(6),2184,8,6,-,-,2,81.1,0.3,2,6.87
2,"113Emerson RoyalTottenham, 23, D(R),M(R)",Emerson Royal Tottenham,23, D(R),M(R),,26(5),2291,1,1,5,-,0.5,82.3,1.1,-,6.87
3,"114FredMan Utd, 29, M(C)",Fred Man Utd,29, M(C),,,24(4),2036,4,4,5,-,0.5,84.1,0.5,2,6.87
4,"115Oriol RomeuSouthampton, 30, DMC",Oriol Romeu Southampton,30, DMC,,,34(2),2899,2,2,9,-,0.7,82,1.9,2,6.87
5,"116Hassane KamaraWatford, 28, D(L),M(L)",Hassane Kamara Watford,28, D(L),M(L),,18(1),1625,1,-,3,1,0.3,70.5,1.6,-,6.86
6,"117Jordan HendersonLiverpool, 31, D(C),M(CLR)",Jordan Henderson Liverpool,31, D(C),M(CLR),,29(6),2604,2,5,3,-,0.9,85.5,0.5,-,6.86
7,"118Davinson SánchezTottenham, 25, D(C)",Davinson Sánchez Tottenham,25, D(C),,,17(6),1626,2,-,4,-,0.6,87.8,2,-,6.86
8,"119Josh BrownhillBurnley, 26, M(CR)",Josh Brownhill Burnley,26, M(CR),,,32(3),2953,2,3,10,-,0.8,77.4,1.3,2,6.86
9,"120Curtis JonesLiverpool, 21, AM(C)",Curtis Jones Liverpool,21, AM(C),,,10(5),856,1,1,-,-,1.3,90.5,0.5,-,6.86
0,"121Gabriel MartinelliArsenal, 20, AM(L),FW",Gabriel Martinelli Arsenal,20, AM(L),FW,,21(8),1866,6,6,1,1,1.8,79.7,0.6,1,6.86
1,"122Diogo DalotMan Utd, 23, D(LR),M(R)",Diogo Dalot Man Utd,23, D(LR),M(R),,19(5),1799,-,-,4,-,0.5,80.2,1.2,1,6.86
2,"123Liam CooperLeeds, 30, D(C)",Liam Cooper Leeds,30, D(C),,,21,1815,-,1,5,-,0.3,83.1,3.9,-,6.85
3,"124Antonio RüdigerChelsea, 29, D(CR)",Antonio Rüdiger Chelsea,29, D(CR),,,34,3035,3,-,9,-,1.4,88.1,1.6,-,6.85
4,"125Kai HavertzChelsea, 22, M(CR),FW",Kai Havertz Chelsea,22, M(CR),FW,,22(7),1816,8,3,3,-,1.9,81.3,1.3,1,6.85
5,"126Roberto FirminoLiverpool, 30, M(CLR),FW",Roberto Firmino Liverpool,30, M(CLR),FW,,10(10),987,5,4,3,-,1.5,78.8,0.7,1,6.85
6,"127Rúben NevesWolves, 25, DMC",Rúben Neves Wolves,25, DMC,,,31(2),2663,4,2,9,-,1.3,84,0.6,2,6.85
7,"128James McArthurCrystal Palace, 34, M(CLR)",James McArthur Crystal Palace,34, M(CLR),,,15(6),1438,-,3,4,-,0.4,83.1,1,-,6.84
8,"129Romain SaïssWolves, 32, D(C),DMC",Romain Saïss Wolves,32, D(C),DMC,,31,2709,2,-,6,-,0.6,80.1,2.4,1,6.84
9,"130Mohammed SalisuSouthampton, 23, D(CL)",Mohammed Salisu Southampton,23, D(CL),,,33(1),2972,-,-,8,1,0.7,77.9,3,3,6.83
0,"131Kyle Walker-PetersSouthampton, 25, D(LR),M(R)",Kyle Walker-Peters Southampton,25, D(LR),M(R),,29(3),2632,1,2,5,-,0.8,81.3,0.8,3,6.83
1,"132Takehiro TomiyasuArsenal, 23, D(CR)",Takehiro Tomiyasu Arsenal,23, D(CR),,,20(1),1682,-,1,2,-,0.5,81.1,2.2,1,6.83
2,"133JoelintonNewcastle, 25, AM(CLR),FW",Joelinton Newcastle,25, AM(CLR),FW,,30(5),2559,4,1,8,-,1.3,77.6,2.8,3,6.83
3,"134Romelu LukakuChelsea, 29, AM(R),FW",Romelu Lukaku Chelsea,29, AM(R),FW,,16(10),1586,8,-,1,-,1.7,72.9,2,2,6.83
4,"135Lucas MouraTottenham, 29, AM(CLR),FW",Lucas Moura Tottenham,29, AM(CLR),FW,,19(15),1774,2,6,4,-,1.1,76.7,1.4,3,6.82
5,"136Nélson SemedoWolves, 28, D(LR),M(R)",Nélson Semedo Wolves,28, D(LR),M(R),,25,2137,-,1,1,-,0.8,77.4,0.6,-,6.82
6,"137Charlie TaylorBurnley, 28, D(L),M(L)",Charlie Taylor Burnley,28, D(L),M(L),,30(1),2731,-,3,3,-,0.2,71.1,1.9,1,6.82
7,"138Ross BarkleyChelsea, 28, M(CLR)",Ross Barkley Chelsea,28, M(CLR),,,1(5),176,1,-,-,-,1.5,85.1,1,1,6.82
