,Player,Player.1,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
8,"509Shola ShoretireMan Utd, 18, Forward",Shola Shoretire Man Utd,18, Forward,,,0(1),16,-,-,-,-,-,100,-,-,6.05
9,"510Anwar El GhaziEverton, 27, AM(LR),FW",Anwar El Ghazi Everton,27, AM(LR),FW,,0(2),11,-,-,-,-,-,77.8,-,-,6.05
0,"511Jürgen LocadiaBrighton, 28, AM(LR),FW",Jürgen Locadia Brighton,28, AM(LR),FW,,0(1),22,-,-,-,-,1,100,-,-,6.04
1,"512Reiss NelsonArsenal, 22, M(LR)",Reiss Nelson Arsenal,22, M(LR),,,0(1),19,-,-,-,-,1,66.7,-,-,6.04
2,"513Cody DramehLeeds, 20, D(R)",Cody Drameh Leeds,20, D(R),,,1(2),126,-,-,1,-,-,74.5,0.3,-,6.03
3,"514EmersonChelsea, 27, D(L),M(L)",Emerson Chelsea,27, D(L),M(L),,0(1),4,-,-,-,-,-,50,-,-,6.03
4,"515TrézéguetAston Villa, 27, AM(LR)",Trézéguet Aston Villa,27, AM(LR),,,0(1),10,-,-,-,-,1,100,-,-,6.03
5,"516Dwight GayleNewcastle, 32, AM(LR),FW",Dwight Gayle Newcastle,32, AM(LR),FW,,0(8),34,-,-,1,-,0.3,81.3,0.1,-,6.02
6,"517Tyler OnyangoEverton, 19, Midfielder",Tyler Onyango Everton,19, Midfielder,,,0(3),27,-,-,-,-,0.3,50,0.3,-,6.02
7,"518Cameron ArcherAston Villa, 20, FW",Cameron Archer Aston Villa,20, FW,,,0(3),24,-,-,-,-,0.3,100,0.3,-,6.02
8,"519Kasey McAteerLeicester, 20, Midfielder",Kasey McAteer Leicester,20, Midfielder,,,0(1),2,-,-,-,-,-,100,-,-,6.01
9,"520Dominic ThompsonBrentford, 21, D(L),M(L)",Dominic Thompson Brentford,21, D(L),M(L),,2,148,-,-,-,-,0.5,54.1,0.5,-,6.01
0,"521Jeremy SarmientoBrighton, 19, Forward",Jeremy Sarmiento Brighton,19, Forward,,,1(4),45,-,-,-,-,-,72.2,0.2,-,6
1,"522Alex KrálWest Ham, 24, DMC",Alex Král West Ham,24, DMC,,,0(1),1,-,-,-,-,-,-,1,-,6
2,"523Daniel ChestersWest Ham, 20, Midfielder",Daniel Chesters West Ham,20, Midfielder,,,0(1),1,-,-,-,-,-,-,-,-,6
3,"524Hélder CostaLeeds, 28, AM(CLR)",Hélder Costa Leeds,28, AM(CLR),,,0(1),20,-,-,-,-,1,100,-,-,6
4,"525Moise KeanEverton, 22, AM(L),FW",Moise Kean Everton,22, AM(L),FW,,0(1),1,-,-,-,-,-,100,-,-,6
5,"526Nohan KennehLeeds, 19, Midfielder",Nohan Kenneh Leeds,19, Midfielder,,,1,1,-,-,1,-,-,-,-,-,6
6,"527Wesley MoraesAston Villa, 25, FW",Wesley Moraes Aston Villa,25, FW,,,0(1),1,-,-,-,-,-,100,1,-,6
7,"528Stuart McKinstryLeeds, 19, Midfielder",Stuart McKinstry Leeds,19, Midfielder,,,0(1),3,-,-,-,-,-,66.7,-,-,5.99
8,"529Lewis DobbinEverton, 19, Forward",Lewis Dobbin Everton,19, Forward,,,0(3),30,-,-,1,-,-,62.5,-,-,5.99
9,"530Alejandro GarnachoMan Utd, 17, Midfielder",Alejandro Garnacho Man Utd,17, Midfielder,,,0(2),12,-,-,-,-,-,100,-,-,5.98
0,"531Nathan FergusonCrystal Palace, 21, D(LR)",Nathan Ferguson Crystal Palace,21, D(LR),,,0(1),8,-,-,-,-,-,33.3,-,-,5.98
1,"532Nathan Young-CoombesBrentford, 19, Forward",Nathan Young-Coombes Brentford,19, Forward,,,0(1),3,-,-,-,-,-,-,-,-,5.98
2,"533Tony SpringettNorwich, 19, Midfielder",Tony Springett Norwich,19, Midfielder,,,1(2),141,-,-,1,-,0.3,66.7,0.3,-,5.97
3,"534Hannibal MejbriMan Utd, 19, Midfielder",Hannibal Mejbri Man Utd,19, Midfielder,,,1(1),68,-,-,2,-,0.5,81,-,-,5.97
4,"535Cenk TosunEverton, 30, FW",Cenk Tosun Everton,30, FW,,,0(1),6,-,-,-,-,-,100,-,-,5.96
5,"536Jaden Philogene-BidaceAston Villa, 20, AM(L)",Jaden Philogene-Bidace Aston Villa,20, AM(L),,,0(1),4,-,-,-,-,-,-,-,-,5.95
6,"537Folarin BalogunArsenal, 20, FW",Folarin Balogun Arsenal,20, FW,,,1(1),70,-,-,-,-,1.5,44.4,0.5,-,5.95
7,"538Morgan Gibbs-WhiteWolves, 22, AM(CR),FW",Morgan Gibbs-White Wolves,22, AM(CR),FW,,0(2),7,-,-,1,-,1,77.8,-,-,5.94
8,"539Evan FergusonBrighton, 17, Forward",Evan Ferguson Brighton,17, Forward,,,0(1),22,-,-,-,-,-,80,-,-,5.93
9,"540Keinan DavisAston Villa, 24, FW",Keinan Davis Aston Villa,24, FW,,,0(1),11,-,-,-,-,-,100,-,-,5.92
0,"541Liam McCarronLeeds, 21, Midfielder",Liam McCarron Leeds,21, Midfielder,,,0(1),9,-,-,-,-,-,100,-,-,5.91
1,"542Lewis BateLeeds, 19, Midfielder",Lewis Bate Leeds,19, Midfielder,,,1(2),147,-,-,-,-,0.3,73.8,-,-,5.82
2,"543Freddie WoodmanNewcastle, 25, GK",Freddie Woodman Newcastle,25, GK,,,4,360,-,-,-,-,-,58.9,-,-,5.81
3,"544Sead KolasinacArsenal, 28, D(CL),DMC,M(L)",Sead Kolasinac Arsenal,28, D(CL),DMC,M(L),1(1),91,-,-,1,-,-,92.9,-,-,5.72
4,"545Isaac PriceEverton, 18, Midfielder",Isaac Price Everton,18, Midfielder,,,0(1),12,-,-,-,-,1,50,-,-,5.7
5,"546Jonas LösslBrentford, 33, GK",Jonas Lössl Brentford,33, GK,,,2,180,-,-,-,-,-,65.5,-,-,5.55
6,"547Jed SteerAston Villa, 29, GK",Jed Steer Aston Villa,29, GK,,,1,90,-,-,-,-,-,74.2,-,-,5.46
