,Player,Player.1,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,"321Sascha BurchertGreuther Fuerth, 32, GK",Sascha Burchert Greuther Fuerth,32, GK,,,14,1260,-,-,-,-,-,56.2,0.2,2,6.38
1,"322Dominique HeintzUnion Berlin, 28, D(CL)",Dominique Heintz Union Berlin,28, D(CL),,,7,474,-,-,-,-,0.1,79.7,1,-,6.38
2,"323Sebastian AnderssonFC Koln, 30, FW",Sebastian Andersson FC Koln,30, FW,,,13(13),1254,3,1,3,-,1.3,65.2,2,1,6.38
3,"324Patrick HerrmannBorussia M.Gladbach, 31, M(LR),FW",Patrick Herrmann Borussia M.Gladbach,31, M(LR),FW,,5(18),744,-,4,1,-,0.6,75.7,0.2,-,6.38
4,"325Marcel SabitzerBayern, 28, M(CLR),FW",Marcel Sabitzer Bayern,28, M(CLR),FW,,8(17),900,1,1,-,-,0.8,82.4,0.5,-,6.38
5,"326Justin HoogmaGreuther Fuerth, 23, D(C)",Justin Hoogma Greuther Fuerth,23, D(C),,,3,270,-,-,1,-,0.3,79.5,3.3,-,6.38
6,"327Jeremy DudziakGreuther Fuerth, 26, D(LR),M(CL)",Jeremy Dudziak Greuther Fuerth,26, D(LR),M(CL),,15(7),1139,2,-,1,-,0.7,70.6,0.4,1,6.38
7,"328Edimilson FernandesArminia Bielefeld, 26, M(CR)",Edimilson Fernandes Arminia Bielefeld,26, M(CR),,,2(5),282,-,-,-,-,0.6,80.2,0.7,-,6.38
8,"329Dodi LukébakioHertha Berlin, 24, AM(CLR),FW",Dodi Lukébakio Hertha Berlin,24, AM(CLR),FW,,2(1),176,1,-,-,-,1.3,65.7,0.3,-,6.37
9,"330Roberto MassimoStuttgart, 21, M(R)",Roberto Massimo Stuttgart,21, M(R),,,11(8),879,2,-,-,-,1.1,76.8,0.2,-,6.37
0,"331Julian ChabotFC Koln, 24, D(C)",Julian Chabot FC Koln,24, D(C),,,2(2),208,-,-,1,-,-,78.3,2.3,-,6.37
1,"332Ajdin HrusticEintracht Frankfurt, 25, M(CLR)",Ajdin Hrustic Eintracht Frankfurt,25, M(CLR),,,9(14),960,2,-,2,-,1.3,81.8,0.3,1,6.37
2,"333Andreas VoglsammerUnion Berlin, 30, AM(LR),FW",Andreas Voglsammer Union Berlin,30, AM(LR),FW,,5(27),865,2,1,1,-,1,62.6,1.1,-,6.37
3,"334Tobias StroblAugsburg, 32, D(CR),DMC",Tobias Strobl Augsburg,32, D(CR),DMC,,4(1),325,-,-,1,-,0.4,70.7,1.4,-,6.37
4,"335Hans Nunoo SarpeiGreuther Fuerth, 23, D(C),DMC",Hans Nunoo Sarpei Greuther Fuerth,23, D(C),DMC,,7(1),643,-,-,2,-,0.4,81.1,1.3,-,6.36
5,"336Timothy ChandlerEintracht Frankfurt, 32, D(R),M(LR)",Timothy Chandler Eintracht Frankfurt,32, D(R),M(LR),,15(2),1218,-,-,4,-,0.8,62.4,0.8,-,6.36
6,"337Marcus IngvartsenMainz, 26, AM(CR),FW",Marcus Ingvartsen Mainz,26, AM(CR),FW,,6(20),668,6,-,2,-,1,70.2,0.7,1,6.36
7,"338Mike van der HoornArminia Bielefeld, 29, D(C)",Mike van der Hoorn Arminia Bielefeld,29, D(C),,,0(1),13,-,-,-,-,-,100,-,-,6.36
8,"339Sebastian RudyHoffenheim, 32, D(R),M(CR)",Sebastian Rudy Hoffenheim,32, D(R),M(CR),,7(14),764,3,1,5,-,0.7,77.8,0.3,-,6.36
9,"340Marcel LotkaHertha Berlin, 21, GK",Marcel Lotka Hertha Berlin,21, GK,,,9(1),884,-,-,1,-,-,54.9,0.7,1,6.36
0,"341Jetro WillemsGreuther Fuerth, 28, D(L),DMC,M(L)",Jetro Willems Greuther Fuerth,28, D(L),DMC,M(L),20(4),1612,1,-,5,-,0.5,75.9,0.8,-,6.36
1,"342Sven MichelUnion Berlin, 31, AM(L),FW",Sven Michel Union Berlin,31, AM(L),FW,,2(11),330,3,1,2,-,0.7,59,1,-,6.35
2,"343Kevin BehrensUnion Berlin, 31, FW",Kevin Behrens Union Berlin,31, FW,,,2(22),480,2,2,1,-,0.7,65.1,1.9,-,6.35
3,"344Patrick OsterhageBochum, 22, M(C)",Patrick Osterhage Bochum,22, M(C),,,6(6),574,-,1,2,-,0.3,77.5,1.2,-,6.34
4,"345András SchäferUnion Berlin, 23, M(C)",András Schäfer Union Berlin,23, M(C),,,1(7),233,1,1,2,-,0.9,76.5,0.1,-,6.34
5,"346Dominique HeintzFreiburg, 28, D(CL)",Dominique Heintz Freiburg,28, D(CL),,,0(1),28,-,-,-,-,-,95.2,1,-,6.34
6,"347Marcus IngvartsenUnion Berlin, 26, AM(CR),FW",Marcus Ingvartsen Union Berlin,26, AM(CR),FW,,2,124,-,-,-,-,0.5,69,1.5,-,6.34
7,"348Márton DárdaiHertha Berlin, 20, D(C)",Márton Dárdai Hertha Berlin,20, D(C),,,9(3),759,-,1,2,-,0.3,72.3,1,1,6.34
8,"349Davie SelkeHertha Berlin, 27, FW",Davie Selke Hertha Berlin,27, FW,,,10(15),997,4,-,1,-,1,60.5,2.3,-,6.34
9,"350Bryan LasmeArminia Bielefeld, 23, FW",Bryan Lasme Arminia Bielefeld,23, FW,,,7(16),869,2,-,2,-,0.6,59.6,1.5,-,6.33
0,"351Havard NielsenGreuther Fuerth, 28, AM(CL),FW",Havard Nielsen Greuther Fuerth,28, AM(CL),FW,,14(12),1371,2,-,2,-,1.1,66.4,2.3,-,6.33
1,"352Marwin HitzBorussia Dortmund, 34, GK",Marwin Hitz Borussia Dortmund,34, GK,,,4(1),405,-,-,-,-,-,84.9,-,-,6.33
2,"353Jannes HornFC Koln, 25, D(CL),M(L)",Jannes Horn FC Koln,25, D(CL),M(L),,3(8),474,-,-,2,-,0.3,75.4,0.7,-,6.33
3,"354Keven SchlotterbeckFreiburg, 25, D(C)",Keven Schlotterbeck Freiburg,25, D(C),,,3(9),311,-,-,1,-,0.1,84,0.8,1,6.33
4,"355Janni SerraArminia Bielefeld, 24, FW",Janni Serra Arminia Bielefeld,24, FW,,,15(11),1125,3,2,1,-,0.9,62.1,2,-,6.33
5,"356Jens Petter HaugeEintracht Frankfurt, 22, AM(CLR)",Jens Petter Hauge Eintracht Frankfurt,22, AM(CLR),,,9(17),1031,2,2,4,-,0.7,71.8,0.4,1,6.33
6,"357Kevin VogtHoffenheim, 30, D(CR),M(C)",Kevin Vogt Hoffenheim,30, D(CR),M(C),,29(1),2570,-,2,7,-,0.1,88.2,0.8,-,6.33
7,"358Marco JohnHoffenheim, 20, M(L)",Marco John Hoffenheim,20, M(L),,,0(2),40,-,-,-,-,-,92.3,-,-,6.33
8,"359Gonçalo PaciênciaEintracht Frankfurt, 27, FW",Gonçalo Paciência Eintracht Frankfurt,27, FW,,,4(14),505,3,-,3,-,1.6,68.5,1,-,6.31
9,"360Danny da CostaEintracht Frankfurt, 28, D(R),M(R)",Danny da Costa Eintracht Frankfurt,28, D(R),M(R),,7(4),724,-,-,2,-,0.2,67.7,1.3,-,6.31
0,"361Christoph KramerBorussia M.Gladbach, 31, DMC",Christoph Kramer Borussia M.Gladbach,31, DMC,,,7(11),742,-,-,1,-,0.2,78.9,0.7,-,6.31
1,"362Tobias RaschlGreuther Fuerth, 22, M(C)",Tobias Raschl Greuther Fuerth,22, M(C),,,7(3),598,-,1,-,-,0.5,81.4,0.1,-,6.3
2,"363Kevin StögerMainz, 28, M(CL)",Kevin Stöger Mainz,28, M(CL),,,1(22),403,1,1,3,-,0.7,77.7,0.1,-,6.3
3,"364Cedric IttenGreuther Fuerth, 25, FW",Cedric Itten Greuther Fuerth,25, FW,,,7(5),634,2,-,1,-,1.3,59.6,2.6,-,6.3
4,"365Janik HabererFreiburg, 28, M(CLR),FW",Janik Haberer Freiburg,28, M(CLR),FW,,7(19),806,3,-,1,-,0.5,76.7,0.6,-,6.3
5,"366Ermedin DemirovicFreiburg, 24, FW",Ermedin Demirovic Freiburg,24, FW,,,9(22),862,2,3,4,-,0.8,62.1,0.5,1,6.3
6,"367Wahidullah FaghirStuttgart, 18, Forward",Wahidullah Faghir Stuttgart,18, Forward,,,0(6),120,1,-,-,-,0.8,65.6,0.7,-,6.3
7,"368Linus GechterHertha Berlin, 18, D(C)",Linus Gechter Hertha Berlin,18, D(C),,,6(7),713,1,-,-,-,0.4,79.7,0.6,-,6.3
8,"369Malik TillmanBayern, 20, Forward",Malik Tillman Bayern,20, Forward,,,1(3),103,-,-,-,-,0.3,77.5,0.8,-,6.3
9,"370Mijat GacinovicHoffenheim, 27, M(CLR)",Mijat Gacinovic Hoffenheim,27, M(CLR),,,1(3),108,-,-,1,-,0.3,69.6,0.8,-,6.3
0,"371Raphael FrambergerAugsburg, 26, D(R),M(R)",Raphael Framberger Augsburg,26, D(R),M(R),,9(14),840,-,-,3,-,-,66.5,0.4,-,6.29
1,"372Daley SinkgravenLeverkusen, 26, D(L),M(CL)",Daley Sinkgraven Leverkusen,26, D(L),M(CL),,3(9),346,-,-,-,-,0.1,84,0.3,-,6.29
2,"373Louis SchaubFC Koln, 27, AM(CR)",Louis Schaub FC Koln,27, AM(CR),,,6(22),640,1,2,-,-,0.5,69.6,0.1,-,6.29
3,"374Fredrik JensenAugsburg, 24, AM(C),FW",Fredrik Jensen Augsburg,24, AM(C),FW,,2(10),410,-,1,-,-,0.5,55.1,0.7,-,6.29
4,"375Daniel DidaviStuttgart, 32, AM(CR),FW",Daniel Didavi Stuttgart,32, AM(CR),FW,,2(8),272,-,1,1,-,0.7,70.1,0.4,-,6.29
5,"376Håvard NordtveitHoffenheim, 31, D(CR),DMC",Håvard Nordtveit Hoffenheim,31, D(CR),DMC,,1(10),295,-,-,1,-,0.1,80,0.5,-,6.29
6,"377Andi ZeqiriAugsburg, 22, FW",Andi Zeqiri Augsburg,22, FW,,,11(11),1032,2,1,2,-,1.4,67.9,0.5,-,6.29
7,"378Krzysztof PiatekHertha Berlin, 26, FW",Krzysztof Piatek Hertha Berlin,26, FW,,,4(5),346,1,-,-,-,1.3,64.9,1.4,-,6.29
8,"379Almamy TouréEintracht Frankfurt, 26, D(CR),M(R)",Almamy Touré Eintracht Frankfurt,26, D(CR),M(R),,5(5),509,-,-,2,-,0.6,72.5,1.3,-,6.28
9,"380Mateo KlimowiczStuttgart, 21, AM(C),FW",Mateo Klimowicz Stuttgart,21, AM(C),FW,,7(8),602,-,1,2,-,0.7,74.2,0.1,-,6.28
0,"381Maximilian BauerGreuther Fuerth, 22, D(C)",Maximilian Bauer Greuther Fuerth,22, D(C),,,18(8),1687,-,-,5,-,0.2,80.9,1.9,-,6.28
1,"382Jacob Bruun LarsenHoffenheim, 23, AM(CL)",Jacob Bruun Larsen Hoffenheim,23, AM(CL),,,9(16),804,4,1,1,-,0.7,74.4,0.4,-,6.28
2,"383Tanguy CoulibalyStuttgart, 21, M(CLR),FW",Tanguy Coulibaly Stuttgart,21, M(CLR),FW,,11(10),1082,-,1,8,-,0.6,75.5,0.4,-,6.27
3,"384Felix UduokhaiAugsburg, 24, D(C)",Felix Uduokhai Augsburg,24, D(C),,,8(5),784,-,-,1,-,0.2,77.9,1.8,-,6.27
4,"385Deyovaisio ZeefuikHertha Berlin, 24, D(R),M(R)",Deyovaisio Zeefuik Hertha Berlin,24, D(R),M(R),,6(5),563,-,-,1,-,-,74.6,0.8,-,6.27
5,"386Timothy Fosu-MensahLeverkusen, 24, D(CR)",Timothy Fosu-Mensah Leverkusen,24, D(CR),,,0(6),140,-,-,-,-,-,80.9,0.3,-,6.27
6,"387Gonzalo CastroArminia Bielefeld, 34, D(L),M(CR)",Gonzalo Castro Arminia Bielefeld,34, D(L),M(CR),,4(8),433,1,1,-,-,0.7,74,0.3,-,6.27
7,"388Niklas TauerMainz, 21, Midfielder",Niklas Tauer Mainz,21, Midfielder,,,6(5),487,-,-,1,1,0.2,73.9,0.7,-,6.27
8,"389Soma NovothnyBochum, 27, Forward",Soma Novothny Bochum,27, Forward,,,0(6),75,1,-,-,-,0.5,66.7,0.3,-,6.27
9,"390Kevin-Prince BoatengHertha Berlin, 35, M(CLR),FW",Kevin-Prince Boateng Hertha Berlin,35, M(CLR),FW,,9(10),696,-,-,8,-,0.5,77.6,1.4,-,6.26
0,"391Christopher Antwi-AdjeiBochum, 28, AM(CLR)",Christopher Antwi-Adjei Bochum,28, AM(CLR),,,11(13),1038,1,1,2,-,1.1,67,0.5,-,6.26
1,"392Jurgen EkkelenkampHertha Berlin, 22, AM(C)",Jurgen Ekkelenkamp Hertha Berlin,22, AM(C),,,6(15),713,3,-,1,-,0.7,69.7,0.4,-,6.26
2,"393David NemethMainz, 21, Defender",David Nemeth Mainz,21, Defender,,,2(4),309,-,-,-,-,-,84.4,1.7,-,6.26
3,"394Vincent VermeijFreiburg, 27, FW",Vincent Vermeij Freiburg,27, FW,,,0(1),2,-,-,-,-,-,66.7,1,-,6.25
4,"395Robert SkovHoffenheim, 26, D(L),M(LR)",Robert Skov Hoffenheim,26, D(L),M(LR),,3(9),362,-,1,1,-,1,77.8,0.3,-,6.25
5,"396Kingsley SchindlerFC Koln, 28, D(R),M(R),FW",Kingsley Schindler FC Koln,28, D(R),M(R),FW,1(17),335,1,2,1,-,0.2,59.8,0.4,-,6.25
6,"397Nadiem AmiriLeverkusen, 25, M(CLR)",Nadiem Amiri Leverkusen,25, M(CLR),,,3(10),362,1,-,-,-,0.6,85.2,0.1,-,6.25
7,"398Sargis AdamyanHoffenheim, 29, AM(CLR),FW",Sargis Adamyan Hoffenheim,29, AM(CLR),FW,,2(11),324,1,-,-,-,0.2,73.3,0.3,-,6.25
8,"399Hwang Hee-ChanRBL, 26, AM(CLR),FW",Hwang Hee-Chan RBL,26, AM(CLR),FW,,0(2),47,-,-,-,-,0.5,87.5,0.5,-,6.25
9,"400Tim LemperleFC Koln, 20, Midfielder",Tim Lemperle FC Koln,20, Midfielder,,,0(13),137,2,-,-,-,0.5,66.7,0.4,-,6.24
0,"401Erik ThommyStuttgart, 27, M(CLR)",Erik Thommy Stuttgart,27, M(CLR),,,1(10),267,-,-,-,-,0.9,87.1,0.2,-,6.24
1,"402Nikolas NarteyStuttgart, 22, M(CL)",Nikolas Nartey Stuttgart,22, M(CL),,,4(4),401,-,-,1,-,0.1,74,1.3,-,6.24
2,"403Andrey LunevLeverkusen, 30, GK",Andrey Lunev Leverkusen,30, GK,,,1,90,-,-,-,-,-,86.4,-,-,6.24
3,"404Lucas CopadoBayern, 18, Forward",Lucas Copado Bayern,18, Forward,,,0(1),16,-,-,-,-,1,75,-,-,6.24
4,"405László BénesBorussia M.Gladbach, 24, AM(C)",László Bénes Borussia M.Gladbach,24, AM(C),,,2(11),239,-,-,-,-,0.5,79.3,0.4,-,6.24
5,"406Sam LammersEintracht Frankfurt, 25, FW",Sam Lammers Eintracht Frankfurt,25, FW,,,5(10),515,1,-,1,-,0.8,62.1,1.4,-,6.24
6,"407Tomás OstrákFC Koln, 22, Midfielder",Tomás Ostrák FC Koln,22, Midfielder,,,0(5),26,-,1,-,-,0.4,66.7,-,-,6.24
7,"408Ádám SzalaiMainz, 34, FW",Ádám Szalai Mainz,34, FW,,,2(10),255,1,-,1,-,0.8,52.7,0.7,-,6.24
8,"409Lukas KlünterHertha Berlin, 26, D(CR),M(R)",Lukas Klünter Hertha Berlin,26, D(CR),M(R),,2(3),193,-,-,1,-,-,74.3,0.6,-,6.23
9,"410Noah KatterbachFC Koln, 21, D(L)",Noah Katterbach FC Koln,21, D(L),,,0(1),16,-,-,-,-,-,42.9,-,-,6.23
0,"411Ricardo PepiAugsburg, 19, FW",Ricardo Pepi Augsburg,19, FW,,,4(7),476,-,-,-,-,0.7,66.7,0.7,-,6.22
1,"412Myziane MaolidaHertha Berlin, 23, AM(LR),FW",Myziane Maolida Hertha Berlin,23, AM(LR),FW,,9(5),780,1,1,-,-,1,68.9,0.6,-,6.22
2,"413Cimo RöckerHertha Berlin, 28, Defender",Cimo Röcker Hertha Berlin,28, Defender,,,0(1),21,-,-,-,-,-,68.8,-,-,6.22
3,"414Sven UlreichBayern, 33, GK",Sven Ulreich Bayern,33, GK,,,6,540,-,-,-,-,-,82.8,0.2,-,6.22
4,"415Carlos GruezoAugsburg, 27, DMC",Carlos Gruezo Augsburg,27, DMC,,,9(8),971,-,-,7,-,0.6,77.2,0.6,-,6.22
5,"416Hugo NovoaRBL, 19, Forward",Hugo Novoa RBL,19, Forward,,,1(7),130,1,-,-,-,0.3,62.8,0.3,-,6.21
6,"417Noah Sarenren BazeeAugsburg, 25, AM(R)",Noah Sarenren Bazee Augsburg,25, AM(R),,,1(13),230,1,-,1,-,0.5,65.8,0.6,-,6.21
7,"418Robin HackArminia Bielefeld, 23, AM(CLR),FW",Robin Hack Arminia Bielefeld,23, AM(CLR),FW,,13(17),1356,-,2,2,-,1,74.4,0.3,-,6.21
8,"419Enzo MillotStuttgart, 19, Midfielder",Enzo Millot Stuttgart,19, Midfielder,,,0(6),48,-,1,-,-,-,82.1,0.7,-,6.21
9,"420Gabriel VidovicBayern, 18, Forward",Gabriel Vidovic Bayern,18, Forward,,,0(3),33,-,-,-,-,-,75,-,-,6.2
0,"421George BelloArminia Bielefeld, 20, D(L),M(L)",George Bello Arminia Bielefeld,20, D(L),M(L),,3(7),427,-,-,-,-,0.3,81.6,-,-,6.2
1,"422Iker BravoLeverkusen, 17, Forward",Iker Bravo Leverkusen,17, Forward,,,0(1),11,-,-,-,-,-,-,-,-,6.2
2,"423Ragnar AcheEintracht Frankfurt, 23, FW",Ragnar Ache Eintracht Frankfurt,23, FW,,,1(12),249,-,1,-,-,0.8,60,1.4,-,6.2
3,"424Levin ÖztunaliUnion Berlin, 26, M(CLR)",Levin Öztunali Union Berlin,26, M(CLR),,,5(13),564,-,-,-,-,0.4,69.8,0.6,-,6.2
4,"425Julian BaumgartlingerLeverkusen, 34, DMC",Julian Baumgartlinger Leverkusen,34, DMC,,,1(5),84,-,-,1,-,-,89.9,0.2,-,6.19
5,"426Kiliann SildilliaFreiburg, 20, Defender",Kiliann Sildillia Freiburg,20, Defender,,,1(6),167,-,-,1,-,-,64.9,0.1,-,6.19
6,"427Marcel SabitzerRBL, 28, M(CLR),FW",Marcel Sabitzer RBL,28, M(CLR),FW,,0(2),47,-,-,1,-,1,82.2,-,-,6.19
7,"428Gian-Luca WaldschmidtWolfsburg, 26, AM(CLR),FW",Gian-Luca Waldschmidt Wolfsburg,26, AM(CLR),FW,,9(5),719,1,-,2,-,1.2,79.4,0.1,-,6.19
8,"429Florian KrügerArminia Bielefeld, 23, AM(CLR),FW",Florian Krüger Arminia Bielefeld,23, AM(CLR),FW,,12(15),1112,1,2,-,-,0.7,70.1,0.4,-,6.18
9,"430Ansgar KnauffBorussia Dortmund, 20, M(R)",Ansgar Knauff Borussia Dortmund,20, M(R),,,0(5),110,-,-,-,-,0.2,50,0.6,-,6.18
0,"431Stefan IlsankerEintracht Frankfurt, 33, D(CR),DMC",Stefan Ilsanker Eintracht Frankfurt,33, D(CR),DMC,,3(9),261,-,-,1,-,0.3,80.9,0.5,-,6.18
1,"432Julian EitschbergerHertha Berlin, 18, Defender",Julian Eitschberger Hertha Berlin,18, Defender,,,1,46,-,-,-,-,-,63.3,-,-,6.18
2,"433Lennard MaloneyBorussia Dortmund, 22, Defender",Lennard Maloney Borussia Dortmund,22, Defender,,,0(2),7,-,-,-,-,-,78.6,0.5,-,6.18
3,"434Jan MorávekAugsburg, 32, M(C)",Jan Morávek Augsburg,32, M(C),,,5(12),466,-,-,1,-,0.1,70.4,0.5,-,6.18
4,"435Daniel BrosinskiMainz, 33, D(LR),M(LR)",Daniel Brosinski Mainz,33, D(LR),M(LR),,4(7),386,-,-,-,-,0.1,71.6,0.5,-,6.17
5,"436Felix NmechaWolfsburg, 21, Midfielder",Felix Nmecha Wolfsburg,21, Midfielder,,,1(15),308,-,-,2,-,0.6,73.1,0.7,-,6.17
6,"437Dennis JastrzembskiHertha Berlin, 22, Forward",Dennis Jastrzembski Hertha Berlin,22, Forward,,,1(7),222,-,-,1,-,0.1,63.2,0.5,-,6.17
7,"438Brian BrobbeyRBL, 20, FW",Brian Brobbey RBL,20, FW,,,1(8),124,-,2,-,-,0.4,90.3,0.4,-,6.17
8,"439Keanan BennettsBorussia M.Gladbach, 23, AM(R)",Keanan Bennetts Borussia M.Gladbach,23, AM(R),,,0(4),47,-,-,1,-,0.3,66.7,0.5,-,6.17
9,"440Luca WollschlägerHertha Berlin, 19, Forward",Luca Wollschläger Hertha Berlin,19, Forward,,,0(2),14,-,-,-,-,0.5,83.3,-,-,6.16
0,"441Saulo DecarliBochum, 30, D(C)",Saulo Decarli Bochum,30, D(C),,,0(1),8,-,-,-,-,1,100,-,-,6.16
1,"442Sergio CórdovaAugsburg, 24, FW",Sergio Córdova Augsburg,24, FW,,,2(11),318,-,-,2,-,0.5,68.9,1.2,-,6.16
2,"443Fredrik BjørkanHertha Berlin, 23, Defender",Fredrik Bjørkan Hertha Berlin,23, Defender,,,2(7),349,-,-,1,-,-,79.1,0.1,-,6.16
3,"444Anton KadeHertha Berlin, 18, Forward",Anton Kade Hertha Berlin,18, Forward,,,0(4),74,-,-,-,-,0.3,63.2,0.5,-,6.15
4,"445Finn DahmenMainz, 24, GK",Finn Dahmen Mainz,24, GK,,,2,180,-,-,-,-,-,81.4,-,-,6.15
5,"446Yannik KeitelFreiburg, 22, DMC",Yannik Keitel Freiburg,22, DMC,,,5(7),501,-,-,1,-,0.8,69.6,0.9,-,6.14
6,"447Baptiste SantamaríaFreiburg, 27, DMC",Baptiste Santamaría Freiburg,27, DMC,,,0(1),20,-,-,-,-,-,33.3,-,-,6.14
7,"448Dickson AbiamaGreuther Fuerth, 23, FW",Dickson Abiama Greuther Fuerth,23, FW,,,5(19),715,-,1,3,-,0.8,63.6,0.8,-,6.14
8,"449Zidan SertdemirLeverkusen, 17, Midfielder",Zidan Sertdemir Leverkusen,17, Midfielder,,,0(3),15,-,-,-,-,-,100,-,-,6.13
9,"450Julian GreenGreuther Fuerth, 27, M(CL),FW",Julian Green Greuther Fuerth,27, M(CL),FW,,12(12),1052,-,-,2,-,0.8,83.4,0.2,-,6.13
0,"451Burak InceArminia Bielefeld, 18, Midfielder",Burak Ince Arminia Bielefeld,18, Midfielder,,,1(4),138,-,-,-,-,0.8,93.5,-,-,6.13
1,"452Omer Faruk BeyazStuttgart, 18, Midfielder",Omer Faruk Beyaz Stuttgart,18, Midfielder,,,0(4),68,-,-,-,-,0.8,79.4,-,-,6.13
2,"453Justin CheHoffenheim, 18, D(R)",Justin Che Hoffenheim,18, D(R),,,0(2),39,-,-,-,-,0.5,78.9,-,-,6.12
3,"454Youssoufa MoukokoBorussia Dortmund, 17, Forward",Youssoufa Moukoko Borussia Dortmund,17, Forward,,,1(15),210,2,-,1,-,0.5,88.2,-,-,6.12
4,"455Paul NebelMainz, 19, Midfielder",Paul Nebel Mainz,19, Midfielder,,,2(8),226,-,1,3,-,0.3,65.5,-,-,6.12
5,"456Solomon BonnahRBL, 18, Defender",Solomon Bonnah RBL,18, Defender,,,0(1),6,-,-,-,-,-,100,-,-,6.11
6,"457Alexis TibidiStuttgart, 18, Forward",Alexis Tibidi Stuttgart,18, Forward,,,2(11),380,-,-,1,-,0.3,74.6,0.5,-,6.11
7,"458Simon AstaGreuther Fuerth, 21, D(R),M(R)",Simon Asta Greuther Fuerth,21, D(R),M(R),,9(4),784,-,-,1,-,0.2,71.8,0.3,-,6.1
8,"459Paul WannerBayern, 16, Midfielder",Paul Wanner Bayern,16, Midfielder,,,0(4),36,-,-,-,-,-,90.9,-,-,6.1
9,"460Keita EndoUnion Berlin, 24, Midfielder",Keita Endo Union Berlin,24, Midfielder,,,0(4),53,-,-,-,-,0.5,62.5,-,-,6.09
0,"461Kevin MöhwaldUnion Berlin, 28, M(CR)",Kevin Möhwald Union Berlin,28, M(CR),,,3(13),349,-,-,2,-,0.6,79.9,0.2,-,6.09
1,"462Nathan de MedinaArminia Bielefeld, 24, D(R)",Nathan de Medina Arminia Bielefeld,24, D(R),,,7(12),768,-,-,2,-,0.3,73,0.4,-,6.09
2,"463Lasse GüntherAugsburg, 19, Forward",Lasse Günther Augsburg,19, Forward,,,1(4),159,-,-,1,-,0.4,69.1,-,-,6.08
3,"464Cedric TeuchertUnion Berlin, 25, AM(CLR),FW",Cedric Teuchert Union Berlin,25, AM(CLR),FW,,0(6),99,-,-,-,-,0.5,73.1,0.3,-,6.08
4,"465Anthony UjahUnion Berlin, 31, FW",Anthony Ujah Union Berlin,31, FW,,,0(3),32,-,-,-,-,1,55.6,0.3,-,6.08
5,"466Kasim AdamsHoffenheim, 26, D(C)",Kasim Adams Hoffenheim,26, D(C),,,0(3),3,-,-,-,-,0.3,75,0.3,-,6.08
6,"467Silvère GanvoulaBochum, 25, FW",Silvère Ganvoula Bochum,25, FW,,,0(9),145,-,-,-,-,0.3,57.6,2.4,-,6.07
7,"468Mohamed SankohStuttgart, 18, Forward",Mohamed Sankoh Stuttgart,18, Forward,,,0(1),4,-,-,-,-,1,-,-,-,6.07
8,"469Afimico PululuGreuther Fuerth, 23, Forward",Afimico Pululu Greuther Fuerth,23, Forward,,,0(8),62,-,-,-,-,0.1,70,0.3,-,6.07
9,"470Joel PohjanpaloLeverkusen, 27, FW",Joel Pohjanpalo Leverkusen,27, FW,,,0(2),10,-,-,-,-,-,33.3,0.5,-,6.07
0,"471Ilaix MoribaRBL, 19, M(C)",Ilaix Moriba RBL,19, M(C),,,0(2),30,-,-,-,-,0.5,81,-,-,6.07
1,"472Adrian FeinGreuther Fuerth, 23, DMC",Adrian Fein Greuther Fuerth,23, DMC,,,0(3),29,-,-,-,-,0.3,62.5,-,-,6.06
2,"473ReinierBorussia Dortmund, 20, AM(C)",Reinier Borussia Dortmund,20, AM(C),,,1(12),153,-,-,-,-,0.1,75.3,0.1,-,6.06
3,"474Javairô DilrosunHertha Berlin, 23, AM(CLR)",Javairô Dilrosun Hertha Berlin,23, AM(CLR),,,1(1),137,-,-,-,-,0.5,81.3,-,-,6.06
4,"475Luis HartwigBochum, 19, Forward",Luis Hartwig Bochum,19, Forward,,,0(1),1,-,-,-,-,-,50,1,-,6.06
5,"476Kevin ParedesWolfsburg, 19, M(L)",Kevin Paredes Wolfsburg,19, M(L),,,0(2),13,-,-,-,-,-,85.7,-,-,6.06
6,"477Mathias OlesenFC Koln, 21, Midfielder",Mathias Olesen FC Koln,21, Midfielder,,,0(3),14,-,-,-,-,-,76.9,-,-,6.05
7,"478Tarsis BongaBochum, 25, Forward",Tarsis Bonga Bochum,25, Forward,,,0(3),14,-,-,-,-,1,57.1,0.3,-,6.05
8,"479Philipp TschaunerRBL, 36, GK",Philipp Tschauner RBL,36, GK,,,0(1),3,-,-,-,-,-,80,-,-,6.05
9,"480Tobias SippelBorussia M.Gladbach, 34, GK",Tobias Sippel Borussia M.Gladbach,34, GK,,,1,90,-,-,-,-,-,81.4,-,-,6.05
0,"481SilasStuttgart, 23, M(LR),FW",Silas Stuttgart,23, M(LR),FW,,3(6),271,-,-,-,-,0.1,71.7,0.2,-,6.05
1,"482Admir MehmediWolfsburg, 31, M(CLR),FW",Admir Mehmedi Wolfsburg,31, M(CLR),FW,,0(1),3,-,-,-,-,-,60,-,-,6.04
2,"483Bartosz BialekWolfsburg, 20, Forward",Bartosz Bialek Wolfsburg,20, Forward,,,1(11),171,-,-,1,-,0.5,54.8,0.4,-,6.04
3,"484Matej MaglicaStuttgart, 23, Defender",Matej Maglica Stuttgart,23, Defender,,,0(1),5,-,-,-,-,-,-,1,-,6.04
