,Player,Player.1,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
5,"216Maxime GonalonsGranada, 33, D(C),M(C)",Maxime Gonalons Granada,33, D(C),M(C),,20(5),1556,-,2,6,-,0.4,84.5,1.4,2,6.61
6,"217Jon BautistaReal Sociedad, 26, FW",Jon Bautista Real Sociedad,26, FW,,,0(1),45,-,-,-,-,1,85.7,1,-,6.61
7,"218Djené DakonamGetafe, 30, D(C)",Djené Dakonam Getafe,30, D(C),,,35,3117,-,1,11,1,0.1,77.5,1.5,1,6.61
8,"219Kiko CasillaElche, 35, GK",Kiko Casilla Elche,35, GK,,,14,1260,-,-,3,-,-,61.9,0.2,-,6.61
9,"220Rubén RochinaGranada, 31, M(CLR)",Rubén Rochina Granada,31, M(CLR),,,8(7),739,1,3,3,-,1,72.8,0.4,1,6.61
0,"221Jaume CostaMallorca, 34, D(LR),M(L)",Jaume Costa Mallorca,34, D(LR),M(L),,21(4),1831,-,4,5,1,0.4,75.4,1,-,6.61
1,"222Jesús VázquezValencia, 19, Defender",Jesús Vázquez Valencia,19, Defender,,,8(7),813,-,-,-,-,0.3,72.8,0.8,-,6.6
2,"223Luis AbramGranada, 26, D(C)",Luis Abram Granada,26, D(C),,,6(2),560,-,-,2,-,0.3,84.8,0.9,-,6.6
3,"224IscoReal Madrid, 30, M(CLR),FW",Isco Real Madrid,30, M(CLR),FW,,3(11),323,1,-,1,-,0.6,90.7,0.3,-,6.6
4,"225Unai SimónAthletic Bilbao, 24, GK",Unai Simón Athletic Bilbao,24, GK,,,34,3060,-,-,3,-,-,66.6,0.2,-,6.6
5,"226Maximiliano GómezValencia, 25, FW",Maximiliano Gómez Valencia,25, FW,,,21(8),1961,5,1,5,1,1.5,64.8,2.9,1,6.6
6,"227Antonio PuertasGranada, 30, M(LR)",Antonio Puertas Granada,30, M(LR),,,25(8),2272,6,1,4,-,1,72.5,1.5,1,6.59
7,"228Anthony LozanoCadiz, 29, AM(L),FW",Anthony Lozano Cadiz,29, AM(L),FW,,21(10),1680,7,2,8,-,1.6,67.1,1.4,2,6.59
8,"229Rubén SobrinoValencia, 30, AM(LR),FW",Rubén Sobrino Valencia,30, AM(LR),FW,,0(1),13,-,-,-,-,-,100,1,-,6.59
9,"230Eden HazardReal Madrid, 31, M(CLR),FW",Eden Hazard Real Madrid,31, M(CLR),FW,,7(11),714,-,1,2,-,0.7,90.9,0.1,-,6.59
0,"231Íñigo LekueAthletic Bilbao, 29, D(LR),M(LR)",Íñigo Lekue Athletic Bilbao,29, D(LR),M(LR),,22(3),1928,-,2,3,-,0.3,72.5,0.7,-,6.59
1,"232Willian JoséReal Betis, 30, FW",Willian José Real Betis,30, FW,,,19(13),1612,8,4,1,-,1.1,78.3,0.7,1,6.59
2,"233Daniel WassValencia, 33, D(LR),M(CLR)",Daniel Wass Valencia,33, D(LR),M(CLR),,19,1592,1,1,6,-,1.5,81.2,1.5,-,6.59
3,"234Martín MerquelanzRayo Vallecano, 26, Forward",Martín Merquelanz Rayo Vallecano,26, Forward,,,3(1),176,-,-,-,-,0.5,73.7,0.8,-,6.58
4,"235Matt MiazgaDeportivo Alaves, 26, D(C)",Matt Miazga Deportivo Alaves,26, D(C),,,9(2),831,-,-,2,-,0.6,75.9,2.9,-,6.58
5,"236Joseph AidooCelta Vigo, 26, D(C)",Joseph Aidoo Celta Vigo,26, D(C),,,30(2),2641,-,-,1,-,0.2,81.2,1.9,1,6.58
6,"237Álex ColladoGranada, 23, AM(C)",Álex Collado Granada,23, AM(C),,,13(4),1027,2,1,1,-,1,81.2,0.4,1,6.58
7,"238Paul AkouokouReal Betis, 24, DMC",Paul Akouokou Real Betis,24, DMC,,,6(2),518,-,-,2,1,0.3,87.6,0.8,-,6.58
8,"239Unai GarcíaOsasuna, 30, D(C)",Unai García Osasuna,30, D(C),,,15(3),1407,-,-,5,-,0.4,75.1,1.9,-,6.58
9,"240Youssef En-NesyriSevilla, 25, FW",Youssef En-Nesyri Sevilla,25, FW,,,15(8),1282,5,1,1,-,1.6,66.5,2,-,6.58
0,"241Adnan JanuzajReal Sociedad, 27, AM(CLR)",Adnan Januzaj Real Sociedad,27, AM(CLR),,,17(16),1626,3,-,5,-,1.3,75.6,0.3,1,6.57
1,"242Kieran TrippierAtletico, 31, D(R),M(R)",Kieran Trippier Atletico,31, D(R),M(R),,12(3),979,-,-,1,-,0.1,78.7,1.9,-,6.57
2,"243IzaCadiz, 29, D(R)",Iza Cadiz,29, D(R),,,17(8),1546,-,1,2,-,0.4,78,0.6,2,6.57
3,"244Alexander SørlothReal Sociedad, 26, FW",Alexander Sørloth Real Sociedad,26, FW,,,20(13),1760,4,-,2,-,1.1,73.6,1.5,1,6.56
4,"245Jofre CarrerasEspanyol, 20, Forward",Jofre Carreras Espanyol,20, Forward,,,0(3),17,-,1,-,-,-,80,0.3,-,6.56
5,"246Omar MascarellElche, 29, DMC",Omar Mascarell Elche,29, DMC,,,30(2),2504,-,-,6,-,0.4,85.4,1.3,-,6.56
6,"247Luis RiojaDeportivo Alaves, 28, AM(L)",Luis Rioja Deportivo Alaves,28, AM(L),,,36(1),3128,1,3,3,-,1.2,69.6,0.5,-,6.56
7,"248Gareth BaleReal Madrid, 32, M(CLR),FW",Gareth Bale Real Madrid,32, M(CLR),FW,,4(1),283,1,-,2,-,3,72.9,1.4,-,6.56
8,"249Jasper CillessenValencia, 33, GK",Jasper Cillessen Valencia,33, GK,,,17,1458,-,1,1,-,-,61.2,0.1,-,6.56
9,"250NetoBarcelona, 32, GK",Neto Barcelona,32, GK,,,3,270,-,-,-,-,-,79.5,-,-,6.56
