,Player,Player.1,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
8,"599Javier SerranoAtletico, 19, Midfielder",Javier Serrano Atletico,19, Midfielder,,,1(4),67,-,-,1,1,-,78.4,0.8,-,5.97
9,"600BarberoOsasuna, 23, Forward",Barbero Osasuna,23, Forward,,,0(6),16,-,-,-,-,-,63.6,0.3,-,5.97
0,"601Andrés MartínRayo Vallecano, 22, Forward",Andrés Martín Rayo Vallecano,22, Forward,,,1(6),182,-,-,-,-,0.7,63.6,0.3,-,5.96
1,"602Jesús SantiagoValencia, 18, Midfielder",Jesús Santiago Valencia,18, Midfielder,,,0(3),81,-,-,-,-,-,80,-,-,5.96
2,"603Jon MorcilloAthletic Bilbao, 23, AM(L)",Jon Morcillo Athletic Bilbao,23, AM(L),,,0(7),49,-,-,2,-,0.1,76.9,-,-,5.96
3,"604Javi DíazSevilla, 25, Goalkeeper",Javi Díaz Sevilla,25, Goalkeeper,,,1,90,-,-,-,-,-,81.3,-,-,5.94
4,"605Juan LatasaReal Madrid, 21, Forward",Juan Latasa Real Madrid,21, Forward,,,0(1),8,-,-,-,-,1,80,-,-,5.94
5,"606Cristhian MosqueraValencia, 17, Defender",Cristhian Mosquera Valencia,17, Defender,,,3(3),211,-,-,1,-,0.2,85.5,0.2,-,5.91
6,"607Hugo SoteloCelta Vigo, 18, Midfielder",Hugo Sotelo Celta Vigo,18, Midfielder,,,0(1),1,-,-,-,-,-,100,-,-,5.91
7,"608Chema RodríguezGetafe, 30, D(CL)",Chema Rodríguez Getafe,30, D(CL),,,2,47,-,-,1,1,0.5,73.3,-,-,5.89
8,"609Juanlu SánchezSevilla, 18, Midfielder",Juanlu Sánchez Sevilla,18, Midfielder,,,0(1),4,-,-,1,-,-,50,-,-,5.89
9,"610Marc TenasDeportivo Alaves, 21, Forward",Marc Tenas Deportivo Alaves,21, Forward,,,0(3),51,-,-,2,-,-,73.7,0.3,-,5.88
0,"611Dominik GreifMallorca, 25, GK",Dominik Greif Mallorca,25, GK,,,1,90,-,-,-,-,-,56,-,-,5.86
1,"612Jesús AresoOsasuna, 22, Defender",Jesús Areso Osasuna,22, Defender,,,2(1),189,-,-,1,-,-,84.2,1,-,5.83
2,"613Javier OntiverosOsasuna, 24, AM(LR)",Javier Ontiveros Osasuna,24, AM(LR),,,0(3),36,-,-,-,-,0.7,79.3,0.3,-,5.81
3,"614Pedro BenitoCadiz, 22, Forward",Pedro Benito Cadiz,22, Forward,,,0(1),31,-,-,-,-,-,75,-,-,5.81
4,"615Sergio BarciaGranada, 21, Midfielder",Sergio Barcia Granada,21, Midfielder,,,1,77,-,-,-,-,-,36.4,1,-,5.62
5,"616Juan PérezOsasuna, 25, GK",Juan Pérez Osasuna,25, GK,,,2,180,-,-,-,-,-,40,-,-,5.44
6,"617Joan GarcíaEspanyol, 21, Goalkeeper",Joan García Espanyol,21, Goalkeeper,,,1(1),107,-,-,-,-,-,72,-,-,5
7,"618Josep GayáMallorca, 21, Defender",Josep Gayá Mallorca,21, Defender,,,1,59,-,-,-,-,-,82.1,-,-,4.74
