Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Hilmir Rafn Mikaelsson Venezia,18, Forward,,,0(1),-,-,-,-,-,-,-,-,-,6.25,17
Daan Heymans Venezia,22, AM(C),,,2(5),-,1,0.4,0.4,0.3,0.3,-,-,1,6.25,252
Nikola Kalinic Verona,34, FW,,,4(10),4,1,0.9,0.4,0.1,0.6,0.1,1.5,1.4,6.25,401
Martín Cáceres Cagliari,35, D(CLR),M(R),,9(5),1,1,0.5,0.4,0.1,0.6,-,0.1,0.5,6.25,834
Joel Obi Salernitana,31, M(CR),,,12(9),-,1,0.5,0.7,0.2,1,-,0.8,1,6.25,1146
Dor Peretz Venezia,27, DMC,,,4(14),-,1,0.3,0.2,0.1,0.4,-,0.4,0.5,6.25,574
Pepe Reina Lazio,39, GK,,,15,-,1,-,0.1,-,0.1,-,-,-,6.25,1350
Emanuel Vignato Bologna,21, AM(CL),,,3(21),-,1,0.2,0.5,0.5,0.1,-,0.4,0.4,6.25,582
Stefano Okaka Udinese,32, FW,,,0(2),-,1,0.5,0.5,-,-,0.5,-,-,6.25,20
Tomás Rincón Torino,34, M(CR),,,1(6),-,-,-,0.3,0.4,0.3,-,-,0.6,6.24,158
Stefano Sensi Inter,26, AM(C),,,1(8),-,-,0.3,0.4,0.3,0.6,0.1,0.4,0.7,6.24,158
Dennis Johnsen Venezia,24, AM(L),FW,,17(10),1,2,0.6,0.9,0.7,0.4,0.5,0.9,2.3,6.24,1466
Daniel Bessa Verona,29, AM(C),,,5(19),1,1,0.4,0.4,0.5,0.5,0.1,0.6,0.3,6.24,762
Janis Antiste Spezia,19, Forward,,,9(9),1,-,0.6,0.3,0.4,0.3,0.3,0.4,1.3,6.24,796
Ben Kone Torino,22, Midfielder,,,0(1),-,-,-,2,-,-,-,-,1,6.23,81
Daniel Maldini AC Milan,20, Forward,,,2(6),1,-,0.4,0.1,0.3,0.1,0.1,0.1,1,6.23,145
Niklas Pyyhtia Bologna,18, Midfielder,,,0(1),-,-,-,-,1,-,-,-,1,6.22,18
Pietro Pellegri AC Milan,21, FW,,,1(5),-,-,0.5,0.5,0.2,0.3,0.3,0.7,0.3,6.22,131
Jean-Pierre Nsame Venezia,29, FW,,,1(10),-,1,0.5,0.5,0.1,0.3,0.3,0.5,0.7,6.22,237
Brandon Soppy Udinese,20, D(R),M(R),,7(21),-,-,0.2,0.2,0.6,1.2,-,0.3,0.6,6.22,765
Aleksandar Kolarov Inter,36, D(CL),M(L),,0(3),-,-,0.3,-,0.3,0.3,-,-,-,6.22,38
Filip Benkovic Udinese,24, D(C),,,0(2),-,-,0.5,-,-,-,-,-,-,6.22,6
Francesco Forte Venezia,29, Forward,,,4(8),1,-,0.9,0.3,0.1,0.6,0.2,0.2,1.1,6.22,398
Federico Santander Bologna,31, FW,,,0(7),1,-,0.3,0.1,-,0.7,-,0.4,0.1,6.21,61
Suf Podgoreanu Spezia,20, Forward,,,1(4),-,1,0.2,0.2,0.6,0.4,-,0.4,0.4,6.21,109
Jeroen Zoet Spezia,31, GK,,,7,-,-,-,-,-,0.4,-,-,0.1,6.21,630
Tanner Tessmann Venezia,20, DMC,,,6(14),-,-,0.4,0.2,0.6,0.4,-,0.4,0.7,6.21,674
Felix Afena-Gyan Roma,19, Forward,,,6(11),2,-,1,0.4,0.3,1.4,0.2,1.2,2.5,6.21,665
Vanja Milinkovic-Savic Torino,25, GK,,,27,-,-,-,-,0.1,0.1,-,-,-,6.21,2430
Valerio Verre Sampdoria,28, AM(CL),FW,,6(5),-,-,1,0.7,0.4,0.9,-,0.8,1.8,6.2,421
Nicola Bagnolini Bologna,18, Goalkeeper,,,0(1),-,-,-,-,-,-,-,-,-,6.2,2
