Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Ihlas Bebou,28, M(CLR),FW,,25(3),7,2,1.6,0.7,0.6,0.8,0.4,1.1,2.2,6.69,2106
Lukas Klostermann,26, D(CLR),M(R),,17(6),-,1,0.3,0.2,0.1,0.2,-,0.2,0.4,6.69,1648
Piero Hincapié,20, D(CL),,,20(7),1,2,0.3,0.4,0.6,0.6,0.1,0.5,1,6.69,1752
Benjamin Henrichs,25, D(LR),DMC,M(LR),12(10),3,3,0.7,0.6,0.5,0.6,-,0.6,0.6,6.69,1138
Niko Gießelmann,30, D(CL),M(L),,25(3),3,6,1,1,0.1,1.2,-,0.3,0.9,6.69,2093
Diadié Samassékou,26, DMC,,,21(3),2,-,0.6,0.4,0.3,1,-,0.2,0.7,6.68,1665
Waldemar Anton,25, D(CR),DMC,,29,2,1,0.8,0.2,0.6,0.6,-,0.4,0.9,6.68,2597
Rani Khedira,28, D(C),DMC,,32,-,1,0.4,0.3,0.3,1.1,-,0.4,0.9,6.68,2765
Matheus Cunha,23, AM(CL),FW,,1,-,1,2,1,1,3,-,2,3,6.68,65
Gregor Kobel,24, GK,,,29,-,-,-,-,-,0.2,-,-,0.1,6.68,2566
Djibril Sow Eintracht,25, DMC,,,28(3),2,3,0.5,0.6,0.4,1.2,-,0.5,1.4,6.67,2422
Kevin Trapp Eintracht,31, GK,,,32,-,-,-,-,-,0.1,-,-,-,6.67,2880
Marc Oliver Kempf,27, D(C),,,10(2),3,-,1.1,0.4,0.4,0.7,-,0.2,0.8,6.67,841
Konrad Laimer,25, D(R),M(CR),,15(11),4,4,0.6,0.7,0.8,0.3,-,0.8,1.2,6.67,1246
Charles Aránguiz,33, M(C),,,16(10),1,3,0.4,0.7,0.3,0.5,-,0.3,0.8,6.67,1576
Santiago Ascacibar,25, DMC,,,27(1),-,1,0.5,0.4,0.4,1.1,0.1,0.5,0.9,6.66,2381
Chris Richards,22, D(C),,,13(6),1,1,0.5,0.2,0.2,0.1,-,0.1,0.4,6.66,1301
Lukas Nmecha,23, AM(CR),FW,,18(7),8,-,2.1,0.6,0.9,1.2,0.2,1.1,3,6.66,1633
Sebastian Polter,31, AM(R),FW,,26(6),10,1,1.7,0.9,0.1,1.1,0.2,1.1,2.3,6.66,2259
Georginio Rutter,20, FW,,,13(20),8,2,1.6,0.5,1.1,1.1,0.6,0.7,2.3,6.66,1604
Oliver Baumann,32, GK,,,33,-,-,-,-,-,0.1,-,-,-,6.66,2970
Gerrit Holtmann,27, D(L),M(LR),,22(6),5,4,1.5,1,1.4,0.5,0.2,1.4,2,6.65,1765
Lee Jae-Sung,29, AM(CL),FW,,19(8),4,3,1,0.7,0.4,0.5,0.1,1,1.9,6.65,1449
Mitchel Bakker,21, D(L),M(L),,19(6),1,4,0.4,0.6,1.1,0.8,-,0.6,1.4,6.65,1825
Lars Stindl,33, M(CLR),FW,,20(6),4,5,1.7,1.2,0.3,0.6,0.2,0.7,1.3,6.64,1637
Hiroki Ito,23, D(C),,,26(3),1,1,0.4,0.5,0.2,0.3,-,0.1,0.6,6.64,2348
Kevin Mbabu,27, D(R),M(R),,14(10),-,-,0.2,0.9,1.4,0.9,0.1,0.5,1.3,6.64,1389
Stevan Jovetic,32, AM(CL),FW,,13(5),6,1,2.4,0.8,0.7,0.9,0.4,1.2,1.3,6.64,1020
Robin Zentner,27, GK,,,32,-,-,-,-,-,0.1,-,-,0.1,6.64,2880
Max Christiansen,25, DMC,,,22(5),-,-,0.4,0.4,0.2,0.7,-,0.3,0.6,6.63,2056
Vasilios Lampropoulos,32, D(C),,,13,-,-,0.3,0.1,-,0.3,-,0.3,0.5,6.63,1169
Bastian Oczipka,33, D(CL),M(L),,9(9),-,1,0.3,0.9,0.8,0.7,0.1,0.3,0.6,6.63,929
Daichi Kamada Eintracht,25, AM(CLR),FW,,23(9),4,3,1.1,1,0.9,0.8,0.2,0.7,1.9,6.63,2146
Axel Witsel,33, D(C),M(C),,22(7),2,-,0.3,0.2,0.2,1,-,0.5,0.6,6.62,1946
Erhan Masovic,23, D(C),,,16(3),-,-,0.2,-,0.1,0.4,-,-,0.3,6.62,1461
Marc Oliver Kempf,27, D(C),,,12,-,1,0.7,0.3,0.5,1,-,0.3,0.4,6.61,1052
Christoph Baumgartner,22, AM(CLR),FW,,23(6),7,2,1.4,0.7,0.7,1.1,-,0.9,2.1,6.61,1899
André Hahn,31, AM(CLR),FW,,25(7),5,2,1.4,0.6,0.4,0.6,0.5,0.7,2,6.61,2112
Tiago Tomás,19, AM(CR),FW,,13(1),4,-,2,0.5,1.1,1.8,0.5,0.8,4.1,6.61,1080
Exequiel Palacios,23, M(C),,,12(11),2,2,0.4,0.3,0.3,0.7,-,0.6,0.6,6.61,1094
Maximilian Eggestein,25, M(CR),,,26(5),1,2,0.7,0.7,0.2,0.8,-,0.7,1.4,6.6,2205
Dennis Geiger,23, M(C),,,17(3),2,2,0.7,1.2,0.3,1,-,0.5,0.8,6.6,1385
Amine Adli,22, AM(CL),FW,,13(12),3,2,1.5,0.6,0.8,1.1,0.3,0.7,1.9,6.6,1256
Maxim Leitsch,24, D(C),,,17(2),1,-,0.3,0.2,0.2,-,0.1,0.1,0.8,6.6,1537
Frederik Rønnow,29, GK,,,7,-,-,-,-,-,0.1,-,-,-,6.6,630
Paulo Otávio,27, D(L),M(L),,5(2),-,1,0.6,0.4,0.7,0.6,0.1,0.3,1,6.6,365
Eduard Löwen,25, D(C),M(C),,14(11),2,2,1.4,1.5,0.7,0.4,-,0.8,1.3,6.6,1346
Simon Zoller,30, AM(LR),FW,,6(4),3,2,1.1,0.7,0.2,0.5,0.3,0.1,1.5,6.6,595
Leandro Barreiro,22, DMC,,,20(11),1,2,1,0.5,0.2,0.9,-,0.4,1.3,6.6,1790
Genki Haraguchi,31, M(CLR),,,23(7),2,6,1,0.8,0.4,1,-,0.5,0.8,6.6,1770
Martin Hinteregger Eintracht,29, D(C),,,25(2),1,-,0.6,0.3,0.1,1.1,-,0.1,0.8,6.6,2222
Josip Stanisic,22, D(R),,,6(7),1,-,0.3,0.2,0.4,0.1,-,0.5,0.8,6.59,646
Frederik Winther,21, Defender,,,3(1),-,-,-,-,-,-,-,-,0.5,6.59,327
Konstantinos Stafylidis,28, D(LR),DMC,M(L),14(9),-,1,0.7,0.4,0.2,0.7,-,0.4,0.4,6.59,1299
Sebastiaan Bornauw,23, D(C),,,23(4),1,-,0.5,0.1,0.1,0.2,0.1,0.1,0.2,6.59,2008
Dejan Ljubicic,24, M(CR),,,22(8),3,1,1,0.9,1.1,0.7,0.1,0.8,1.6,6.59,1975
Michaël Cuisance,22, AM(C),,,0(1),-,-,-,1,1,-,-,2,-,6.59,12
Niklas Stark,27, D(C),DMC,,22(4),1,-,0.4,0.2,0.3,0.8,-,0.1,0.5,6.59,2028
Emil Forsberg,30, AM(CLR),FW,,20(11),6,2,1.4,0.8,0.7,0.7,0.1,0.8,1.8,6.58,1709
Jessic Ngankam,21, FW,,,4(2),2,1,1.5,0.2,0.7,0.8,0.2,0.8,2.7,6.58,342
Yannick Gerhardt,28, D(L),M(CL),,17(10),1,3,0.5,0.4,0.5,0.9,0.1,0.6,1.3,6.58,1577
Kevin Kampl,31, M(CLR),,,25(2),-,1,0.3,0.6,0.4,0.4,-,0.5,1,6.58,1913
Pavel Kaderábek,30, D(R),M(LR),,14(5),1,2,0.6,1.1,0.1,0.4,0.1,-,0.8,6.58,1202
Kevin Schade,20, M(R),,,7(14),4,1,0.9,0.3,0.7,1.2,0.2,1,1.7,6.58,826
Benno Schmitz,27, D(CLR),,,29(2),-,5,0.4,1.1,0.1,0.8,-,0.1,0.9,6.58,2433
Dominik Kohr,28, DMC,,,19(3),-,3,0.8,0.5,0.4,0.9,-,0.6,0.7,6.58,1626
Péter Gulácsi,32, GK,,,33,-,-,-,-,-,0.1,-,-,0.1,6.58,2967
Fabian Bredlow,27, GK,,,4,-,-,-,-,-,0.5,-,-,0.5,6.58,360
Makoto Hasebe Eintracht,38, D(CR),M(CR),,12(6),-,-,-,0.2,0.3,0.7,-,0.2,0.2,6.57,1184
Arne Maier,23, DMC,,,21(8),1,6,0.6,1.1,0.6,0.5,-,0.6,1.3,6.57,1871
Branimir Hrgota,29, AM(LR),FW,,33(1),9,5,1.9,1,1,1.9,0.4,1.6,2.8,6.57,2789
Fabian Klos,34, FW,,,14(11),3,1,1.6,0.6,0.4,0.7,0.1,0.6,1.5,6.57,1423
Erik Durm Eintracht,30, D(LR),M(LR),,7,-,1,0.1,0.4,-,1,-,0.6,0.9,6.57,478
Stefan Posch,25, D(CR),,,26(2),2,-,0.5,0.2,0.1,0.5,-,0.2,0.5,6.57,2203
Armel Bella Kotchap,20, D(C),,,19(2),-,-,0.4,0.1,0.1,1.2,0.1,0.2,0.3,6.56,1679
Ishak Belfodil,30, AM(LR),FW,,17(9),5,2,1.2,0.8,0.7,0.4,1,1.1,1.5,6.56,1643
Timo Horn,29, GK,,,13,-,-,-,-,0.1,0.1,-,-,-,6.56,1170
Nico Elvedi,25, D(CLR),,,28,1,-,0.5,0.1,0.2,0.8,-,0.2,0.3,6.55,2432
Vladimír Darida,31, M(CLR),FW,,23(2),2,5,1,1.4,0.7,1.3,0.2,0.9,1.5,6.55,1799
Luca Kilian,22, D(C),,,25(5),1,-,0.2,0.1,-,0.4,-,0.1,0.4,6.55,2282
Marco Meyerhöfer,26, D(R),M(R),,25(1),1,-,0.4,0.7,0.7,1,-,0.4,1,6.55,2281
Odilon Kossounou,21, D(CR),,,20(7),-,1,0.1,0.2,0.4,0.3,-,0.4,0.6,6.55,1791
Yussuf Poulsen,27, AM(R),FW,,12(13),6,-,1.1,0.3,0.5,1.2,0.3,1.3,2,6.55,1078
Munas Dabbur,30, AM(C),FW,,17(10),3,3,1.2,0.6,0.6,0.7,0.1,1.3,1.5,6.54,1317
