Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Dani Gómez,23, FW,,,11(17),4,2,1.1,0.5,0.6,0.7,0.4,0.9,1.7,6.33,1060
Rodrigo Battaglia,30, M(C),,,12(14),-,-,0.2,0.1,0.4,0.7,-,0.4,0.5,6.33,1176
Raúl Parra,22, Defender,,,1(1),-,-,-,-,-,0.5,-,-,0.5,6.33,88
Jon Guridi,27, M(C),,,1(7),1,-,0.3,0.1,0.6,0.4,-,-,0.6,6.32,200
Cristo Romero,22, Defender,,,0(1),-,-,1,1,-,-,-,-,-,6.32,16
Gonzalo Villar,24, M(C),,,2(8),-,1,0.2,0.1,0.8,1.3,-,0.4,0.6,6.32,292
Unai López,26, M(CR),,,13(14),-,-,0.7,0.9,0.5,0.6,0.2,0.7,0.7,6.32,1155
Mikel Vesga,29, DMC,,,17(15),2,-,0.4,0.4,0.3,0.5,-,0.3,0.6,6.32,1357
Javi Martínez,22, M(CR),,,9(17),1,1,0.3,0.4,0.4,0.3,-,0.4,0.9,6.31,870
Raúl Guti,25, M(C),,,17(14),-,-,0.6,0.3,0.4,1.1,-,0.5,0.6,6.31,1629
Denis Cheryshev,31, AM(L),FW,,5(12),-,1,0.6,0.2,0.4,0.4,0.2,0.2,0.9,6.31,561
Sandro Ramírez,26, AM(LR),FW,,19(10),3,-,1.7,0.4,0.4,1.6,0.4,0.6,1.8,6.31,1477
Roberto Torres,33, AM(CLR),,,6(22),2,2,0.5,0.9,0.2,0.4,-,0.2,0.4,6.3,799
Clément Lenglet,26, D(C),,,7(14),-,1,0.1,0.1,-,0.2,-,0.1,0.2,6.3,818
Sergio Agüero,34, AM(CL),FW,,2(2),1,-,1.5,0.3,0.3,0.5,0.3,0.3,1,6.3,151
Carlos Martín,20, Forward,,,0(1),-,-,-,-,1,-,-,-,-,6.3,5
Jesús Owono,21, GK,,,1,-,-,-,-,-,-,-,-,-,6.3,90
Salvi Sánchez,31, AM(R),,,17(6),2,1,0.9,0.3,0.4,0.7,-,0.2,1.3,6.3,1403
Ángel Montoro,33, M(C),,,13(11),1,1,0.9,1,-,0.8,0.1,0.5,0.8,6.29,1331
Ximo Navarro,32, D(CLR),,,16(2),-,-,0.6,0.2,0.3,1.4,0.1,0.3,1.1,6.29,1351
Riqui Puig,22, M(C),,,2(13),1,-,0.6,0.3,0.3,0.7,-,0.7,0.6,6.29,475
Luca Zidane,24, GK,,,8,-,-,-,-,0.3,0.1,-,-,-,6.29,646
Beñat Turrientes,20, Midfielder,,,1(7),-,-,0.9,0.4,0.9,0.4,-,0.4,0.3,6.29,201
Edgar Méndez,32, M(LR),FW,,17(15),1,1,0.8,0.6,0.4,1,0.5,0.6,1.5,6.29,1614
Hugo Duro,22, AM(L),FW,,0(1),-,-,2,-,-,1,-,-,-,6.29,11
Marc Cucurella,23, D(CL),M(L),,0(1),-,-,1,1,1,1,-,-,-,6.29,22
Rubén Peña,30, D(R),M(LR),,1(6),-,-,0.4,0.3,0.3,0.6,-,0.9,0.3,6.28,127
Jason,27, M(R),,,1(4),-,-,0.4,0.6,0.6,0.8,-,0.8,0.4,6.28,74
Emerson Royal,23, D(R),M(R),,1(2),-,-,-,-,-,1,-,-,-,6.28,90
José Ángel Carmona,20, Defender,,,0(1),-,-,-,-,1,1,-,-,-,6.28,23
Sergio Santos,21, Defender,,,0(1),-,-,-,1,-,-,-,-,-,6.28,10
Iván Marcone,32, DMC,,,10(10),-,-,0.1,-,0.5,0.2,-,0.2,0.3,6.28,807
