Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Jay Rodriguez Burnley,32, AM(CLR),FW,,13(16),2,2,1.4,0.4,0.3,0.6,0.6,0.4,1,6.44,1375
Daniel James Leeds,24, AM(LR),FW,,29(3),4,4,1.6,0.8,0.7,1.2,0.4,0.7,1.7,6.44,2368
Luka Milivojevic Crystal Palace,31, DMC,,,9(6),-,-,0.5,0.7,0.1,0.7,-,0.2,0.2,6.44,776
Jóhann Gudmundsson Burnley,31, AM(CLR),,,13(5),-,1,1.1,0.4,0.8,0.8,0.2,1.1,0.8,6.44,1105
Nicolas Pépé Arsenal,27, AM(LR),FW,,5(15),1,2,1.2,0.6,1,0.2,0.2,0.9,1.7,6.44,682
Isaac Hayden Newcastle,27, D(C),DMC,,12(2),1,-,0.4,0.1,0.6,0.6,-,0.6,1.1,6.44,1003
Wayne Hennessey Burnley,35, GK,,,2,-,-,-,1.5,-,0.5,-,-,-,6.44,180
Max Aarons Norwich,22, D(R),,,32(2),-,2,0.4,0.6,1,1.5,-,0.7,1.1,6.43,2882
Ezri Konsa Aston Villa,24, D(CR),,,29,2,-,0.5,0.1,0.2,1.2,-,0.2,0.3,6.43,2482
Ashley Young Aston Villa,36, D(LR),M(LR),,10(14),-,2,0.4,0.5,0.4,1.4,-,0.1,0.5,6.43,1241
Cole Palmer Man City,20, Midfielder,,,1(3),-,-,1,0.5,0.3,0.3,-,0.8,1.8,6.43,122
Harry Winks Tottenham,26, DMC,,,9(10),-,1,0.2,0.6,0.4,0.7,-,0.3,0.8,6.43,908
Phil Jones Man Utd,30, D(CR),DMC,,2(2),-,-,-,-,0.3,0.5,-,-,0.3,6.42,163
James Tomkins Crystal Palace,33, D(CR),,,6(2),1,-,0.5,0.3,0.1,0.3,-,-,0.3,6.42,546
Boubakary Soumaré Leicester,23, DMC,,,12(7),-,1,0.3,0.3,0.7,0.9,-,0.7,1.3,6.42,1102
Ashley Westwood Burnley,32, DMC,,,26(1),-,3,0.5,1.2,0.4,0.8,-,0.5,1.1,6.42,2290
Steven Alzate Brighton,23, DMC,M(L),,5(4),-,-,0.1,0.2,0.7,0.4,-,0.3,0.9,6.42,407
Nuno Tavares Arsenal,22, D(L),,,13(9),1,1,1,0.5,0.8,0.6,-,0.6,1.3,6.42,1171
Tim Krul Norwich,34, GK,,,29,-,-,-,-,-,-,-,-,-,6.42,2610
Mathias Jensen Brentford,26, M(C),,,19(12),-,1,0.6,1.1,0.5,0.2,0.1,0.5,0.8,6.42,1602
Milot Rashica Norwich,25, AM(CLR),FW,,25(6),1,2,1.4,1.2,0.5,1.5,0.4,1.2,2.2,6.42,2240
Bernd Leno Arsenal,30, GK,,,4,-,-,-,-,-,-,-,-,-,6.41,360
Romain Perraud Southampton,24, D(L),M(L),,18(2),-,1,1,0.4,0.4,0.8,-,0.5,1.6,6.41,1625
John Ruddy Wolves,35, GK,,,1(1),-,-,-,-,-,-,-,-,-,6.4,135
Edinson Cavani Man Utd,35, AM(LR),FW,,7(8),2,1,1.2,0.5,0.3,0.3,0.4,0.3,0.8,6.4,765
Matt Ritchie Newcastle,32, D(L),M(CLR),,14(4),-,2,0.6,1.6,0.2,0.5,-,0.3,0.6,6.4,1335
Leon Bailey Aston Villa,24, M(LR),FW,,7(11),1,2,1.2,0.4,0.7,0.6,0.2,1.3,1.8,6.4,757
Sean Longstaff Newcastle,24, DMC,,,15(9),1,1,0.6,0.3,0.3,0.7,-,0.8,0.9,6.39,1461
Billy Gilmour Norwich,20, DMC,,,21(3),-,1,0.8,1,0.6,0.9,-,0.5,1.2,6.39,1858
Jacob Murphy Newcastle,27, D(R),M(LR),,13(20),1,2,0.8,0.6,0.4,0.4,0.1,0.6,0.9,6.38,1455
Adam Armstrong Southampton,25, AM(CLR),FW,,17(6),2,2,2,0.6,0.7,0.3,0.1,0.6,2,6.38,1415
Ibrahima Diallo Southampton,23, DMC,,,10(13),-,2,0.3,0.7,0.7,0.7,-,0.6,0.8,6.38,1019
CJ Egan-Riley Man City,19, Defender,,,0(1),-,-,-,-,-,-,-,-,-,6.38,3
Tariqe Fosu-Henry Brentford,26, M(CLR),,,0(1),-,-,1,-,-,1,-,-,-,6.38,16
Jack Cork Burnley,32, DMC,,,20,1,-,0.4,0.3,0.4,0.5,0.1,1,0.9,6.38,1676
Takumi Minamino Liverpool,27, AM(CLR),FW,,1(10),3,-,0.6,0.2,0.1,0.4,-,0.5,0.2,6.38,179
Mateusz Klich Leeds,31, M(C),,,26(7),1,2,1.3,0.9,0.6,0.5,0.1,0.7,1.2,6.37,2095
Christian Kabasele Watford,31, D(C),,,12(4),-,-,0.4,0.1,0.1,0.2,-,0.1,0.4,6.37,1191
Craig Cathcart Watford,33, D(CR),,,27(4),-,1,0.1,0.1,-,0.1,-,0.1,0.2,6.37,2396
Lyanco Southampton,25, D(C),,,9(6),-,-,0.4,0.2,0.3,0.5,-,0.1,0.3,6.37,906
Federico Fernández Newcastle,33, D(C),,,5(2),-,-,0.9,0.1,-,0.3,-,-,0.1,6.37,522
Frank Onyeka Brentford,24, DMC,,,12(8),-,-,0.8,0.2,0.6,1.3,-,0.7,1.1,6.37,1051
