Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Wout Faes,24, D(C),,,37,4,-,0.6,0.1,0.2,0.6,-,0.1,0.6,6.76,3330
Yunis Abdelhamid,34, D(C),,,34,2,-,0.5,0.3,0.4,0.7,-,0.4,0.8,6.76,2984
Dimitri Lienard,34, D(L),M(CL),,23(10),2,3,0.7,1.1,0.3,0.8,0.1,0.3,0.9,6.76,2047
Rafinha,29, M(CLR),,,3(2),-,-,1,0.4,1.2,1,-,0.4,1,6.75,221
Przemyslaw Frankowski,27, M(CLR),,,28(9),6,5,0.9,1,0.4,0.2,0.1,0.5,1.1,6.75,2452
Matthieu Udol,26, D(CL),M(L),,11(1),1,-,0.4,0.5,0.8,0.5,-,0.3,0.6,6.75,1006
Alexander Djiku,27, D(CR),DMC,,30(1),1,-,0.5,0.3,0.2,0.9,0.1,0.2,0.5,6.74,2697
Wahbi Khazri,31, M(CLR),FW,,26(4),10,-,2.4,1,1.1,1.6,0.7,1.6,2.6,6.74,2239
Enzo Le Fée,22, AM(CLR),,,25(11),2,3,0.9,1.4,1.2,1.4,-,1.3,1.9,6.74,2202
Anthony Lopes,31, GK,,,34,-,-,-,-,-,0.1,-,-,-,6.74,2984
Jordan Amavi,28, D(L),M(L),,4(4),-,-,-,0.1,0.6,0.5,-,0.5,0.8,6.74,414
Caio Henrique,24, D(L),M(CL),,31(3),2,8,0.6,1.3,0.4,0.6,0.1,0.2,1.1,6.74,2670
Leandro Paredes,27, DMC,,,10(5),1,2,0.5,0.5,0.4,0.5,-,0.1,0.3,6.73,842
Guillermo Maripán,28, D(C),,,21(5),-,-,0.3,0.1,0.2,0.4,-,-,0.4,6.73,1828
Saïdou Sow,19, D(C),,,11(2),2,1,0.2,0.3,0.4,0.3,-,0.2,0.6,6.73,992
Armand Laurienté,23, AM(LR),FW,,28(7),6,2,2.4,1.2,1.3,1.2,0.3,1.5,2.8,6.73,2493
Arbër Zeneli,27, AM(LR),FW,,4(5),2,3,1.2,1,1.2,0.7,0.1,1,2.2,6.73,411
Anthony Caci,24, D(CLR),M(L),,26(11),1,3,0.4,0.8,0.6,0.6,0.1,0.5,0.9,6.73,2395
Jonathan David,22, AM(C),FW,,32(6),15,-,1.8,0.9,0.7,1.2,0.2,0.9,2.5,6.73,2811
Mehmet Zeki Çelik,25, D(R),M(R),,30(2),2,3,0.7,0.7,0.6,0.5,0.1,0.3,1,6.73,2698
Maxence Caqueret,22, DMC,,,26(5),-,-,0.5,0.8,1.2,0.9,-,0.8,1.6,6.73,2335
Tiago Djaló,22, D(CLR),,,26(2),1,1,0.4,0.2,0.5,0.8,-,0.3,1,6.73,2330
Alexis Flips,22, M(CR),,,13(12),2,4,0.8,1.2,0.5,0.5,-,0.6,1.3,6.73,1062
Amine Harit,24, AM(CLR),FW,,12(11),4,4,0.7,1.1,1.1,1.7,0.1,1.4,2.1,6.73,1168
Christophe Hérelle,29, D(CR),,,23,-,-,0.3,0.1,0.1,1,-,0.1,0.3,6.73,1938
Youssouf Fofana,23, DMC,,,23(10),-,4,0.9,0.6,1.2,0.8,-,1,1.2,6.72,2187
Jean-Charles Castelletto,27, D(C),,,28,1,-,0.6,0.2,0.3,0.4,-,0.2,0.2,6.72,2512
Wylan Cyprien,27, M(C),,,17(7),2,3,0.8,1.3,0.6,0.7,-,0.7,0.6,6.72,1494
Thomas Mangani,35, M(C),,,25(8),7,2,0.5,0.8,0.1,0.4,-,0.4,0.6,6.72,2195
Fodé Doucouré,21, Defender,,,1(2),-,-,-,0.3,0.7,0.3,-,-,-,6.71,153
Dante,38, D(C),,,33(1),-,-,0.4,0.2,0.2,0.4,-,-,0.4,6.71,2874
Stephy Mavididi,24, AM(LR),FW,,27(3),8,3,2,0.8,1.3,1.5,0.2,2,2.6,6.71,2313
Nicolas Pallois,34, D(C),,,29(1),1,-,0.3,0.1,0.3,0.3,-,-,0.3,6.71,2450
Thomas Monconduit,31, DMC,,,26(8),3,2,1.1,0.9,0.8,1,-,0.4,0.9,6.71,2254
Gerzino Nyamsi,25, D(C),,,33(1),-,2,0.8,0.2,0.2,0.1,-,0.2,0.6,6.7,2983
Jean-Ricner Bellegarde,23, M(CLR),,,26(10),2,3,0.9,0.6,1.1,1.9,-,0.9,1.7,6.7,2337
José Fonte,38, D(C),,,38,-,2,0.6,0.3,0.1,0.2,-,0.1,0.5,6.7,3420
Axel Disasi,24, D(C),,,30(2),1,-,0.6,0.2,0.3,0.4,0.1,0.2,0.3,6.7,2725
Habib Diallo,26, AM(R),FW,,16(15),11,1,1.6,0.5,0.5,0.6,0.5,0.8,2.2,6.7,1537
Juan Bernat,29, D(L),M(CL),,12(3),-,-,0.1,0.3,0.9,0.6,0.1,0.3,0.5,6.69,965
Arnaud Kalimuendo-Muinga,20, FW,,,27(5),12,-,1.9,0.7,0.8,1,0.4,1.9,2.5,6.69,2165
Gianluigi Donnarumma,23, GK,,,17,-,-,-,-,0.1,0.1,-,-,-,6.69,1530
Josuha Guilavogui,31, D(C),M(C),,15,1,1,0.6,0.9,0.5,0.9,-,0.1,1.1,6.69,1332
Jonathan Bamba,26, AM(CLR),FW,,28(3),1,3,1.6,1.5,1.1,1.8,0.5,1.8,2.5,6.69,2442
Kalifa Coulibaly,30, FW,,,9(12),5,-,1.2,0.4,0.3,0.4,0.3,0.4,1.4,6.69,848
Pedro Chirivella,25, DMC,,,31,3,1,0.7,0.8,0.3,0.8,-,0.3,0.5,6.69,2647
Jérémy Doku,20, AM(LR),,,4(10),1,2,0.4,0.6,2.6,1.1,-,1.4,2,6.68,467
Julian Pollersbeck,27, GK,,,4(2),-,-,-,-,-,0.2,-,-,-,6.68,435
Lucas Perrin,23, D(C),,,29(2),1,1,0.3,0.3,0.2,1,0.1,0.2,0.5,6.68,2508
Pablo Rosario,25, DMC,,,31(5),-,2,0.5,0.6,0.5,0.6,0.1,0.5,1,6.68,2736
Malo Gusto,19, D(R),M(R),,21(9),-,4,0.4,0.8,0.6,0.7,0.1,0.5,1.3,6.68,1884
Mamadou Sakho,32, D(C),,,29,-,-,-,0.1,0.1,0.3,-,0.2,0.7,6.68,2578
Lucien Agoume,20, DMC,,,21(6),-,-,0.6,0.5,0.8,0.5,-,0.6,0.7,6.67,1869
Vital N'Simba,28, D(L),,,31(3),1,3,0.6,0.9,1.3,1.4,-,1.2,1.4,6.67,2791
Akim Zedadka,27, D(R),,,37(1),-,3,0.8,1.2,0.8,2.3,0.1,1.4,1.8,6.67,3338
Nuno Mendes,19, D(L),M(L),,18(9),-,1,0.3,0.7,1,0.9,-,0.7,1,6.67,1654
Jason Denayer,26, D(CR),DMC,,12(3),3,-,0.4,0.1,0.1,0.3,-,0.1,0.2,6.67,1001
Vincent Pajot,31, M(C),,,27(3),1,-,0.5,0.5,0.4,1.3,-,0.2,1,6.67,2320
Rémy Cabella,32, M(CLR),FW,,3(2),-,-,0.4,1.6,1.4,0.6,-,1.8,0.6,6.67,313
Tanguy Ndombele,25, M(C),,,7(4),-,2,0.5,0.8,1.5,1.7,-,1.1,1.8,6.67,703
Facundo Medina,23, D(CL),,,30(1),1,-,0.3,0.2,0.5,0.4,-,0.4,0.8,6.67,2597
Yacine Adli,21, M(C),,,25(11),1,7,0.9,1.7,1.3,0.8,0.1,1.3,1.6,6.67,2265
Xeka,27, M(C),,,19(4),3,-,1,0.6,0.2,0.7,-,0.7,1.3,6.66,1622
Danylo Ignatenko,25, M(C),,,7(4),-,3,1.1,1.2,0.8,0.6,-,0.2,0.5,6.66,689
Léo Jardim,27, GK,,,17,-,-,-,-,-,0.2,-,-,-,6.66,1530
Jean-Kévin Duverne,24, D(CLR),,,33(4),1,3,0.3,0.7,0.5,0.8,0.1,0.6,1.2,6.66,3007
Habib Maïga,26, DMC,M(R),,16(1),2,-,0.6,0.6,0.8,0.6,-,1.2,1.1,6.65,1274
Didier Lamkel Zé,25, FW,,,8(1),3,-,1.6,0.6,0.9,1.6,0.4,2.6,3.3,6.65,609
Khéphren Thuram-Ulien,21, DMC,,,20(16),4,2,0.6,0.6,0.9,0.4,-,0.6,0.9,6.65,1897
Elbasan Rashani,29, AM(LR),,,22(7),8,3,1,0.5,0.7,1,0.2,1,1.8,6.65,1769
Kevin Gameiro,35, FW,,,28(7),11,3,1.9,0.8,0.5,0.5,0.4,1.1,1.7,6.65,2397
Haris Belkebla,28, DMC,,,26(5),-,-,0.1,0.5,1,1.3,-,0.6,1.1,6.64,2312
Alberth Elis,26, AM(LR),FW,,16(4),9,1,1.6,0.8,0.8,1.2,0.5,1.6,2.7,6.64,1416
Johan Gastien,34, DMC,,,32,-,1,0.8,0.8,0.4,1,-,0.6,0.8,6.64,2752
Léo Dubois,27, D(LR),M(R),,20(3),-,-,0.4,0.7,0.5,0.6,-,0.5,0.9,6.63,1747
Renaud Ripart,29, D(R),M(CLR),FW,22(6),2,2,1.5,0.6,0.8,1.5,0.2,1.3,1.9,6.63,1902
Jason Berthomier,32, AM(C),,,22(7),1,5,0.8,1.6,0.8,0.5,0.1,0.6,1.3,6.63,1744
Dan Ndoye,21, Forward,,,2(1),-,1,1,0.7,2,0.7,0.3,1,3.3,6.63,204
Marco Bizot,31, GK,,,38,-,1,-,0.1,-,0.1,-,-,-,6.63,3420
El Bilal Touré,20, FW,,,15(6),2,4,1.6,0.5,0.4,0.7,0.3,0.6,1.5,6.63,1201
Jordan Ferri,30, M(C),,,33(1),-,2,0.4,0.9,1,2.1,-,1.4,1.1,6.62,2920
Damien Da Silva,34, D(C),,,13(4),-,-,0.7,0.1,0.1,0.2,-,-,0.4,6.62,1127
Matz Sels,30, GK,,,37,-,-,0.1,-,-,0.1,-,-,-,6.62,3330
Mihailo Ristic,26, D(L),M(L),,19(10),1,3,0.6,0.6,1,0.9,-,0.7,1,6.62,1808
