Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Hugo Magnetti Brest,24, DMC,,,16(12),-,1,0.6,0.3,0.5,0.7,-,0.5,0.9,6.45,1462
Laurent Koscielny Bordeaux,36, D(C),,,11,-,1,-,0.2,0.2,0.8,-,0.1,0.3,6.45,936
Samuel Loric Lorient,21, Defender,,,3,-,-,0.3,-,1,1.7,0.3,0.3,1.7,6.45,270
Otávio Bordeaux,28, DMC,,,13(3),-,-,0.8,0.4,0.4,0.6,-,0.2,0.6,6.45,1150
Oualid El Hajjam Troyes,31, D(CR),,,12(7),1,1,0.5,0.3,0.2,0.6,-,0.3,0.5,6.44,1075
Isaac Lihadji Lille,20, Forward,,,2(11),1,3,0.2,1,0.5,0.4,-,0.8,0.7,6.44,228
Wesley Saïd Lens,27, AM(CLR),FW,,7(14),5,-,1.2,0.7,0.5,0.3,0.1,0.3,0.9,6.44,650
Batista Mendy Angers,22, D(C),DMC,,27(7),1,1,0.4,0.3,0.6,0.3,-,0.6,0.5,6.43,2417
Colin Dagba PSG,23, D(R),,,2(1),-,-,-,0.7,0.7,0.7,-,1,0.3,6.43,166
Alidu Seidu Clermont Foot,22, D(C),,,16(5),-,-,0.4,0.3,0.4,1.3,-,0.6,0.4,6.43,1410
Maxime Estève Montpellier,20, D(C),,,20(4),-,-,0.2,0.1,0.1,0.3,-,0.1,0.5,6.43,1856
Gaëtan Poussin Bordeaux,23, GK,,,13,-,-,-,-,-,0.1,-,-,0.1,6.43,1170
Salis Abdul Samed Clermont Foot,22, DMC,,,29(2),1,-,0.6,0.5,0.8,1.2,-,1,1.4,6.43,2472
Sada Thioub Saint-Etienne,27, M(LR),,,11(6),-,1,0.3,0.7,0.7,0.3,-,0.6,0.8,6.43,954
Gabriel Gudmundsson Lille,23, D(L),M(LR),,15(15),1,-,0.6,0.4,0.7,0.7,0.2,0.7,1,6.43,1341
Azzedine Ounahi Angers,22, M(C),,,16(16),2,1,0.8,0.6,0.8,0.8,-,1,1.6,6.43,1627
Georginio Wijnaldum PSG,31, M(CLR),,,18(13),1,3,0.7,0.4,0.4,0.5,-,0.7,0.9,6.42,1654
Burak Yilmaz Lille,36, AM(L),FW,,25(6),4,3,2.3,0.8,0.2,0.7,1.3,0.8,2.3,6.42,2219
Boubacar Traore Metz,20, M(C),,,17(10),1,1,0.8,0.6,1,0.6,-,0.9,1.6,6.42,1721
Matthieu Dreyer Lorient,33, GK,,,16,-,-,-,-,-,0.1,-,-,-,6.42,1440
Dion Lopy Reims,20, DMC,,,19(7),-,-,0.6,0.3,0.7,0.7,-,1,1.5,6.42,1647
Mama Baldé Troyes,26, D(R),M(CLR),FW,20(10),3,2,1.6,0.6,1.1,0.9,0.1,1.3,3,6.42,1725
Sékou Mara Bordeaux,19, FW,,,8(18),6,-,1.5,0.3,0.4,0.9,0.1,0.6,1.3,6.42,898
Nathanaël Mbuku Reims,20, AM(CLR),FW,,18(13),2,1,1.1,0.3,0.8,1.3,0.1,0.8,1.2,6.42,1423
Zaydou Youssouf Saint-Etienne,22, M(CR),,,18(12),1,-,0.7,0.4,1.1,0.8,-,1,1.4,6.41,1558
Xavier Chavalerin Reims,31, DMC,M(L),,2(1),-,-,1,1,0.7,-,-,0.3,0.7,6.41,219
Djibril Sidibé Monaco,29, D(CLR),M(R),,12(5),-,-,0.2,0.4,0.2,0.5,-,0.4,0.7,6.41,952
Junior Sambia Montpellier,25, D(R),M(CR),,16(14),1,-,0.7,0.4,0.9,0.9,-,0.6,1.1,6.41,1528
Lamine Gueye Metz,24, AM(R),FW,,7(7),-,3,1,1.1,0.5,0.7,0.2,1.1,1.6,6.41,557
Cédric Bakambu Marseille,31, AM(LR),FW,,5(7),4,-,1.6,0.6,0.1,0.2,0.4,0.1,0.8,6.41,356
Gideon Mensah Bordeaux,23, D(L),M(L),,13(10),-,2,0.1,0.7,1,0.2,0.1,0.7,1,6.41,1206
Houboulang Mendes Lorient,24, D(CR),,,36,-,1,0.6,0.4,0.4,0.5,0.1,0.2,1.2,6.41,3223
Paul Bernardoni Saint-Etienne,25, GK,,,19,-,-,-,-,-,0.2,-,-,-,6.41,1710
Etienne Green Saint-Etienne,21, GK,,,15,-,-,-,0.1,-,0.1,-,-,0.1,6.41,1200
Philippe Sandler Troyes,25, D(C),,,1(1),-,-,-,-,-,-,-,-,-,6.4,70
Jodel Dossou Clermont Foot,30, AM(R),,,23(12),3,1,1.5,0.6,1.1,1.1,0.4,1.2,2,6.4,2017
Ouparine Djoco Clermont Foot,24, GK,,,23(1),-,-,-,-,-,0.2,-,-,-,6.4,2113
Massadio Haïdara Lens,29, D(CL),M(L),,12(8),1,1,0.3,0.2,0.2,0.6,-,0.4,0.5,6.4,1078
Bradley Locko Reims,20, M(L),,,11(13),1,1,0.3,0.3,0.6,0.5,0.1,0.9,0.5,6.4,1011
Hatem Ben Arfa Lille,35, M(CR),FW,,4(3),-,1,0.4,0.9,1,0.6,0.3,1.4,1.7,6.4,314
Morgan Schneiderlin Nice,32, DMC,,,5(15),-,1,0.1,0.2,0.2,0.2,-,0.3,0.4,6.4,639
Yusuf Yazici Lille,25, M(CLR),FW,,5(10),1,1,0.7,0.7,0.6,0.6,0.1,0.3,1.1,6.4,501
Youssouf Koné Troyes,26, D(CL),M(L),,11(10),-,1,0.4,0.4,0.7,1,0.1,0.5,0.2,6.39,981
Jérémy Le Douaron Brest,24, AM(L),FW,,16(16),5,3,1.1,0.5,0.3,0.8,0.1,1,2.2,6.39,1446
Jean Eudes Aholou Strasbourg,28, DMC,,,11(14),1,1,0.7,0.2,0.4,0.8,-,0.4,0.8,6.39,1002
Sébastien Corchia Nantes,31, D(R),M(R),,13(15),-,3,0.4,0.4,0.3,0.9,-,0.3,0.8,6.39,1319
Pierrick Capelle Angers,35, D(L),M(CLR),,12(18),-,1,0.6,0.4,0.5,0.2,-,0.6,1,6.39,1187
Eliaquim Mangala Saint-Etienne,31, D(C),,,14,1,-,0.2,0.1,0.3,0.8,-,0.2,0.7,6.39,1183
Jim Allevinah Clermont Foot,27, AM(L),,,13(17),1,2,1.4,0.5,1.1,1.1,0.1,1.3,1.4,6.38,1481
Moritz Jenz Lorient,23, D(C),,,16(1),1,-,0.5,0.1,0.1,0.2,-,0.1,0.2,6.38,1384
