,Name,Age,position1,position2,position3,Apps,Mins,Assists,AvgP,PS%,Crosses,LongB,ThrB,Rating,KeyP
518,Kasey McAteer,20, Midfielder,,,0(1),2,-,1,100,-,-,-,6.01,-
519,Dominic Thompson,21, D(L),M(L),,2,148,-,18.5,54.1,-,0.5,-,6.01,-
520,Jeremy Sarmiento,19, Forward,,,1(4),45,-,3.6,72.2,-,-,-,6,-
521,Alex Král,24, DMC,,,0(1),1,-,2,-,-,-,-,6,-
522,Daniel Chesters,20, Midfielder,,,0(1),1,-,-,-,-,-,-,6,-
523,Hélder Costa,28, AM(CLR),,,0(1),20,-,5,100,-,-,-,6,-
524,Moise Kean,22, AM(L),FW,,0(1),1,-,1,100,-,-,-,6,-
525,Nohan Kenneh,19, Midfielder,,,1,1,-,-,-,-,-,-,6,-
526,Wesley Moraes,25, FW,,,0(1),1,-,2,100,-,-,-,6,-
527,Stuart McKinstry,19, Midfielder,,,0(1),3,-,3,66.7,-,-,-,5.99,-
528,Lewis Dobbin,19, Forward,,,0(3),30,-,2.7,62.5,-,0.3,-,5.99,-
529,Alejandro Garnacho,17, Midfielder,,,0(2),12,-,1.5,100,-,-,-,5.98,-
530,Nathan Ferguson,21, D(LR),,,0(1),8,-,3,33.3,-,-,-,5.98,-
531,Nathan Young-Coombes,19, Forward,,,0(1),3,-,-,-,-,-,-,5.98,-
532,Tony Springett,19, Midfielder,,,1(2),141,-,12,66.7,0.3,-,-,5.97,0.7
533,Hannibal Mejbri,19, Midfielder,,,1(1),68,-,10.5,81,-,-,-,5.97,-
534,Cenk Tosun,31, FW,,,0(1),6,-,1,100,-,-,-,5.96,-
535,Jaden Philogene-Bidace,20, AM(L),,,0(1),4,-,2,-,-,-,-,5.95,-
536,Folarin Balogun,20, FW,,,1(1),70,-,4.5,44.4,-,-,-,5.95,-
537,Morgan Gibbs-White,22, AM(CR),FW,,0(2),7,-,4.5,77.8,-,-,-,5.94,-
538,Evan Ferguson,17, Forward,,,0(1),22,-,5,80,1,-,-,5.93,-
539,Keinan Davis,24, FW,,,0(1),11,-,3,100,-,-,-,5.92,-
540,Liam McCarron,21, Midfielder,,,0(1),9,-,2,100,-,-,-,5.91,-
541,Lewis Bate,19, Midfielder,,,1(2),147,-,20.3,73.8,-,1,-,5.82,-
542,Freddie Woodman,25, GK,,,4,360,-,26.8,58.9,-,6,-,5.81,-
543,Sead Kolasinac,28, D(CL),DMC,M(L),1(1),91,-,7,92.9,-,-,-,5.72,-
544,Isaac Price,18, Midfielder,,,0(1),12,-,2,50,-,-,-,5.7,-
545,Jonas Lössl,33, GK,,,2,180,-,27.5,65.5,-,6,-,5.55,-
546,Jed Steer,29, GK,,,1,90,-,31,74.2,-,4,-,5.46,-
