,Name,Age,position1,position2,position3,Apps,Mins,Assists,AvgP,PS%,Crosses,LongB,ThrB,Rating,KeyP
109,Alisson,29, GK,,,36,3240,1,32.7,85.5,-,4.2,-,6.87,-
110,Wesley Fofana,21, D(C),,,7,630,-,75.3,89,-,2.3,-,6.87,0.3
111,Saïd Benrahma,26, AM(CLR),,,26(6),2184,6,23.8,81.1,0.3,0.5,0.1,6.87,1
112,Emerson Royal,23, D(R),M(R),,26(5),2291,1,36.6,82.3,0.6,0.6,-,6.87,0.9
113,Fred,29, M(C),,,24(4),2036,4,48,84.1,-,2.2,0.2,6.87,1
114,Oriol Romeu,30, DMC,,,34(2),2899,2,46.5,82,0.1,2.8,0.1,6.87,1
115,Hassane Kamara,28, D(L),M(L),,18(1),1625,-,37.3,70.5,0.3,1.5,0.1,6.86,0.5
116,Jordan Henderson,31, D(C),M(CLR),,29(6),2604,5,61.6,85.5,0.5,2.8,0.1,6.86,1.1
117,Davinson Sánchez,25, D(C),,,17(6),1626,-,49,87.8,-,1.7,-,6.86,0.2
118,Josh Brownhill,26, M(CR),,,32(3),2953,3,32.1,77.4,0.5,1.7,-,6.86,1.1
119,Curtis Jones,21, AM(C),,,10(5),856,1,39.1,90.5,0.1,1,-,6.86,0.7
120,Gabriel Martinelli,20, AM(L),FW,,21(8),1866,6,18.1,79.7,0.4,0.5,-,6.86,1.2
121,Diogo Dalot,23, D(LR),M(R),,19(5),1799,-,40,80.2,0.6,3,-,6.86,0.7
122,Liam Cooper,30, D(C),,,21,1815,1,56,83.1,-,2.8,-,6.85,0.2
123,Antonio Rüdiger,29, D(CR),,,34,3035,-,73.4,88.1,0.1,4.7,0.1,6.85,0.4
124,Kai Havertz,22, M(CR),FW,,22(7),1816,3,22.6,81.3,0.1,0.3,0.1,6.85,0.7
125,Roberto Firmino,30, M(CLR),FW,,10(10),987,4,24.3,78.8,0.1,0.5,0.1,6.85,0.8
126,Rúben Neves,25, DMC,,,31(2),2663,2,58.5,84,0.3,6,0.2,6.85,0.8
127,James McArthur,34, M(CLR),,,15(6),1438,3,43.3,83.1,0.3,1.9,-,6.84,0.8
128,Romain Saïss,32, D(C),DMC,,31,2709,-,57.5,80.1,-,3.5,-,6.84,0.2
129,Mohammed Salisu,23, D(CL),,,33(1),2972,-,51.2,77.9,0.1,2.6,-,6.83,0.3
130,Kyle Walker-Peters,25, D(LR),M(R),,29(3),2632,2,34,81.3,0.2,1.3,0.1,6.83,0.8
131,Takehiro Tomiyasu,23, D(CR),,,20(1),1682,1,43.9,81.1,0.6,1.7,-,6.83,0.6
132,Joelinton,25, AM(CLR),FW,,30(5),2559,1,26,77.6,0.1,0.7,-,6.83,0.8
133,Romelu Lukaku,29, AM(R),FW,,16(10),1586,-,12.2,72.9,-,0.2,-,6.83,0.9
134,Lucas Moura,29, AM(CLR),FW,,19(15),1774,6,21.3,76.7,0.2,0.3,0.1,6.82,1
135,Nélson Semedo,28, D(LR),M(R),,25,2137,1,36.5,77.4,0.2,0.8,-,6.82,0.7
136,Charlie Taylor,28, D(L),M(L),,30(1),2731,3,31.6,71.1,0.6,2.4,-,6.82,0.7
137,Ross Barkley,28, M(CLR),,,1(5),176,-,20.2,85.1,0.5,0.7,0.2,6.82,1.3
138,César Azpilicueta,32, D(CLR),M(R),,24(3),2075,2,59.4,85.7,0.2,1.7,-,6.81,0.6
139,José Sá,29, GK,,,37,3286,1,24,63,-,3.9,-,6.81,0.1
140,Nick Pope,30, GK,,,36,3240,-,25.8,44.5,-,9.2,-,6.81,0.1
141,Jan Bednarek,26, D(C),,,30(1),2633,-,46.6,81.7,-,2.8,-,6.81,0.2
142,Dan Burn,30, D(CL),M(L),,12(1),1023,-,48.9,81.8,-,1.9,-,6.8,0.2
143,Pablo Fornals,26, M(CLR),,,32(4),2804,3,36.6,78.1,0.5,1.9,0.1,6.8,1.3
144,David Raya,26, GK,,,24,2160,-,40,64.5,-,10.8,-,6.8,-
145,Joël Veltman,30, D(CR),M(R),,33(1),2881,1,46.6,79.7,0.2,1.9,0.1,6.8,0.5
