Player.1,Age,position1,position2,position3,Apps,Mins,Assists,AvgP,PS%,Crosses,LongB,ThrB,Rating,KeyP
Aaron Connolly Brighton,22, FW,,,1(3),155,-,4.8,73.7,-,-,-,6.1,0.3
Joe Rodon Tottenham,24, D(C),,,0(3),87,-,11.7,82.9,-,1,-,6.09,-
Christoph Zimmermann Norwich,29, D(C),,,2(1),158,-,21,73,-,0.7,-,6.09,-
Kayky Man City,18, Forward,,,0(1),6,-,2,100,-,-,-,6.09,-
Theo Walcott Southampton,33, M(CLR),FW,,5(4),381,-,9,71.6,-,0.2,-,6.09,0.1
Fábio Silva Wolves,19, FW,,,6(16),565,-,6.2,68.4,-,0.1,-,6.09,0.1
Kaide Gordon Liverpool,17, Forward,,,0(1),8,-,4,100,-,-,-,6.08,-
Sonny Perkins West Ham,18, Midfielder,,,0(1),3,-,1,-,-,-,-,6.08,-
Jean-Philippe Gbamin Everton,26, D(CR),DMC,,1(2),67,-,7.3,72.7,-,-,-,6.07,-
Christos Tzolis Norwich,20, AM(L),,,3(11),330,-,6.9,75,0.1,0.2,-,6.06,0.6
Mads Bidstrup Brentford,21, Midfielder,,,0(4),38,-,3.3,76.9,-,-,-,6.06,-
Ozan Tufan Watford,27, D(R),M(CR),,4(3),338,-,16.4,73.9,-,0.4,-,6.06,0.6
Ashley Fletcher Watford,26, AM(CL),FW,,0(3),28,-,2,50,-,-,-,6.05,-
Bali Mumba Norwich,20, M(R),,,0(1),45,-,9,77.8,-,-,-,6.05,-
Shola Shoretire Man Utd,18, Forward,,,0(1),16,-,5,100,-,-,-,6.05,-
Anwar El Ghazi Everton,27, AM(LR),FW,,0(2),11,-,4.5,77.8,-,-,-,6.05,-
Jürgen Locadia Brighton,28, AM(LR),FW,,0(1),22,-,1,100,-,-,-,6.04,-
Reiss Nelson Arsenal,22, M(LR),,,0(1),19,-,12,66.7,-,-,-,6.04,1
Cody Drameh Leeds,20, D(R),,,1(2),126,-,18.3,74.5,0.3,0.7,-,6.03,0.3
Emerson Chelsea,27, D(L),M(L),,0(1),4,-,2,50,-,-,-,6.03,-
Trézéguet Aston Villa,27, AM(LR),,,0(1),10,-,6,100,-,1,-,6.03,-
Dwight Gayle Newcastle,32, AM(LR),FW,,0(8),34,-,2,81.3,-,-,-,6.02,0.3
Tyler Onyango Everton,19, Midfielder,,,0(3),27,-,0.7,50,-,-,-,6.02,-
Cameron Archer Aston Villa,20, FW,,,0(3),24,-,1.3,100,-,-,-,6.02,-
Kasey McAteer Leicester,20, Midfielder,,,0(1),2,-,1,100,-,-,-,6.01,-
Dominic Thompson Brentford,21, D(L),M(L),,2,148,-,18.5,54.1,-,0.5,-,6.01,-
Jeremy Sarmiento Brighton,19, Forward,,,1(4),45,-,3.6,72.2,-,-,-,6,-
Alex Král West Ham,24, DMC,,,0(1),1,-,2,-,-,-,-,6,-
Daniel Chesters West Ham,20, Midfielder,,,0(1),1,-,-,-,-,-,-,6,-
Hélder Costa Leeds,28, AM(CLR),,,0(1),20,-,5,100,-,-,-,6,-
Moise Kean Everton,22, AM(L),FW,,0(1),1,-,1,100,-,-,-,6,-
Nohan Kenneh Leeds,19, Midfielder,,,1,1,-,-,-,-,-,-,6,-
Wesley Moraes Aston Villa,25, FW,,,0(1),1,-,2,100,-,-,-,6,-
Stuart McKinstry Leeds,19, Midfielder,,,0(1),3,-,3,66.7,-,-,-,5.99,-
Lewis Dobbin Everton,19, Forward,,,0(3),30,-,2.7,62.5,-,0.3,-,5.99,-
Alejandro Garnacho Man Utd,17, Midfielder,,,0(2),12,-,1.5,100,-,-,-,5.98,-
Nathan Ferguson Crystal Palace,21, D(LR),,,0(1),8,-,3,33.3,-,-,-,5.98,-
Nathan Young-Coombes Brentford,19, Forward,,,0(1),3,-,-,-,-,-,-,5.98,-
Tony Springett Norwich,19, Midfielder,,,1(2),141,-,12,66.7,0.3,-,-,5.97,0.7
Hannibal Mejbri Man Utd,19, Midfielder,,,1(1),68,-,10.5,81,-,-,-,5.97,-
Cenk Tosun Everton,31, FW,,,0(1),6,-,1,100,-,-,-,5.96,-
Jaden Philogene-Bidace Aston Villa,20, AM(L),,,0(1),4,-,2,-,-,-,-,5.95,-
Folarin Balogun Arsenal,20, FW,,,1(1),70,-,4.5,44.4,-,-,-,5.95,-
Morgan Gibbs-White Wolves,22, AM(CR),FW,,0(2),7,-,4.5,77.8,-,-,-,5.94,-
Evan Ferguson Brighton,17, Forward,,,0(1),22,-,5,80,1,-,-,5.93,-
Keinan Davis Aston Villa,24, FW,,,0(1),11,-,3,100,-,-,-,5.92,-
Liam McCarron Leeds,21, Midfielder,,,0(1),9,-,2,100,-,-,-,5.91,-
Lewis Bate Leeds,19, Midfielder,,,1(2),147,-,20.3,73.8,-,1,-,5.82,-
Freddie Woodman Newcastle,25, GK,,,4,360,-,26.8,58.9,-,6,-,5.81,-
Sead Kolasinac Arsenal,28, D(CL),DMC,M(L),1(1),91,-,7,92.9,-,-,-,5.72,-
Isaac Price Everton,18, Midfielder,,,0(1),12,-,2,50,-,-,-,5.7,-
Jonas Lössl Brentford,33, GK,,,2,180,-,27.5,65.5,-,6,-,5.55,-
Jed Steer Aston Villa,29, GK,,,1,90,-,31,74.2,-,4,-,5.46,-
