,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
84,"85Jamie Bynoe-GittensBorussia Dortmund, 17, Midfielder",Jamie Bynoe-Gittens,17, Midfielder,,,1(3),133,-,-,-,-,0.3,68.3,0.5,-,6.83
85,"86Jonathan BurkardtMainz, 21, AM(CR),FW",Jonathan Burkardt,21, AM(CR),FW,,32(2),2632,11,3,-,-,2.3,70.3,1.1,3,6.82
86,"87Josip BrekaloWolfsburg, 23, AM(CLR),FW",Josip Brekalo,23, AM(CLR),FW,,0(1),20,-,1,-,-,-,80,-,-,6.82
87,"88Dominik SzoboszlaiRBL, 21, AM(CL)",Dominik Szoboszlai,21, AM(CL),,,15(16),1538,6,8,2,-,1.3,81,0.6,4,6.82
88,"89Tony JantschkeBorussia M.Gladbach, 32, D(CR),DMC",Tony Jantschke,32, D(CR),DMC,,3,227,-,-,-,-,0.3,73.3,2,-,6.82
89,"90Amadou HaïdaraRBL, 24, M(CLR)",Amadou Haïdara,24, M(CLR),,,15(5),1327,3,1,2,-,0.7,84.1,1,-,6.82
90,"91Raphaël GuerreiroBorussia Dortmund, 28, D(L),M(CL)",Raphaël Guerreiro,28, D(L),M(CL),,21(2),1803,4,2,1,-,1.4,85.5,0.2,-,6.82
91,"92Ridle BakuWolfsburg, 24, D(R),M(CR)",Ridle Baku,24, D(R),M(CR),,28(6),2450,3,5,4,-,1.1,76.5,0.8,-,6.81
92,"93Niklas SüleBayern, 26, D(CR)",Niklas Süle,26, D(CR),,,19(9),1835,1,2,2,-,0.6,90.1,1.4,-,6.81
93,"94Daniel CaligiuriAugsburg, 34, D(R),M(CLR),FW",Daniel Caligiuri,34, D(R),M(CLR),FW,24(4),2014,4,2,4,-,1.3,71.5,1.1,2,6.81
94,"95Manuel RiemannBochum, 33, GK",Manuel Riemann,33, GK,,,30,2700,-,1,2,-,-,60.6,0.3,3,6.81
95,"96Lukas KüblerFreiburg, 29, D(R),M(R)",Lukas Kübler,29, D(R),M(R),,27(2),2338,2,-,2,-,0.4,74.9,1.3,-,6.8
96,"97Sheraldo BeckerUnion Berlin, 27, AM(CLR),FW",Sheraldo Becker,27, AM(CLR),FW,,22(6),1770,4,6,4,-,1.3,71.3,0.4,4,6.8
97,"98Lukás HrádeckyLeverkusen, 32, GK",Lukás Hrádecky,32, GK,,,32,2880,-,-,1,-,-,73.8,0.3,1,6.8
98,"99Denis ZakariaBorussia M.Gladbach, 25, D(C),DMC",Denis Zakaria,25, D(C),DMC,,15(1),1395,2,1,4,-,1.1,90.1,0.9,1,6.8
99,"100Silvan WidmerMainz, 29, D(R),M(R)",Silvan Widmer,29, D(R),M(R),,33,2925,4,5,1,-,0.7,74.4,1.1,-,6.79
100,"101Amos PieperArminia Bielefeld, 24, D(C)",Amos Pieper,24, D(C),,,27,2382,-,-,2,-,0.5,78.1,2.1,1,6.79
101,"102Rafael BorréEintracht Frankfurt, 26, FW",Rafael Borré Eintracht,26, FW,,,28(3),2391,8,4,5,-,1.7,72.3,1.5,1,6.79
102,"103Salih ÖzcanFC Koln, 24, M(C)",Salih Özcan,24, M(C),,,26(5),2310,2,-,5,-,0.9,84.1,1.7,1,6.79
103,"104Michael GregoritschAugsburg, 28, AM(CR),FW",Michael Gregoritsch,28, AM(CR),FW,,15(10),1394,9,-,3,-,1.7,59,3.2,1,6.78
104,"105Marvin SchwäbeFC Koln, 27, GK",Marvin Schwäbe,27, GK,,,21,1890,-,-,1,-,-,81.4,0.2,1,6.78
105,"106Robert AndrichLeverkusen, 27, M(C)",Robert Andrich,27, M(C),,,21(5),1821,4,2,5,1,1.2,81.1,1.2,-,6.78
106,"107Karim BellarabiLeverkusen, 32, M(CLR),FW",Karim Bellarabi,32, M(CLR),FW,,9(7),687,3,2,2,-,1.8,79.6,-,1,6.78
107,"108Christian GünterFreiburg, 29, D(L),M(L)",Christian Günter,29, D(L),M(L),,34,3060,2,9,2,-,0.7,70.6,0.3,2,6.78
108,"109Florian NeuhausBorussia M.Gladbach, 25, M(C)",Florian Neuhaus,25, M(C),,,23(5),2038,4,4,2,-,1.6,80.8,0.4,-,6.78
109,"110Guilherme RamosArminia Bielefeld, 24, D(C)",Guilherme Ramos,24, D(C),,,9(4),903,-,-,1,-,0.5,68.6,2.4,1,6.77
110,"111Cédric BrunnerArminia Bielefeld, 28, D(CR)",Cédric Brunner,28, D(CR),,,26(1),2188,-,1,6,-,0.4,70.9,1.7,1,6.77
111,"112Matthias GinterBorussia M.Gladbach, 28, D(CR),DMC",Matthias Ginter,28, D(CR),DMC,,26(1),2268,1,-,2,-,1.1,83.6,2.7,1,6.77
112,"113Wout WeghorstWolfsburg, 29, FW",Wout Weghorst,29, FW,,,17(1),1552,6,1,2,-,2.1,70.9,2.5,1,6.76
113,"114Jesper LindstrømEintracht Frankfurt, 22, AM(C),FW",Jesper Lindstrøm Eintracht,22, AM(C),FW,,26(3),1996,5,4,-,-,1.9,74.5,0.2,1,6.76
114,"115Ansgar KnauffEintracht Frankfurt, 20, M(R)",Ansgar Knauff Eintracht,20, M(R),,,8(4),760,1,1,-,-,1,62.6,0.6,1,6.76
115,"116IagoAugsburg, 25, D(L),M(L)",Iago,25, D(L),M(L),,26(2),2179,2,5,3,-,0.4,69.1,0.9,-,6.75
116,"117Robin KnocheUnion Berlin, 30, D(C)",Robin Knoche,30, D(C),,,33,2970,-,-,6,-,0.3,78.6,1.9,1,6.75
117,"118Marvin PlattenhardtHertha Berlin, 30, D(L),M(L)",Marvin Plattenhardt,30, D(L),M(L),,19(2),1638,-,3,3,-,0.3,75,0.8,-,6.75
118,"119Nordi MukieleRBL, 24, D(CR),M(R)",Nordi Mukiele,24, D(CR),M(R),,21(7),1846,1,3,3,-,0.8,74,1.7,-,6.75
119,"120TutaEintracht Frankfurt, 22, D(C)",Tuta Eintracht,22, D(C),,,26,2189,4,-,2,1,0.6,79,2.1,2,6.75
120,"121Grischa PrömelUnion Berlin, 27, M(C)",Grischa Prömel,27, M(C),,,28(1),2428,8,1,5,-,1.3,75.9,1.2,2,6.75
121,"122Yann SommerBorussia M.Gladbach, 33, GK",Yann Sommer,33, GK,,,32,2880,-,1,2,-,-,73.5,0.3,3,6.75
122,"123André SilvaRBL, 26, FW",André Silva,26, FW,,,24(9),2081,11,3,1,-,1.8,73.1,1.1,1,6.74
123,"124Niklas DorschAugsburg, 24, DMC",Niklas Dorsch,24, DMC,,,27(3),2328,1,-,8,-,0.4,83.4,0.5,1,6.74
124,"125Manuel NeuerBayern, 36, GK",Manuel Neuer,36, GK,,,28,2511,-,-,-,-,-,86.2,0.2,-,6.74
125,"126Stefan BellMainz, 30, D(CR)",Stefan Bell,30, D(CR),,,33,2869,2,-,9,-,0.7,77.3,3.2,1,6.74
126,"127Thorgan HazardBorussia Dortmund, 29, M(CLR),FW",Thorgan Hazard,29, M(CLR),FW,,14(9),1337,4,1,2,-,1,78.3,1,2,6.73
127,"128Atakan KarazorStuttgart, 25, D(C),DMC",Atakan Karazor,25, D(C),DMC,,23(1),1906,-,1,7,1,0.4,82.1,2.4,-,6.73
128,"129Josuha GuilavoguiWolfsburg, 31, D(C),M(C)",Josuha Guilavogui,31, D(C),M(C),,10(5),943,-,-,4,-,0.5,82.2,2.7,-,6.73
129,"130Joakim NilssonArminia Bielefeld, 28, D(C)",Joakim Nilsson,28, D(C),,,31,2739,2,-,5,-,0.2,80.4,2.6,1,6.73
130,"131John BrooksWolfsburg, 29, D(C)",John Brooks,29, D(C),,,29(2),2619,1,-,2,-,0.4,83.4,2.2,1,6.73
131,"132Stefan Ortega MorenoArminia Bielefeld, 29, GK",Stefan Ortega Moreno,29, GK,,,33,2970,-,-,1,-,-,69,0.1,2,6.73
