,Player,Name,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
40,"41Diogo JotaLiverpool, 25, AM(CLR),FW",Diogo Jota,25, AM(CLR),FW,,27(8),2373,15,4,3,-,2.6,74.9,1.1,4,7.08
41,"42Conor GallagherCrystal Palace, 22, AM(C)",Conor Gallagher,22, AM(C),,,33(1),2851,8,3,10,-,1.5,81.2,0.7,4,7.08
42,"43James MaddisonLeicester, 25, AM(CLR)",James Maddison,25, AM(CLR),,,28(7),2468,12,8,3,-,2.1,80.7,0.1,6,7.07
43,"44Moisés CaicedoBrighton, 20, M(C)",Moisés Caicedo,20, M(C),,,8,664,1,1,2,-,1.3,82.1,1.1,-,7.07
44,"45Thiago SilvaChelsea, 37, D(C)",Thiago Silva,37, D(C),,,28(4),2651,3,-,2,-,0.6,92.8,1.8,1,7.06
45,"46Bukayo SakaArsenal, 20, D(L),M(CLR)",Bukayo Saka,20, D(L),M(CLR),,36(2),2996,11,7,6,-,2.6,79.5,0.6,3,7.06
46,"47Oleksandr ZinchenkoMan City, 25, D(L),M(CLR)",Oleksandr Zinchenko,25, D(L),M(CLR),,10(5),1045,-,4,-,-,0.8,90.7,1,-,7.05
47,"48Mateo KovacicChelsea, 28, M(CL)",Mateo Kovacic,28, M(CL),,,16(9),1557,2,5,4,-,0.9,88.8,0.2,1,7.04
48,"49Bruno GuimarãesNewcastle, 24, DMC",Bruno Guimarães,24, DMC,,,11(6),1034,5,1,4,-,1.4,85.7,0.2,4,7.04
49,"50Bruno FernandesMan Utd, 27, M(CLR)",Bruno Fernandes,27, M(CLR),,,35(1),3120,10,6,10,-,2.5,78.3,0.5,3,7.03
50,"51Trevoh ChalobahChelsea, 22, D(CR),DMC",Trevoh Chalobah,22, D(CR),DMC,,17(3),1451,3,1,2,-,0.5,90.6,1.7,1,7.03
51,"52Konstantinos TsimikasLiverpool, 26, D(L)",Konstantinos Tsimikas,26, D(L),,,9(4),874,-,2,3,-,0.6,81.3,0.9,-,7.03
52,"53Caoimhin KelleherLiverpool, 23, GK",Caoimhin Kelleher,23, GK,,,2,180,-,-,-,-,-,89.7,0.5,-,7.02
