,Unnamed: 0,Player,Name,Age,position1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
81,81,"82Adrian SemperGenoa, 24, GK",Adrian Semper,24, GK,,,1,90,-,-,-,-,-,52.9,-,-,6.83
82,82,"83Zlatan IbrahimovicAC Milan, 40, FW",Zlatan Ibrahimovic,40, FW,,,11(12),1009,8,3,2,-,2.2,72.5,1.9,2,6.82
83,83,"84Gianluca ScamaccaSassuolo, 23, FW",Gianluca Scamacca,23, FW,,,25(11),2155,16,-,7,-,2.2,74,1.4,2,6.82
84,84,"85David OspinaNapoli, 33, GK",David Ospina,33, GK,,,31,2790,-,-,1,-,-,81.2,0.4,-,6.82
85,85,"86Teun KoopmeinersAtalanta, 24, D(C),M(C)",Teun Koopmeiners,24, D(C),M(C),,23(7),2129,4,1,4,-,0.9,82.7,0.9,2,6.82
86,86,"87ÉdersonSalernitana, 22, DMC",Éderson,22, DMC,,,13(2),1153,2,1,5,-,1.4,81.6,0.7,2,6.82
87,87,"88Riccardo StivanelloBologna, 18, Defender",Riccardo Stivanello,18, Defender,,,0(1),45,-,-,-,-,-,75,1,-,6.82
88,88,"89Adrien RabiotJuventus, 27, DMC,M(L)",Adrien Rabiot,27, DMC,M(L),,28(4),2294,-,2,5,-,0.8,83.3,1.5,-,6.82
89,89,"90Milan SkriniarInter, 27, D(C)",Milan Skriniar,27, D(C),,,35,3150,3,-,3,-,0.7,92.9,1.5,-,6.82
90,90,"91Denzel DumfriesInter, 26, D(R),M(R)",Denzel Dumfries,26, D(R),M(R),,21(12),2028,5,4,3,-,1.2,77.1,1.3,1,6.81
91,91,"92Jordan VeretoutRoma, 29, M(C)",Jordan Veretout,29, M(C),,,26(10),2329,4,8,6,-,0.8,88.4,0.4,1,6.81
92,92,"93Manuel LocatelliJuventus, 24, M(C)",Manuel Locatelli,24, M(C),,,23(8),2161,3,4,6,-,0.7,85.8,1,2,6.81
93,93,"94Wilfried Stephane SingoTorino, 21, M(R)",Wilfried Stephane Singo,21, M(R),,,32(3),2626,3,4,5,1,1.2,79.8,1.2,3,6.8
94,94,"95Simone BastoniSpezia, 25, D(L),DMC,M(L)",Simone Bastoni,25, D(L),DMC,M(L),26(5),2291,3,3,5,1,0.9,74,0.8,2,6.8
95,95,"96Szymon ZurkowskiEmpoli, 24, M(C)",Szymon Zurkowski,24, M(C),,,29(6),2320,6,2,5,-,1.3,79.9,0.7,2,6.8
96,96,"97Giorgio AltareCagliari, 23, D(C)",Giorgio Altare,23, D(C),,,17(2),1469,1,-,5,-,0.9,68.9,2.4,1,6.8
97,97,"98SamirUdinese, 27, D(CL)",Samir,27, D(CL),,,17,1427,-,-,5,-,0.4,79.8,2.4,-,6.8
98,98,"99IbañezRoma, 23, D(C)",Ibañez,23, D(C),,,32(2),2888,3,-,9,-,0.6,87.5,1.8,2,6.8
99,99,"100Iyenoma UdogieUdinese, 19, M(L)",Iyenoma Udogie,19, M(L),,,29(6),2486,5,4,4,-,0.8,78.4,0.8,-,6.8
100,100,"101Milan BadeljGenoa, 33, M(C)",Milan Badelj,33, M(C),,,34,2853,1,-,4,-,0.6,78.9,1,1,6.79
101,101,"102Sérgio OliveiraRoma, 30, DMC",Sérgio Oliveira,30, DMC,,,13(1),902,2,1,5,-,0.9,83.2,0.6,3,6.79
102,102,"103Samir HandanovicInter, 37, GK",Samir Handanovic,37, GK,,,37,3330,-,-,1,-,-,83.3,0.2,3,6.79
103,103,"104Petar StojanovicEmpoli, 26, D(R)",Petar Stojanovic,26, D(R),,,32(1),2741,1,1,9,1,0.3,78.5,0.4,1,6.79
104,104,"105Ismaël BennacerAC Milan, 24, DMC",Ismaël Bennacer,24, DMC,,,15(16),1523,2,1,7,-,0.5,87.7,0.5,2,6.78
105,105,"106Morten FrendrupGenoa, 21, DMC",Morten Frendrup,21, DMC,,,6(4),694,-,-,1,-,0.4,66.5,1.2,-,6.78
106,106,"107Marten de RoonAtalanta, 31, D(C),DMC",Marten de Roon,31, D(C),DMC,,28(2),2549,3,-,5,1,0.8,85.4,1.8,-,6.78
107,107,"108Marco FaraoniVerona, 30, D(R),M(R)",Marco Faraoni,30, D(R),M(R),,30(2),2583,4,6,6,1,0.9,68,1.4,1,6.77
108,108,"109João PedroCagliari, 30, AM(CLR),FW",João Pedro,30, AM(CLR),FW,,37,3325,13,4,9,-,2.5,72.3,1.7,4,6.77
109,109,"110Josip BrekaloTorino, 23, AM(CLR),FW",Josip Brekalo,23, AM(CLR),FW,,26(6),2297,7,2,1,-,1.4,78.1,0.5,3,6.77
110,110,"111Davide FrattesiSassuolo, 22, DMC",Davide Frattesi,22, DMC,,,35(1),2885,4,3,6,-,1.9,83.7,0.7,1,6.77
111,111,"112Federico DimarcoInter, 24, D(CL),M(L)",Federico Dimarco,24, D(CL),M(L),,13(19),1422,2,2,1,-,1.2,88.2,0.3,1,6.77
112,112,"113Ivan ProvedelSpezia, 28, GK",Ivan Provedel,28, GK,,,31,2762,-,-,2,-,-,57.5,0.3,3,6.76
113,113,"114Maxime LopezSassuolo, 24, M(CR)",Maxime Lopez,24, M(CR),,,33(2),2942,2,2,14,-,0.5,91.2,0.2,-,6.76
114,114,"115Pablo MaríUdinese, 28, D(C)",Pablo Marí,28, D(C),,,15,1342,2,-,2,1,0.7,76.3,2.9,1,6.76
115,115,"116Cristiano BiraghiFiorentina, 29, D(L),M(L)",Cristiano Biraghi,29, D(L),M(L),,37,3167,4,1,3,1,1,84.9,0.1,1,6.76
116,116,"117Merih DemiralAtalanta, 24, D(C)",Merih Demiral,24, D(C),,,22(6),1916,1,2,8,-,0.9,85.2,3,2,6.75
117,117,"118Giacomo BonaventuraFiorentina, 32, M(CLR)",Giacomo Bonaventura,32, M(CLR),,,28(3),2280,4,5,7,1,1.5,85.2,0.5,1,6.75
118,118,"119Musa BarrowBologna, 23, AM(CL),FW",Musa Barrow,23, AM(CL),FW,,25(9),2147,6,6,-,-,2.1,82.6,0.4,1,6.75
119,119,"120Nikola MilenkovicFiorentina, 24, D(CR)",Nikola Milenkovic,24, D(CR),,,34,2932,1,-,8,1,0.7,89.6,2.9,-,6.75
120,120,"121Giacomo RaspadoriSassuolo, 22, AM(CL),FW",Giacomo Raspadori,22, AM(CL),FW,,32(4),2757,10,5,7,1,2,82.7,0.3,2,6.75
121,121,"122Emil BohinenSalernitana, 23, M(C)",Emil Bohinen,23, M(C),,,8(3),699,-,1,5,-,0.4,82.1,0.5,-,6.75
122,122,"123Chris SmallingRoma, 32, D(CR)",Chris Smalling,32, D(CR),,,23(4),2088,3,-,-,-,0.4,89,1.9,-,6.74
123,123,"124Alessio RomagnoliAC Milan, 27, D(CL)",Alessio gnoli,27, D(CL),,,16(3),1408,1,-,4,1,0.6,89.5,2.4,-,6.74
124,124,"125Giorgio ChielliniJuventus, 37, D(C)",Giorgio Chiellini,37, D(C),,,16(5),1354,-,-,2,-,0.2,83.5,1.8,-,6.74
125,125,"126Andrea PinamontiEmpoli, 23, FW",Andrea Pinamonti,23, FW,,,32(4),2871,13,2,4,-,2.5,62.2,2.1,2,6.74
126,126,"127Francesco AcerbiLazio, 34, D(C)",Francesco Acerbi,34, D(C),,,29(1),2530,4,-,2,1,0.5,90,2.3,-,6.73
127,127,"128Mattia BaniGenoa, 28, D(C)",Mattia Bani,28, D(C),,,13(4),1214,-,-,1,-,0.5,71.5,2.5,1,6.73
128,128,"129Domenico CriscitoGenoa, 35, D(CL),M(L)",Domenico Criscito,35, D(CL),M(L),,18(2),1622,6,1,4,-,1.2,80,0.9,-,6.73
129,129,"130Rafael TolóiAtalanta, 31, D(C)",Rafael Tolói,31, D(C),,,16(4),1440,1,1,6,-,0.6,82.4,1.9,-,6.73
130,130,"131Nicolò RovellaGenoa, 20, DMC",Nicolò Rovella,20, DMC,,,16(5),1467,-,3,5,-,0.8,84.7,0.2,-,6.73
131,131,"132Wojciech SzczesnyJuventus, 32, GK",Wojciech Szczesny,32, GK,,,33,2970,-,-,2,-,-,79.4,0.3,2,6.73
132,132,"133Lucas MartínezFiorentina, 26, D(C)",Lucas Martínez,26, D(C),,,16(4),1431,1,-,8,-,0.8,89.8,2.4,-,6.73
133,133,"134Ethan AmpaduVenezia, 21, D(C),DMC",Ethan Ampadu,21, D(C),DMC,,26(3),2289,-,3,11,2,0.2,76.9,2.3,-,6.73
134,134,"135Weston McKennieJuventus, 23, D(C),M(CLR)",Weston McKennie,23, D(C),M(CLR),,15(6),1372,3,-,1,-,1.1,77.3,1.4,1,6.73
135,135,"136Stefan de VrijInter, 30, D(C)",Stefan de Vrij,30, D(C),,,28(2),2413,-,-,3,-,0.7,91.8,2.3,-,6.73
136,136,"137Giorgos KyriakopoulosSassuolo, 26, D(L)",Giorgos Kyriakopoulos,26, D(L),,,22(7),1973,-,5,6,1,1,84.5,0.7,-,6.73
137,137,"138Alberto GrassiCagliari, 27, DMC",Alberto Grassi,27, DMC,,,26(4),2185,-,2,4,1,0.8,81.3,1.8,2,6.73
138,138,"139Stanislav LobotkaNapoli, 27, DMC",Stanislav Lobotka,27, DMC,,,19(4),1687,1,-,2,-,0.1,93.7,0.3,-,6.73
139,139,"140Darko LazovicVerona, 31, M(CLR)",Darko Lazovic,31, M(CLR),,,32(2),2783,1,7,2,-,1.4,70.8,0.4,1,6.72
140,140,"141Filip DjuricicSassuolo, 30, AM(CLR),FW",Filip Djuricic,30, AM(CLR),FW,,9(3),678,2,1,1,-,1.4,79.5,0.3,1,6.72
141,141,"142Mërgim VojvodaTorino, 27, D(CR),M(LR)",Mërgim Vojvoda,27, D(CR),M(LR),,22(7),1978,-,3,3,-,0.6,79.1,0.8,1,6.72
142,142,"143Remo FreulerAtalanta, 30, DMC",Remo Freuler,30, DMC,,,28(1),2380,1,3,10,-,0.7,87.2,0.7,-,6.71
143,143,"144Johan VásquezGenoa, 23, D(CL)",Johan Vásquez,23, D(CL),,,27(1),2282,1,-,7,-,0.5,71.8,2.1,1,6.71
144,144,"145Piotr ZielinskiNapoli, 28, M(CL)",Piotr Zielinski,28, M(CL),,,26(9),2099,6,5,1,-,1.2,84.8,0.1,1,6.71
145,145,"146Fernando ForestieriUdinese, 32, AM(CL),FW",Fernando Forestieri,32, AM(CL),FW,,0(4),53,2,1,1,-,0.8,88.9,-,-,6.71
146,146,"147Andrea BelottiTorino, 28, FW",Andrea Belotti,28, FW,,,16(6),1378,8,1,1,-,2.6,70.7,2.5,2,6.71
147,147,"148Manolo GabbiadiniSampdoria, 30, AM(CLR),FW",Manolo Gabbiadini,30, AM(CLR),FW,,15(3),1147,6,2,3,-,2.4,66.7,0.9,-,6.71
148,148,"149Sebastiano LupertoEmpoli, 25, D(C)",Sebastiano Luperto,25, D(C),,,22(2),1957,-,2,6,1,0.4,84.4,1.8,-,6.71
149,149,"150Boris RadunovicCagliari, 26, GK",Boris Radunovic,26, GK,,,4,271,-,-,-,1,-,50,-,1,6.7
150,150,"151Leonardo BonucciJuventus, 35, D(C)",Leonardo Bonucci,35, D(C),,,22(2),2004,5,1,1,-,0.7,87.1,1.8,1,6.7
151,151,"152Daniele VerdeSpezia, 25, AM(CLR)",Daniele Verde,25, AM(CLR),,,21(12),1959,8,6,2,-,1.6,79.3,-,2,6.7
152,152,"153Joaquín CorreaInter, 27, AM(CL),FW",Joaquín Correa,27, AM(CL),FW,,12(14),1024,6,1,2,-,1.3,82.1,0.3,3,6.7
153,153,"154Federico FazioSalernitana, 35, D(C)",Federico Fazio,35, D(C),,,16,1435,1,-,1,1,1,81.6,3.4,2,6.7
154,154,"155Aaron HickeyBologna, 19, D(L),M(L)",Aaron Hickey,19, D(L),M(L),,34(2),2835,5,1,7,-,0.6,83,0.5,3,6.69
155,155,"156Mikkel DamsgaardSampdoria, 21, AM(CL)",Mikkel Damsgaard,21, AM(CL),,,6(5),576,-,-,1,-,1,77.4,0.6,-,6.69
156,156,"157WalaceUdinese, 27, DMC",Walace,27, DMC,,,33(3),2972,1,-,6,1,1.3,83.1,0.6,-,6.69
157,157,"158Jovane CabralLazio, 23, AM(CLR),FW",Jovane Cabral,23, AM(CLR),FW,,2(1),192,1,-,-,-,2,88.6,0.3,-,6.69
158,158,"159Danilo D'AmbrosioInter, 33, D(CLR),M(LR)",Danilo D'Ambrosio,33, D(CLR),M(LR),,9(11),990,1,1,2,-,0.7,87.7,0.9,1,6.69
159,159,"160Tommaso PobegaTorino, 22, AM(C)",Tommaso Pobega,22, AM(C),,,24(9),2240,4,3,11,-,1.5,79.5,2.3,2,6.69
160,160,"161Nedim BajramiEmpoli, 23, AM(C)",Nedim Bajrami,23, AM(C),,,23(12),2063,6,5,3,-,1.5,79.3,-,1,6.68
161,161,"162Alexis SaelemaekersAC Milan, 22, M(R)",Alexis Saelemaekers,22, M(R),,,22(14),1869,1,3,2,-,1.1,83,0.3,1,6.68
162,162,"163Ales MatejuVenezia, 26, D(CLR)",Ales Mateju,26, D(CLR),,,9,731,-,1,3,-,0.2,75.6,1.2,-,6.68
163,163,"164Mattia AramuVenezia, 27, AM(CR)",Mattia Aramu,27, AM(CR),,,25(7),2112,7,5,6,-,1.8,75.2,0.3,1,6.68
164,164,"165Mattia VitiEmpoli, 20, D(C)",Mattia Viti,20, D(C),,,16(4),1489,-,-,1,1,0.2,83.6,1.5,-,6.68
165,165,"166Nahuel MolinaUdinese, 24, D(R),M(R)",Nahuel Molina,24, D(R),M(R),,31(4),2650,7,2,5,1,1.3,72.9,0.3,1,6.68
166,166,"167Mohamed FaresGenoa, 26, D(L),M(L)",Mohamed Fares,26, D(L),M(L),,6(3),586,2,1,2,-,1.4,70.1,1,1,6.68
167,167,"168Andrea RanocchiaInter, 34, D(C)",Andrea Ranocchia,34, D(C),,,3(3),338,-,-,1,-,0.3,91.9,2.7,-,6.68
168,168,"169Simone RomagnoliEmpoli, 32, D(C)",Simone gnoli,32, D(C),,,17(2),1498,2,-,3,-,0.3,77.6,2.9,-,6.68
169,169,"170Francesco CaputoSampdoria, 34, FW",Francesco Caputo,34, FW,,,31(5),2799,11,4,-,-,1.5,76.3,0.7,1,6.68
170,170,"171Ola AinaTorino, 25, D(CLR),M(LR)",Ola Aina,25, D(CLR),M(LR),,17(4),1442,-,-,4,-,0.5,73.7,0.8,-,6.68
171,171,"172Bartosz BereszynskiSampdoria, 29, D(CR),M(R)",Bartosz Bereszynski,29, D(CR),M(R),,35,2956,-,3,12,-,0.2,79.1,1.3,-,6.67
