,Player,Name,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
165,"166Habib DialloStrasbourg, 26, AM(R),FW",Habib Diallo,26, AM(R),FW,,16(15),1537,11,1,2,-,1.6,70.2,1.8,3,6.7
166,"167Juan BernatPSG, 29, D(L),M(CL)",Juan Bernat,29, D(L),M(CL),,12(3),965,-,-,2,-,0.1,93.5,0.5,-,6.69
167,"168Arnaud Kalimuendo-MuingaLens, 20, FW",Arnaud Kalimuendo-Muinga,20, FW,,,27(5),2165,12,-,1,1,1.9,86.3,0.1,1,6.69
168,"169Gianluigi DonnarummaPSG, 23, GK",Gianluigi Donnarumma,23, GK,,,17,1530,-,-,3,-,-,88.1,0.2,-,6.69
169,"170Josuha GuilavoguiBordeaux, 31, D(C),M(C)",Josuha Guilavogui,31, D(C),M(C),,15,1332,1,1,4,-,0.6,82.4,0.9,1,6.69
170,"171Jonathan BambaLille, 26, AM(CLR),FW",Jonathan Bamba,26, AM(CLR),FW,,28(3),2442,1,3,3,-,1.6,79.4,0.5,1,6.69
171,"172Kalifa CoulibalyNantes, 30, FW",Kalifa Coulibaly,30, FW,,,9(12),848,5,-,1,-,1.2,60,3.7,1,6.69
172,"173Pedro ChirivellaNantes, 25, DMC",Pedro Chirivella,25, DMC,,,31,2647,3,1,6,-,0.7,85.2,0.3,2,6.69
173,"174Jérémy DokuRennes, 20, AM(LR)",Jérémy Doku,20, AM(LR),,,4(10),467,1,2,2,-,0.4,79,0.1,1,6.68
174,"175Julian PollersbeckLyon, 27, GK",Julian Pollersbeck,27, GK,,,4(2),435,-,-,-,-,-,83.2,-,-,6.68
175,"176Lucas PerrinStrasbourg, 23, D(C)",Lucas Perrin,23, D(C),,,29(2),2508,1,1,5,-,0.3,84,1.7,-,6.68
176,"177Pablo RosarioNice, 25, DMC",Pablo Rosario,25, DMC,,,31(5),2736,-,2,7,-,0.5,88.5,1.2,-,6.68
177,"178Malo GustoLyon, 19, D(R),M(R)",Malo Gusto,19, D(R),M(R),,21(9),1884,-,4,3,-,0.4,88.2,0.5,1,6.68
178,"179Mamadou SakhoMontpellier, 32, D(C)",Mamadou Sakho,32, D(C),,,29,2578,-,-,3,-,-,89.2,1.6,-,6.68
179,"180Lucien AgoumeBrest, 20, DMC",Lucien Agoume,20, DMC,,,21(6),1869,-,-,6,-,0.6,84.6,1,1,6.67
