,Player,Name,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
207,"208Jordan FerriMontpellier, 30, M(C)",Jordan Ferri,30, M(C),,,33(1),2920,-,2,11,1,0.4,84.7,0.6,-,6.62
208,"209Damien Da SilvaLyon, 34, D(C)",Damien Da Silva,34, D(C),,,13(4),1127,-,-,3,1,0.7,88.1,2.1,-,6.62
209,"210Matz SelsStrasbourg, 30, GK",Matz Sels,30, GK,,,37,3330,-,-,1,-,0.1,68.1,0.3,-,6.62
210,"211Mihailo RisticMontpellier, 26, D(L),M(L)",Mihailo Ristic,26, D(L),M(L),,19(10),1808,1,3,3,1,0.6,76.5,0.8,-,6.62
211,"212Loïc BadéRennes, 22, D(C)",Loïc Badé,22, D(C),,,11(3),984,-,1,1,1,0.5,90.2,1.8,-,6.62
212,"213Junior MwangaBordeaux, 19, Defender",Junior Mwanga,19, Defender,,,1,90,-,-,-,-,-,83,-,-,6.62
213,"214Jonas MartinRennes, 32, M(CL)",Jonas Martin,32, M(CL),,,24(5),2111,1,1,8,-,0.7,90.7,0.7,-,6.62
214,"215Mickael NadeSaint-Etienne, 23, D(C)",Mickael Nade,23, D(C),,,29(1),2568,1,-,4,-,0.2,81.1,2.2,-,6.62
215,"216Bamba DiengMarseille, 22, AM(L),FW",Bamba Dieng,22, AM(L),FW,,11(14),976,7,1,-,1,1.5,75.1,0.5,4,6.61
216,"217Hicham BoudaouiNice, 22, M(CR)",Hicham Boudaoui,22, M(CR),,,21(8),1633,3,2,7,-,0.6,79.3,0.4,-,6.61
217,"218Lucas Da CunhaNice, 20, AM(R)",Lucas Da Cunha,20, AM(R),,,5(5),392,-,1,-,-,1,76.3,0.7,-,6.61
218,"219Xavier ChavalerinTroyes, 31, DMC,M(L)",Xavier Chavalerin,31, DMC,M(L),,31(3),2724,5,2,4,-,0.9,80.1,0.4,2,6.61
219,"220Erik Palmer-BrownTroyes, 25, D(C)",Erik Palmer-Brown,25, D(C),,,19(2),1739,-,-,2,-,0.2,83.4,1.4,2,6.61
220,"221Birger MelingRennes, 27, D(LR),DMC",Birger Meling,27, D(LR),DMC,,20(11),1828,-,4,3,-,0.1,85.2,0.5,-,6.61
221,"222Souleyman DoumbiaAngers, 25, D(L),M(L)",Souleyman Doumbia,25, D(L),M(L),,27,2231,-,1,10,1,0.5,85.4,0.5,-,6.61
222,"223Jordan AmaviMarseille, 28, D(L),M(L)",Jordan Amavi,28, D(L),M(L),,2,130,-,-,-,-,-,84.1,1.5,-,6.61
223,"224Alexander NübelMonaco, 25, GK",Alexander Nübel,25, GK,,,38,3420,-,-,-,-,-,70.6,0.1,-,6.61
224,"225Ibrahim AmadouMetz, 29, D(C),DMC",Ibrahim Amadou,29, D(C),DMC,,10,815,1,-,4,-,0.3,87.5,0.7,1,6.61
225,"226Paul LasneBrest, 33, M(CLR)",Paul Lasne,33, M(CLR),,,9(6),847,-,1,1,-,0.5,84.6,0.6,-,6.61
226,"227Toma BasicBordeaux, 25, M(C)",Toma Basic,25, M(C),,,3,212,-,1,-,-,0.7,81.8,-,-,6.61
227,"228Duje Caleta-CarMarseille, 25, D(C)",Duje Caleta-Car,25, D(C),,,24(2),2062,2,-,6,-,0.5,91.9,1.3,-,6.6
228,"229Lucas Da CunhaClermont Foot, 20, AM(R)",Lucas Da Cunha,20, AM(R),,,11(4),844,2,-,-,-,1.2,83.7,0.5,-,6.6
229,"230Yoann SalmierTroyes, 29, D(C)",Yoann Salmier,29, D(C),,,30(1),2671,-,1,5,-,0.3,83.6,1.5,-,6.6
230,"231Florent MolletMontpellier, 30, AM(CLR)",Florent Mollet,30, AM(CLR),,,32(3),2649,6,2,6,-,1.6,87,0.4,1,6.6
231,"232Jens CajusteReims, 22, DMC",Jens Cajuste,22, DMC,,,4(4),365,2,-,-,-,1.1,69.5,0.4,-,6.6
232,"233Dogan AlemdarRennes, 19, GK",Dogan Alemdar,19, GK,,,12,1080,-,-,1,-,-,69.4,0.1,-,6.6
233,"234Thiago MendesLyon, 30, D(CR),M(CR)",Thiago Mendes,30, D(CR),M(CR),,21(8),1864,1,1,3,1,0.6,88.5,0.9,-,6.59
234,"235Jérémy MorelLorient, 38, D(CL)",Jérémy Morel,38, D(CL),,,6(3),602,-,-,-,-,0.1,83.9,1,-,6.59
235,"236Bonke InnocentLorient, 26, DMC",Bonke Innocent,26, DMC,,,11(1),878,-,-,4,-,0.3,86.7,0.7,-,6.59
236,"237Maxime BusiReims, 22, D(R),M(R)",Maxime Busi,22, D(R),M(R),,13(5),1297,1,-,3,-,0.3,78.4,0.6,1,6.59
237,"238Pau LópezMarseille, 27, GK",Pau López,27, GK,,,29,2610,-,1,4,-,-,83.6,0.2,-,6.59
238,"239Jean-Louis LecaLens, 36, GK",Jean-Louis Leca,36, GK,,,27,2315,-,-,3,1,-,70.9,0.2,-,6.59
239,"240Wuilker FariñezLens, 24, GK",Wuilker Fariñez,24, GK,,,11(2),1105,-,-,-,-,-,73.6,0.1,-,6.59
240,"241Arnaud SouquetMontpellier, 30, D(CR),M(R)",Arnaud Souquet,30, D(CR),M(R),,27(7),2341,1,3,4,-,0.5,71.8,1.2,-,6.59
241,"242Ibrahima KonéLorient, 22, FW",Ibrahima Koné,22, FW,,,6(10),728,5,1,2,-,0.9,68.8,1,1,6.59
242,"243Ismael TraoréAngers, 35, D(CR)",Ismael Traoré,35, D(CR),,,36(1),3215,4,1,1,-,0.7,88.7,1.3,1,6.59
243,"244Ivo GrbicLille, 26, GK",Ivo Grbic,26, GK,,,21,1890,-,-,3,-,-,62.7,0.5,-,6.58
244,"245Kamory DoumbiaReims, 19, Midfielder",Kamory Doumbia,19, Midfielder,,,2(6),349,2,1,1,-,0.5,81.4,0.4,-,6.58
245,"246Arkadiusz MilikMarseille, 28, AM(C),FW",Arkadiusz Milik,28, AM(C),FW,,15(8),1419,7,2,1,-,2.3,80.3,0.9,1,6.58
246,"247Paul BernardoniAngers, 25, GK",Paul Bernardoni,25, GK,,,13,1170,-,-,-,-,-,71.9,0.7,-,6.58
247,"248Warmed OmariRennes, 22, D(C)",Warmed Omari,22, D(C),,,31(3),2798,-,-,6,-,0.1,92.4,1.4,-,6.58
248,"249Yohann MagninClermont Foot, 24, DMC",Yohann Magnin,24, DMC,,,19(5),1717,1,-,3,-,0.8,81.7,1.5,-,6.58
249,"250Jérôme BoatengLyon, 33, D(CR)",Jérôme Boateng,33, D(CR),,,19(5),1627,-,1,6,-,0.2,87.6,0.8,-,6.58
250,"251Tristan DingoméTroyes, 31, M(C)",Tristan Dingomé,31, M(C),,,12(13),1073,2,4,2,-,0.8,78.7,0.2,2,6.58
251,"252Jessy MoulinTroyes, 36, GK",Jessy Moulin,36, GK,,,8,631,-,-,1,1,-,62.8,0.3,-,6.58
252,"253Javairô DilrosunBordeaux, 23, AM(CLR)",Javairô Dilrosun,23, AM(CLR),,,19(13),1738,2,6,3,-,1.3,80.2,0.2,-,6.57
253,"254Terem MoffiLorient, 23, AM(R),FW",Terem Moffi,23, AM(R),FW,,34(3),2736,8,4,1,-,1.6,73.1,1.2,1,6.57
254,"255Kasper DolbergNice, 24, FW",Kasper Dolberg,24, FW,,,20(7),1503,6,2,1,-,1.5,71,0.8,1,6.57
255,"256Moreto CassamáReims, 24, DMC",Moreto Cassamá,24, DMC,,,11(6),808,2,-,1,-,0.6,83.3,0.2,1,6.57
256,"257Nicolas CozzaMontpellier, 23, D(CL)",Nicolas Cozza,23, D(CL),,,32(2),2778,2,2,2,1,0.2,82,1.2,-,6.57
257,"258Adrien TruffertRennes, 20, D(L)",Adrien Truffert,20, D(L),,,18(12),1635,3,2,4,-,0.6,82,0.6,-,6.56
258,"259Gauthier GallonTroyes, 29, GK",Gauthier Gallon,29, GK,,,31,2790,-,-,2,-,-,66.1,0.1,-,6.56
259,"260Thomas DelaineMetz, 30, D(L),M(LR)",Thomas Delaine,30, D(L),M(LR),,26(3),2317,1,2,4,-,0.6,77.8,0.3,1,6.56
260,"261Thilo KehrerPSG, 25, D(CLR),M(R)",Thilo Kehrer,25, D(CLR),M(R),,16(11),1505,2,-,-,-,0.3,94.7,1,-,6.56
261,"262Ilan KebbalReims, 23, AM(C),FW",Ilan Kebbal,23, AM(C),FW,,21(10),1785,1,4,1,-,0.9,79.5,0.1,-,6.56
262,"263Pedro MendesMontpellier, 31, D(CR)",Pedro Mendes,31, D(CR),,,0(1),16,-,-,-,-,-,62.5,2,-,6.56
263,"264Jonathan IkonéLille, 24, AM(CLR),FW",Jonathan Ikoné,24, AM(CLR),FW,,13(5),1077,1,-,1,-,1.2,80.1,0.2,-,6.55
264,"265Romain Del CastilloBrest, 26, AM(LR),FW",Romain Del Castillo,26, AM(LR),FW,,13(6),985,-,6,1,1,0.6,76.3,0.2,1,6.55
265,"266Enock KwatengBordeaux, 25, D(CR),M(R)",Enock Kwateng,25, D(CR),M(R),,22(7),2002,1,-,4,1,0.2,80.4,0.8,1,6.55
266,"267Sikou NiakatéMetz, 22, D(C)",Sikou Niakaté,22, D(C),,,8(4),661,-,-,2,-,0.3,78.2,0.9,-,6.54
267,"268Marc-Aurèle CaillardMetz, 28, GK",Marc-Aurèle Caillard,28, GK,,,17(2),1540,-,-,1,-,-,49.9,0.2,-,6.54
268,"269Martin AdelineReims, 18, Midfielder",Martin Adeline,18, Midfielder,,,2(6),347,-,-,1,-,0.5,77,0.4,-,6.54
269,"270Mathias Pereira LageAngers, 25, M(CLR)",Mathias Pereira Lage,25, M(CLR),,,11(13),1038,4,2,-,-,0.8,73.9,0.6,2,6.54
270,"271Hwang Ui-JoBordeaux, 29, AM(CLR),FW",Hwang Ui-Jo,29, AM(CLR),FW,,29(3),2526,11,2,3,-,1.7,79.3,0.4,3,6.54
271,"272Florent OgierClermont Foot, 33, D(C)",Florent Ogier,33, D(C),,,29(1),2434,1,-,6,-,0.2,83.7,2.2,-,6.54
272,"273Pape SarrMetz, 19, AM(C)",Pape Sarr,19, AM(C),,,22(11),2130,1,3,7,-,0.9,83.3,0.9,-,6.54
273,"274Anel AhmedhodzicBordeaux, 23, D(C)",Anel Ahmedhodzic,23, D(C),,,15,1350,-,1,6,-,0.5,89.8,1.3,-,6.54
274,"275Alfred GomisRennes, 28, GK",Alfred Gomis,28, GK,,,25,2250,-,-,1,-,-,72.2,0.2,1,6.54
275,"276Farid BoulayaMetz, 29, AM(CLR),FW",Farid Boulaya,29, AM(CLR),FW,,18(6),1534,4,2,1,1,0.8,71.2,0.4,2,6.54
276,"277HenriqueLyon, 28, D(L),M(L)",Henrique,28, D(L),M(L),,12(6),1105,-,1,3,-,0.3,88.6,1,-,6.53
277,"278David da CostaLens, 21, AM(C)",David da Costa,21, AM(C),,,16(17),1463,3,5,2,-,0.8,84.5,-,1,6.53
278,"279Martín SatrianoBrest, 21, FW",Martín Satriano,21, FW,,,11(4),941,4,-,5,-,1.6,72.8,1,-,6.53
279,"280Remi OudinBordeaux, 25, M(CLR),FW",Remi Oudin,25, M(CLR),FW,,20(13),1744,4,5,6,-,1.7,69.3,0.5,3,6.53
280,"281Strahinja PavlovicMonaco, 21, D(C)",Strahinja Pavlovic,21, D(C),,,5(2),450,-,-,2,1,0.7,83.4,2.6,1,6.53
281,"282Joris ChotardMontpellier, 20, DMC",Joris Chotard,20, DMC,,,33(3),2942,1,1,5,-,0.5,84.9,0.6,-,6.53
282,"283Pablo SarabiaPSG, 30, D(L),M(CLR),FW",Pablo Sarabia,30, D(L),M(CLR),FW,0(2),21,1,-,1,-,0.5,72.2,-,-,6.53
283,"284Leonardo BalerdiMarseille, 23, D(C)",Leonardo Balerdi,23, D(C),,,10(7),950,-,-,4,1,0.1,91.9,1,-,6.52
284,"285Konrad De la FuenteMarseille, 20, AM(L)",Konrad De la Fuente,20, AM(L),,,9(7),788,-,2,1,-,0.9,82.9,0.3,-,6.52
285,"286Lilian BrassierBrest, 22, D(CL)",Lilian Brassier,22, D(CL),,,23(8),2258,1,-,4,-,0.4,80.7,1.4,-,6.52
286,"287Amadou Mvom OnanaLille, 20, DMC",Amadou Mvom Onana,20, DMC,,,11(21),1352,1,-,2,1,0.5,83.3,0.8,1,6.52
287,"288Jean LucasMonaco, 23, M(C)",Jean Lucas,23, M(C),,,18(10),1451,1,1,1,1,0.9,82.8,0.5,-,6.52
288,"289Thomas FoketReims, 27, D(R),M(R)",Thomas Foket,27, D(R),M(R),,26(3),2243,1,-,5,-,0.3,80.4,0.5,-,6.52
289,"290FábioNantes, 31, D(LR),M(R)",Fábio,31, D(LR),M(R),,21(6),1679,-,2,8,1,0.4,73.2,1.1,-,6.52
290,"291Flavius DaniliucNice, 21, D(CR)",Flavius Daniliuc,21, D(CR),,,14(10),1291,-,-,4,-,0.2,88.7,0.9,-,6.52
291,"292Iké UgboTroyes, 23, FW",Iké Ugbo,23, FW,,,11(3),820,5,-,-,-,1.1,78.8,0.7,-,6.51
292,"293Valère GermainMontpellier, 32, AM(LR),FW",Valère Germain,32, AM(LR),FW,,22(12),1978,4,3,3,-,0.9,77,1.6,-,6.51
293,"294Gaël KakutaLens, 30, M(CLR),FW",Gaël Kakuta,30, M(CLR),FW,,20(9),1685,3,2,1,-,1.4,73.9,0.4,-,6.51
294,"295Ismail JakobsMonaco, 22, D(L),M(L)",Ismail Jakobs,22, D(L),M(L),,10(18),1193,-,1,1,-,0.2,72.2,1.4,-,6.51
295,"296Vincent Le GoffLorient, 32, D(L),M(L)",Vincent Le Goff,32, D(L),M(L),,34,3060,1,1,1,-,0.8,79.5,0.3,1,6.51
296,"297Leo PetrotLorient, 25, D(C)",Leo Petrot,25, D(C),,,21(1),1820,1,-,-,-,0.2,82.9,1.3,-,6.5
297,"298Stian GregersenBordeaux, 27, D(C)",Stian Gregersen,27, D(C),,,22(2),1955,1,1,7,-,0.3,85.1,1.4,-,6.5
298,"299Cédric HountondjiClermont Foot, 28, D(C)",Cédric Hountondji,28, D(C),,,23,2035,1,-,2,-,0.3,84.8,2,-,6.5
299,"300Issa KaboréTroyes, 21, D(R),M(R)",Issa Kaboré,21, D(R),M(R),,26(5),2261,-,1,6,2,0.2,76.6,0.4,1,6.5
300,"301Dimitry BertaudMontpellier, 24, GK",Dimitry Bertaud,24, GK,,,9(2),832,-,-,-,-,-,66.1,0.3,1,6.5
301,"302Timothy WeahLille, 22, AM(LR),FW",Timothy Weah,22, AM(LR),FW,,17(12),1620,3,4,2,1,1.2,75.8,0.8,3,6.5
302,"303Pape GueyeMarseille, 23, DMC",Pape Gueye,23, DMC,,,17(11),1528,-,1,7,-,1.1,88.4,0.8,1,6.5
303,"304Samuel KaluBordeaux, 24, M(LR)",Samuel Kalu,24, M(LR),,,3(8),326,1,1,1,-,1.2,86.5,0.4,-,6.49
304,"305Stefan BajicSaint-Etienne, 20, GK",Stefan Bajic,20, GK,,,4(3),508,-,-,-,-,-,62.8,0.4,-,6.49
305,"306Sinaly DiomandéLyon, 21, D(C)",Sinaly Diomandé,21, D(C),,,5(6),577,-,-,2,-,0.3,91.4,1.5,-,6.49
306,"307Jordan LotombaNice, 23, D(LR),M(R)",Jordan Lotomba,23, D(LR),M(R),,19(11),1782,-,-,4,-,0.3,82.7,0.4,-,6.49
307,"308Timothée KolodziejczakSaint-Etienne, 30, D(CL),M(L)",Timothée Kolodziejczak,30, D(CL),M(L),,30,2568,2,3,4,1,0.5,77.8,1,2,6.49
308,"309Adil RamiTroyes, 36, D(C)",Adil Rami,36, D(C),,,14(3),1173,3,-,1,-,0.3,84.6,1.1,-,6.49
309,"310Julian DraxlerPSG, 28, AM(CLR),FW",Julian Draxler,28, AM(CLR),FW,,5(13),542,2,1,-,-,0.5,91.6,0.1,-,6.49
310,"311Arnaud NordinSaint-Etienne, 23, AM(CLR),FW",Arnaud Nordin,23, AM(CLR),FW,,20(16),1876,4,4,4,-,1.3,81.9,0.4,2,6.48
311,"312Edon ZhegrovaLille, 23, AM(R)",Edon Zhegrova,23, AM(R),,,5(8),479,2,1,-,1,1.2,84.7,0.1,-,6.48
312,"313Lorenz AssignonRennes, 21, D(R)",Lorenz Assignon,21, D(R),,,5(15),603,-,2,-,-,0.3,81.6,0.6,-,6.48
313,"314Dénys BainBrest, 28, D(C)",Dénys Bain,28, D(C),,,2,180,-,-,-,-,-,94,2,-,6.48
314,"315Myziane MaolidaNice, 23, AM(LR),FW",Myziane Maolida,23, AM(LR),FW,,0(1),33,-,-,-,-,1,57.1,-,-,6.48
315,"316Pol LirolaMarseille, 24, D(R),M(LR)",Pol Lirola,24, D(R),M(LR),,19(15),1769,1,2,1,-,0.4,82.2,0.6,1,6.48
316,"317Stéphane DiarraLorient, 23, Midfielder",Stéphane Diarra,23, Midfielder,,,5(10),522,-,-,2,-,0.9,77.3,0.1,-,6.48
317,"318Sepe Elye WahiMontpellier, 19, AM(L),FW",Sepe Elye Wahi,19, AM(L),FW,,21(12),1770,10,2,2,1,1.3,68,0.4,1,6.48
318,"319Falaye SackoSaint-Etienne, 27, D(CR),M(R)",Falaye Sacko,27, D(CR),M(R),,8(1),667,-,-,-,-,0.1,85.7,0.7,-,6.48
319,"320Jere UronenBrest, 27, D(L),M(L)",Jere Uronen,27, D(L),M(L),,10(5),878,-,-,-,-,0.3,80.8,0.8,-,6.48
320,"321Miguel TraucoSaint-Etienne, 29, D(L),M(L)",Miguel Trauco,29, D(L),M(L),,12(5),1113,1,-,3,-,0.6,74.9,0.7,-,6.47
321,"322Fabien LemoineLorient, 35, M(C)",Fabien Lemoine,35, M(C),,,13(8),1120,-,1,5,-,0.2,88.5,0.5,-,6.47
322,"323Dylan BronnMetz, 26, D(C)",Dylan Bronn,26, D(C),,,28(2),2545,1,2,8,1,0.5,81.3,0.9,-,6.47
323,"324Amine BassiMetz, 24, AM(C)",Amine Bassi,24, AM(C),,,2(3),183,-,-,-,-,0.8,80,0.2,-,6.47
324,"325Krépin DiattaMonaco, 23, M(LR),FW",Krépin Diatta,23, M(LR),FW,,3(5),283,1,-,-,-,0.4,75.7,1.5,-,6.47
325,"326Alexandre OukidjaMetz, 33, GK",Alexandre Oukidja,33, GK,,,21,1877,-,-,2,1,-,54.9,0.8,1,6.47
326,"327MarceloBordeaux, 35, D(C)",Marcelo,35, D(C),,,11,902,-,-,5,-,0.3,83.1,3.8,-,6.46
327,"328Serhou GuirassyRennes, 26, AM(L),FW",Serhou Guirassy,26, AM(L),FW,,7(30),1005,9,-,1,-,1.2,80.1,1,2,6.46
328,"329Dennis AppiahNantes, 29, D(CLR)",Dennis Appiah,29, D(CLR),,,22(10),2094,-,-,4,-,0.1,76.8,0.9,-,6.46
329,"330Osman BukariNantes, 23, M(R),FW",Osman Bukari,23, M(R),FW,,10(14),1008,2,4,1,-,0.8,77.1,0.4,-,6.46
330,"331Hassane KamaraNice, 28, D(L),M(L)",Hassane Kamara,28, D(L),M(L),,7(4),546,-,-,2,-,1.2,85.1,0.2,-,6.46
331,"332Andreaw GravillonReims, 24, D(C)",Andreaw Gravillon,24, D(C),,,24(2),2141,-,-,5,2,0.6,76.7,1.2,-,6.45
332,"333Hugo MagnettiBrest, 24, DMC",Hugo Magnetti,24, DMC,,,16(12),1462,-,1,4,-,0.6,84.8,0.2,-,6.45
333,"334Laurent KoscielnyBordeaux, 36, D(C)",Laurent Koscielny,36, D(C),,,11,936,-,1,2,-,-,89.7,1.6,-,6.45
334,"335Samuel LoricLorient, 21, Defender",Samuel Loric,21, Defender,,,3,270,-,-,-,-,0.3,68.7,2.3,-,6.45
335,"336OtávioBordeaux, 28, DMC",Otávio,28, DMC,,,13(3),1150,-,-,3,-,0.8,88.8,0.3,-,6.45
336,"337Oualid El HajjamTroyes, 31, D(CR)",Oualid El Hajjam,31, D(CR),,,12(7),1075,1,1,2,-,0.5,78.1,0.4,-,6.44
337,"338Isaac LihadjiLille, 20, Forward",Isaac Lihadji,20, Forward,,,2(11),228,1,3,1,-,0.2,72.3,0.1,-,6.44
338,"339Wesley SaïdLens, 27, AM(CLR),FW",Wesley Saïd,27, AM(CLR),FW,,7(14),650,5,-,2,-,1.2,74.1,0.3,-,6.44
339,"340Batista MendyAngers, 22, D(C),DMC",Batista Mendy,22, D(C),DMC,,27(7),2417,1,1,5,-,0.4,85.6,0.7,-,6.43
340,"341Colin DagbaPSG, 23, D(R)",Colin Dagba,23, D(R),,,2(1),166,-,-,1,-,-,93.3,0.3,-,6.43
341,"342Alidu SeiduClermont Foot, 22, D(C)",Alidu Seidu,22, D(C),,,16(5),1410,-,-,5,2,0.4,86.9,0.8,-,6.43
342,"343Maxime EstèveMontpellier, 20, D(C)",Maxime Estève,20, D(C),,,20(4),1856,-,-,2,-,0.2,84.4,1.3,-,6.43
343,"344Gaëtan PoussinBordeaux, 23, GK",Gaëtan Poussin,23, GK,,,13,1170,-,-,3,-,-,67.8,0.5,1,6.43
344,"345Salis Abdul SamedClermont Foot, 22, DMC",Salis Abdul Samed,22, DMC,,,29(2),2472,1,-,9,2,0.6,91,0.6,-,6.43
345,"346Sada ThioubSaint-Etienne, 27, M(LR)",Sada Thioub,27, M(LR),,,11(6),954,-,1,2,-,0.3,80,0.4,1,6.43
346,"347Gabriel GudmundssonLille, 23, D(L),M(LR)",Gabriel Gudmundsson,23, D(L),M(LR),,15(15),1341,1,-,3,-,0.6,75.4,0.5,-,6.43
347,"348Azzedine OunahiAngers, 22, M(C)",Azzedine Ounahi,22, M(C),,,16(16),1627,2,1,2,-,0.8,88,0.4,-,6.43
348,"349Georginio WijnaldumPSG, 31, M(CLR)",Georginio Wijnaldum,31, M(CLR),,,18(13),1654,1,3,2,-,0.7,90.2,0.4,-,6.42
349,"350Burak YilmazLille, 36, AM(L),FW",Burak Yilmaz,36, AM(L),FW,,25(6),2219,4,3,9,1,2.3,75.1,0.8,-,6.42
350,"351Boubacar TraoreMetz, 20, M(C)",Boubacar Traore,20, M(C),,,17(10),1721,1,1,7,1,0.8,83.1,0.6,1,6.42
351,"352Matthieu DreyerLorient, 33, GK",Matthieu Dreyer,33, GK,,,16,1440,-,-,-,-,-,60.4,0.2,1,6.42
352,"353Dion LopyReims, 20, DMC",Dion Lopy,20, DMC,,,19(7),1647,-,-,4,-,0.6,87,0.5,-,6.42
353,"354Mama BaldéTroyes, 26, D(R),M(CLR),FW",Mama Baldé,26, D(R),M(CLR),FW,20(10),1725,3,2,2,1,1.6,69.8,0.9,1,6.42
354,"355Sékou MaraBordeaux, 19, FW",Sékou Mara,19, FW,,,8(18),898,6,-,2,-,1.5,67.9,1.2,2,6.42
355,"356Nathanaël MbukuReims, 20, AM(CLR),FW",Nathanaël Mbuku,20, AM(CLR),FW,,18(13),1423,2,1,1,-,1.1,75.4,0.3,-,6.42
356,"357Zaydou YoussoufSaint-Etienne, 22, M(CR)",Zaydou Youssouf,22, M(CR),,,18(12),1558,1,-,3,1,0.7,84.6,0.4,-,6.41
357,"358Xavier ChavalerinReims, 31, DMC,M(L)",Xavier Chavalerin,31, DMC,M(L),,2(1),219,-,-,-,-,1,81,0.7,-,6.41
358,"359Djibril SidibéMonaco, 29, D(CLR),M(R)",Djibril Sidibé,29, D(CLR),M(R),,12(5),952,-,-,6,-,0.2,78.4,0.8,-,6.41
359,"360Junior SambiaMontpellier, 25, D(R),M(CR)",Junior Sambia,25, D(R),M(CR),,16(14),1528,1,-,3,1,0.7,78.3,0.8,-,6.41
360,"361Lamine GueyeMetz, 24, AM(R),FW",Lamine Gueye,24, AM(R),FW,,7(7),557,-,3,-,-,1,80.1,0.3,-,6.41
361,"362Cédric BakambuMarseille, 31, AM(LR),FW",Cédric Bakambu,31, AM(LR),FW,,5(7),356,4,-,1,-,1.6,77.8,0.6,-,6.41
362,"363Gideon MensahBordeaux, 23, D(L),M(L)",Gideon Mensah,23, D(L),M(L),,13(10),1206,-,2,1,1,0.1,84.9,0.7,-,6.41
363,"364Houboulang MendesLorient, 24, D(CR)",Houboulang Mendes,24, D(CR),,,36,3223,-,1,3,1,0.6,83.9,0.8,-,6.41
364,"365Paul BernardoniSaint-Etienne, 25, GK",Paul Bernardoni,25, GK,,,19,1710,-,-,-,-,-,45.9,0.3,-,6.41
365,"366Etienne GreenSaint-Etienne, 21, GK",Etienne Green,21, GK,,,15,1200,-,-,1,1,-,66.7,0.1,-,6.41
366,"367Philippe SandlerTroyes, 25, D(C)",Philippe Sandler,25, D(C),,,1(1),70,-,-,-,-,-,76.9,1.5,-,6.4
367,"368Jodel DossouClermont Foot, 30, AM(R)",Jodel Dossou,30, AM(R),,,23(12),2017,3,1,4,-,1.5,75.8,0.2,1,6.4
368,"369Ouparine DjocoClermont Foot, 24, GK",Ouparine Djoco,24, GK,,,23(1),2113,-,-,1,-,-,62,0.1,2,6.4
369,"370Massadio HaïdaraLens, 29, D(CL),M(L)",Massadio Haïdara,29, D(CL),M(L),,12(8),1078,1,1,5,1,0.3,85.2,0.7,-,6.4
370,"371Bradley LockoReims, 20, M(L)",Bradley Locko,20, M(L),,,11(13),1011,1,1,4,-,0.3,77.7,0.5,-,6.4
371,"372Hatem Ben ArfaLille, 35, M(CR),FW",Hatem Ben Arfa,35, M(CR),FW,,4(3),314,-,1,1,-,0.4,88.9,-,-,6.4
372,"373Morgan SchneiderlinNice, 32, DMC",Morgan Schneiderlin,32, DMC,,,5(15),639,-,1,1,1,0.1,85.5,0.6,-,6.4
373,"374Yusuf YaziciLille, 25, M(CLR),FW",Yusuf Yazici,25, M(CLR),FW,,5(10),501,1,1,3,-,0.7,79.5,0.3,1,6.4
374,"375Youssouf KonéTroyes, 26, D(CL),M(L)",Youssouf Koné,26, D(CL),M(L),,11(10),981,-,1,2,1,0.4,77.3,0.3,1,6.39
375,"376Jérémy Le DouaronBrest, 24, AM(L),FW",Jérémy Le Douaron,24, AM(L),FW,,16(16),1446,5,3,-,-,1.1,73.5,1.2,1,6.39
376,"377Jean Eudes AholouStrasbourg, 28, DMC",Jean Eudes Aholou,28, DMC,,,11(14),1002,1,1,2,-,0.7,83,0.6,-,6.39
377,"378Sébastien CorchiaNantes, 31, D(R),M(R)",Sébastien Corchia,31, D(R),M(R),,13(15),1319,-,3,-,1,0.4,74,0.6,-,6.39
378,"379Pierrick CapelleAngers, 35, D(L),M(CLR)",Pierrick Capelle,35, D(L),M(CLR),,12(18),1187,-,1,2,-,0.6,82,0.6,-,6.39
379,"380Eliaquim MangalaSaint-Etienne, 31, D(C)",Eliaquim Mangala,31, D(C),,,14,1183,1,-,9,-,0.2,85.1,2.6,-,6.39
380,"381Jim AllevinahClermont Foot, 27, AM(L)",Jim Allevinah,27, AM(L),,,13(17),1481,1,2,1,-,1.4,81.1,0.6,-,6.38
381,"382Moritz JenzLorient, 23, D(C)",Moritz Jenz,23, D(C),,,16(1),1384,1,-,3,1,0.5,84.7,1.8,-,6.38
382,"383Nordine KandilStrasbourg, 20, Midfielder",Nordine Kandil,20, Midfielder,,,0(5),85,-,1,1,-,0.2,79,0.2,-,6.38
383,"384Calvin StengsNice, 23, AM(CR)",Calvin Stengs,23, AM(CR),,,11(13),1071,1,1,1,-,0.9,76.4,0.1,-,6.38
384,"385Ibrahima NianeMetz, 23, AM(L),FW",Ibrahima Niane,23, AM(L),FW,,20(6),1592,3,1,2,1,1.7,71.3,2.5,-,6.38
385,"386Vincent ManceauAngers, 32, D(CLR)",Vincent Manceau,32, D(CLR),,,25(3),2359,-,-,-,1,0.1,88.6,0.6,-,6.38
386,"387Charles TraoréNantes, 30, D(L),M(L)",Charles Traoré,30, D(L),M(L),,7(9),716,-,-,3,-,-,79,0.9,-,6.38
387,"388Éric EbimbePSG, 21, AM(CR)",Éric Ebimbe,21, AM(CR),,,4(6),315,-,-,2,-,0.4,89.7,0.1,-,6.38
