,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
73,"74Erik LamelaSevilla, 30, AM(CLR)",Erik Lamela,30, AM(CLR),,,10(10),1016,5,2,5,-,1.1,86.3,0.5,3,6.86
74,"75Pau TorresVillarreal, 25, D(C)",Pau Torres,25, D(C),,,33,2858,5,1,5,-,0.7,85.8,1.8,1,6.86
75,"76Santiago ComesañaRayo Vallecano, 25, M(C)",Santiago Comesaña,25, M(C),,,32(3),2698,1,2,10,1,0.9,82.7,1.7,-,6.86
76,"77Daniel CarvajalReal Madrid, 30, D(R)",Daniel Carvajal,30, D(R),,,17(7),1553,1,3,1,-,0.4,87.4,0.6,2,6.85
77,"78Sergi DarderEspanyol, 28, M(CL)",Sergi Darder,28, M(CL),,,36,3136,3,9,4,-,1.2,85.4,0.3,-,6.85
78,"79Oier OlazábalEspanyol, 32, GK",Oier Olazábal,32, GK,,,1(1),135,-,-,-,-,-,50,0.5,-,6.85
79,"80Ronald AraújoBarcelona, 23, D(C)",Ronald Araújo,23, D(C),,,25(5),2271,4,-,6,-,0.6,90.2,2,3,6.84
80,"81Luis MillaGranada, 27, DMC",Luis Milla,27, DMC,,,33(1),2785,3,3,4,-,0.6,83.6,0.9,1,6.84
81,"82Brais MéndezCelta Vigo, 25, AM(CR),FW",Brais Méndez,25, AM(CR),FW,,36(1),3036,4,5,8,-,1.5,80.3,1.2,2,6.83
82,"83Ivan RakiticSevilla, 34, M(C)",Ivan Rakitic,34, M(C),,,26(9),2188,4,6,5,-,0.9,85.9,1.1,4,6.83
83,"84José GiménezAtletico, 27, D(CR)",José Giménez,27, D(CR),,,24,2047,1,1,8,-,0.8,88.6,1.8,-,6.82
84,"85Eduardo CamavingaReal Madrid, 19, DMC",Eduardo Camavinga,19, DMC,,,13(13),1233,2,1,9,-,0.5,90,1.1,1,6.82
85,"86Yeray ÁlvarezAthletic Bilbao, 27, D(C)",Yeray Álvarez,27, D(C),,,21(1),1860,-,-,6,-,0.3,82,2.6,1,6.82
86,"87Alfonso EspinoCadiz, 30, D(L)",Alfonso Espino,30, D(L),,,37,3330,2,2,6,-,0.7,64.4,1.2,-,6.82
87,"88Santi MinaCelta Vigo, 26, AM(LR),FW",Santi Mina,26, AM(LR),FW,,30(3),2380,7,3,4,-,1.8,66.7,3.9,2,6.82
88,"89Geoffrey KondogbiaAtletico, 29, D(C),DMC",Geoffrey Kondogbia,29, D(C),DMC,,21(7),1885,1,2,9,2,0.5,86,1.4,-,6.81
89,"90Julen AgirrezabalaAthletic Bilbao, 21, Goalkeeper",Julen Agirrezabala,21, Goalkeeper,,,4,360,-,-,-,-,-,71.4,-,-,6.81
90,"91Saúl ÑíguezAtletico, 27, D(CL),M(CLR)",Saúl Ñíguez,27, D(CL),M(CLR),,2(1),200,-,1,-,-,1.3,86.8,2,-,6.81
91,"92Álvaro GarcíaRayo Vallecano, 29, AM(L)",Álvaro García,29, AM(L),,,34(2),3006,7,4,6,-,1.9,70.2,0.1,1,6.81
92,"93Thomas LemarAtletico, 26, AM(CLR)",Thomas Lemar,26, AM(CLR),,,17(7),1450,4,5,2,-,1.2,85.3,0.5,2,6.8
93,"94Rodrigo de PaulAtletico, 28, AM(CLR),FW",Rodrigo de Paul,28, AM(CLR),FW,,24(12),2155,3,1,7,-,0.7,81.9,0.5,5,6.8
94,"95Jeremías LedesmaCadiz, 29, GK",Jeremías Ledesma,29, GK,,,38,3420,-,-,4,-,-,47.4,0.4,3,6.8
95,"96Dani VivianAthletic Bilbao, 22, D(C)",Dani Vivian,22, D(C),,,22(2),1985,2,1,2,-,0.7,83.4,1.3,1,6.8
