,Name,Market value
1380,Federico Marchetti,€200Th.
1383,Rok Vodisek,€50Th.
1386,Zinho Vanheusden,€10.00m
1389,Nikola Maksimovic,€4.50m
1392,Johan Vásquez,€4.00m
1395,Leo Östigard,€4.00m
1398,Mattia Bani,€2.50m
1401,Domenico Criscito,€1.00m
1404,Andrea Masiello,€800Th.
1407,Andrea Cambiaso,€5.00m
1410,Riccardo Calafiori,€4.00m
1413,Lennart Czyborra,€3.00m
1416,Silvan Hefti,€5.00m
1419,Nicolò Rovella,€10.00m
1422,Pablo Galdames,€2.80m
1425,Milan Badelj,€1.50m
1428,Nadiem Amiri,€9.00m
1431,Stefano Sturaro,€4.00m
1434,Hernani,€4.00m
1437,Morten Frendrup,€3.50m
1440,Manolo Portanova,€2.50m
1443,Filippo Melegoni,€1.50m
1446,Paolo Ghiglione,€3.00m
1449,Albert Gudmundsson,€3.00m
1452,Yayah Kallon,€2.00m
1455,Kelvin Yeboah,€5.50m
1458,Roberto Piccoli,€4.00m
1461,Mattia Destro,€4.00m
1464,Caleb Ekuban,€3.50m
1467,Aleksander Buksa,€1.50m
1470,Sergio Romero,€1.00m
1473,Luca Lezzerini,€700Th.
1476,Niki Mäenpää,€200Th.
1479,Bruno Bertinato,€75Th.
1482,Filippo Neri,€50Th.
1485,Ethan Ampadu,€15.00m
1488,Mattia Caldara,€4.00m
1491,Pietro Ceccaroni,€2.50m
1494,Michael Svoboda,€900Th.
1497,Marco Modolo,€500Th.
1500,Ridgeciano Haps,€3.00m
1503,Maximilian Ullmann,€2.50m
1506,Cristian Molinaro,€400Th.
1509,Tyronne Ebuehi,€1.40m
1512,Ales Mateju,€1.00m
1515,Dor Peretz,€1.50m
1518,Luca Fiordilino,€1.20m
1521,Antonio Junior Vacca,€800Th.
1524,Gianluca Busio,€10.00m
1527,Michaël Cuisance,€5.00m
1530,Tanner Tessmann,€2.50m
1533,Sofian Kiyine,€2.30m
1536,Domen Crnigoj,€1.50m
1539,Mattia Aramu,€4.00m
1542,Arnór Sigurdsson,€3.00m
1545,Dennis Johnsen,€1.50m
1548,Nani,€1.00m
1551,Jean-Pierre Nsame,€5.00m
1554,Thomas Henry,€5.00m
1557,David Okereke,€5.00m
1560,Luigi Sepe,€1.40m
1563,Vid Belec,€700Th.
1566,Vincenzo Fiorillo,€300Th.
1569,Antonio Russo,€150Th.
1572,Radu Dragusin,€3.50m
1575,Stefan Strandberg,€800Th.
1578,Norbert Gyomber,€800Th.
1581,Riccardo Gagliolo,€800Th.
1584,Frédéric Veseli,€600Th.
1587,Federico Fazio,€500Th.
1590,Filippo Delli Carri,€400Th.
1593,Luca Ranieri,€2.50m
1596,Matteo Ruggeri,€2.00m
1599,Pawel Jaroszynski,€600Th.
1602,Pasquale Mazzocchi,€1.50m
1605,Francesco Di Tacchio,€600Th.
1608,Ivan Radovanovic,€500Th.
1611,Andrea Schiavone,€400Th.
1614,Éderson,€5.00m
1617,Mamadou Coulibaly,€3.00m
1620,Lassana Coulibaly,€1.80m
1623,Emil Bohinen,€1.20m
1626,Grigoris Kastanos,€1.00m
1629,Leonardo Capezzi,€700Th.
1632,Joel Obi,€600Th.
1635,Wajdi Kechrida,€1.00m
1638,Nadir Zortea,€800Th.
1641,Simone Verdi,€5.00m
1644,Franck Ribéry,€1.00m
1647,Diego Perotti,€1.00m
1650,Lys Mousset,€8.00m
1653,Federico Bonazzoli,€3.50m
1656,Mikael,€1.80m
1659,Milan Djuric,€800Th.
1662,Edoardo Vergani,€600Th.
