,Name,Market value
1428,Luke Ayling,€4.00m
1431,Stuart Dallas,€4.00m
1434,Cody Drameh,€3.00m
1437,Kalvin Phillips,€50.00m
1440,Mateusz Klich,€4.00m
1443,Jamie Shackleton,€3.00m
1446,Adam Forshaw,€2.00m
1449,Daniel James,€18.00m
1452,Jack Harrison,€15.00m
1455,Raphinha,€45.00m
1458,Ian Poveda,€2.00m
1461,Crysencio Summerville,€2.00m
1464,Rodrigo,€15.00m
1467,Tyler Roberts,€8.00m
1470,Patrick Bamford,€20.00m
1473,Joe Gelhardt,€5.00m
1476,Sam Greenwood,€500Th.
1479,Daniel Bachmann,€3.00m
1482,Pontus Dahlberg,€1.20m
1485,Ben Foster,€300Th.
1488,Rob Elliot,€200Th.
1491,William Troost-Ekong,€5.00m
1494,Samir,€5.00m
1497,Nicolas N'Koulou,€4.00m
1500,Christian Kabasele,€3.00m
1503,Craig Cathcart,€1.50m
1506,Francisco Sierralta,€1.50m
1509,Mattie Pollock,€250Th.
1512,Hassane Kamara,€6.00m
1515,Adam Masina,€4.00m
1518,Danny Rose,€2.50m
1521,Jeremy Ngakia,€4.00m
1524,Kiko Femenía,€3.00m
1527,Edo Kayembe,€3.00m
1530,Imrân Louza,€10.00m
1533,Moussa Sissoko,€5.00m
1536,Tom Dele-Bashiru,€2.50m
1539,Domingos Quina,€2.50m
1542,Tom Cleverley,€2.00m
1545,Juraj Kucka,€2.00m
1548,Dan Gosling,€1.00m
1551,Ken Sema,€3.00m
1554,Kwadwo Baah,€800Th.
1557,Ismaïla Sarr,€27.00m
1560,Samuel Kalu,€5.50m
1563,Philip Zinckernagel,€3.00m
1566,Joshua King,€8.00m
1569,João Pedro,€10.00m
1572,Cucho Hernández,€9.00m
1575,Emmanuel Dennis,€8.00m
1578,Andre Gray,€2.00m
1581,Angus Gunn,€3.00m
1584,Tim Krul,€2.00m
1587,Daniel Barden,€250Th.
1590,Michael McGovern,€250Th.
1593,Aston Oxborough,€100Th.
1596,Ozan Kabak,€13.00m
1599,Ben Gibson,€7.00m
1602,Grant Hanley,€4.00m
1605,Christoph Zimmermann,€1.50m
1608,Andrew Omobamidele,€1.20m
1611,Rocky Bushiri,€600Th.
1614,Akin Famewo,€100Th.
1617,Dimitrios Giannoulis,€7.00m
1620,Sam McCallum,€3.00m
1623,Max Aarons,€22.00m
1626,Sam Byram,€2.00m
1629,Bali Mumba,€400Th.
1632,Mathias Normann,€11.00m
1635,Jacob Lungi Sörensen,€1.80m
1638,Pierre Lees-Melou,€6.00m
1641,Kenny McLean,€3.00m
1644,Lukas Rupp,€1.80m
1647,Daniel Adshead,€200Th.
1650,Todd Cantwell,€18.00m
1653,Kieran Dowell,€3.00m
1656,Danel Sinani,€1.50m
1662,Christos Tzolis,€9.00m
1665,Przemyslaw Placheta,€2.00m
1668,Onel Hernández,€1.50m
1671,Josh Martin,€1.00m
1674,Milot Rashica,€8.00m
1677,Josh Sargent,€8.00m
1680,Teemu Pukki,€5.00m
1683,Adam Idah,€3.00m
1686,Jordan Hugill,€1.80m
1689,Sebastian Soto,€500Th.
