,Name,Market value
1077,Nabil Bentaleb,€3.50m
1080,Azzedine Ounahi,€3.00m
1083,Thomas Mangani,€600Th.
1086,Jimmy Cabot,€5.00m
1089,Mathias Pereira Lage,€2.50m
1092,Pierrick Capelle,€500Th.
1095,Angelo Fulgini,€12.00m
1098,Waniss Taïbi,€600Th.
1101,Sofiane Boufal,€8.00m
1104,Casimir Ninga,€1.20m
1107,Marin Jakolis,€1.20m
1110,Jason Mbock,€200Th.
1113,Noah Fatar,€300Th.
1116,Mohamed-Ali Cho,€15.00m
1119,Stéphane Bahoken,€4.00m
1122,Alexandre Oukidja,€1.20m
1125,Marc-Aurèle Caillard,€1.20m
1128,Ousmane Ba,€300Th.
1131,David Oberhauser,€250Th.
1134,Kiki Kouyaté,€5.00m
1137,Dylan Bronn,€4.00m
1140,Sikou Niakaté,€1.80m
1143,Lenny Lacroix,€1.00m
1146,Jean-Armel Kana-Biyik,€500Th.
1149,Matthieu Udol,€2.50m
1152,Thomas Delaine,€2.00m
1155,Fali Candé,€1.50m
1158,Manuel Cabit,€200Th.
1161,Fabien Centonze,€7.00m
1164,William Mikelbrencis,€2.00m
1167,Pape Sarr,€15.00m
1170,Habib Maïga,€3.50m
1173,Kévin N'Doram,€2.00m
1176,Ibrahim Amadou,€2.00m
1179,Vincent Pajot,€1.00m
1182,Amadou Salif Mbengue,€800Th.
1185,Boubacar Traoré,€1.80m
1188,Farid Boulaya,€3.50m
1191,Amine Bassi,€1.50m
1194,Didier Lamkel Zé,€3.50m
1197,Opa Nguette,€2.00m
1200,Papa Ndiaga Yade,€2.00m
1203,Ibrahima Niane,€5.00m
1206,Nicolas de Préville,€2.50m
1209,Louis Mafouta,€900Th.
1212,Lenny Joseph,€500Th.
1215,Paul Nardi,€2.00m
1218,Matthieu Dreyer,€300Th.
1221,Teddy Bartouche,€150Th.
1224,Thomas Callens,€150Th.
1227,Julien Laporte,€3.00m
1230,Moritz Jenz,€2.50m
1233,Léo Pétrot,€1.00m
1236,Jérémy Morel,€300Th.
1239,Vincent Le Goff,€1.00m
1242,Samuel Loric,€600Th.
1245,Houboulang Mendes,€3.00m
1248,Igor Silva,€2.00m
1251,Théo Le Bris,€400Th.
1254,Jérôme Hergault,€250Th.
1257,Laurent Abergel,€3.00m
1260,Bonke Innocent,€2.00m
1263,Thomas Monconduit,€1.50m
1266,Fabien Lemoine,€600Th.
1269,Redwan Bourlès,€300Th.
1272,Enzo Le Fée,€6.00m
1275,Quentin Boisgard,€1.80m
1278,Armand Laurienté,€7.00m
1281,Stéphane Diarra,€1.50m
1284,Dango Ouattara,€900Th.
1287,Terem Moffi,€9.00m
1290,Ibrahima Koné,€4.50m
1293,Sambou Soumano,€1.20m
1296,Gauthier Gallon,€2.50m
1299,Sébastien Renot,€250Th.
1302,Jessy Moulin,€250Th.
1305,Ryan Bouallak,€200Th.
1308,Erik Palmer-Brown,€3.00m
1311,Yoann Salmier,€2.00m
1314,Adil Rami,€400Th.
1317,Tanguy Zoukrou,€400Th.
1320,Abdu Conté,€3.00m
1323,Yasser Larouci,€2.50m
1326,Youssouf Koné,€2.00m
1329,Giulian Biancone,€4.00m
1332,Issa Kaboré,€4.00m
1335,Oualid El Hajjam,€1.00m
1338,Benrandy Abdallah,€150Th.
1341,Florian Tardieu,€3.00m
1344,Rominigue Kouamé,€5.00m
1347,Xavier Chavalerin,€3.50m
1350,Metinho,€3.00m
1353,Tristan Dingomé,€1.50m
1356,Brandon Dominguès,€600Th.
1359,Karim Azamoum,€400Th.
1362,Renaud Ripart,€4.00m
1365,Dylan Chambost,€1.20m
1368,Luka Ilic,€700Th.
1371,Mama Baldé,€4.50m
1374,Nassim Chadli,€500Th.
1377,Iké Ugbo,€5.00m
1380,Lebo Mothiba,€2.00m
1383,Hyun-jun Suk,€1.00m
1386,Yoann Touzghar,€600Th.
1389,Etienne Green,€7.00m
1392,Paul Bernardoni,€7.00m
1395,Boubacar Fall,€300Th.
1398,Harold Moukoudi,€4.00m
1401,Saïdou Sow,€4.00m
1404,Mickaël Nade,€2.50m
1407,Timothée Kolodziejczak,€2.50m
1410,Eliaquim Mangala,€1.80m
1413,Miguel Trauco,€1.80m
1416,Gabriel Silva,€1.20m
1419,Yvann Maçon,€4.50m
1422,Falaye Sacko,€4.00m
1425,Lucas Gourna-Douath,€10.00m
1428,Yvan Neyou,€3.00m
1431,Assane Dioussé,€1.00m
1434,Mahdi Camara,€6.00m
